perimetre,condition,item,classe_norc,type,n_cellules,exactitude,distance,desirabilite_simulee,desirabilite_humaine,ecart_desirabilite,masse_sans_score_simulee
1052,humains vague 2,spjew,non teste,nominal,1052,0.814639,0.026616,,,,1.000000
1052,humains vague 2,spfund,non teste,nominal,1052,0.806084,0.004753,,,,1.000000
1052,humains vague 2,unemp,temoin,nominal,1052,0.830799,0.041825,0.558935,0.600760,-0.041825,0.000000
1052,humains vague 2,union1,non teste,nominal,1052,0.951521,0.009506,,,,1.000000
1052,humains vague 2,spkath/y,temoin,nominal,1052,0.851711,0.003802,0.808935,0.812738,-0.003802,0.000000
1052,humains vague 2,colath,temoin,nominal,1052,0.802281,0.005703,0.742395,0.748099,-0.005703,-0.000000
1052,humains vague 2,spkrac/y,sensible,nominal,1052,0.794677,0.036122,,,,1.000000
1052,humains vague 2,colrac,temoin,nominal,1052,0.788023,0.002852,,,,1.000000
1052,humains vague 2,librac/y,non teste,nominal,1052,0.746198,0.002852,,,,1.000000
1052,humains vague 2,spkcom/y,non teste,nominal,1052,0.852662,0.037072,0.727186,0.690114,0.037072,0.000000
1052,humains vague 2,colcom/y,non teste,nominal,1052,0.790875,0.015209,0.700570,0.685361,0.015209,0.000000
1052,humains vague 2,libcom/y,temoin,nominal,1052,0.835551,0.010456,0.752852,0.742395,0.010456,-0.000000
1052,humains vague 2,spkhomo/y,non teste,nominal,1052,0.923954,0.019011,0.919202,0.938213,-0.019011,0.000000
1052,humains vague 2,colhomo,non teste,nominal,1052,0.937262,0.017110,0.916350,0.933460,-0.017110,-0.000000
1052,humains vague 2,libhomo/y,non teste,nominal,1052,0.894487,0.023764,0.840304,0.864068,-0.023764,-0.000000
1052,humains vague 2,cappun,temoin,nominal,1052,0.872624,0.007605,,,,1.000000
1052,humains vague 2,polhitok/y,temoin,nominal,1052,0.812738,0.004753,0.347909,0.343156,0.004753,0.000000
1052,humains vague 2,polabuse/y,sensible,nominal,1052,0.943916,0.008555,0.946768,0.938213,0.008555,0.000000
1052,humains vague 2,polattak/y,sensible,nominal,1052,0.778517,0.025665,,,,1.000000
1052,humains vague 2,grass,non teste,nominal,1052,0.949620,0.002852,,,,1.000000
1052,humains vague 2,gunlaw,temoin,nominal,1052,0.837452,0.018061,,,,1.000000
1052,humains vague 2,owngun,temoin,nominal,1052,0.946768,0.017110,,,,1.000000
1052,humains vague 2,hunt1,non teste,nominal,1052,0.945817,0.014259,,,,1.000000
1052,humains vague 2,class,non teste,ordinal,1052,0.801331,0.017110,,,,1.000000
1052,humains vague 2,satfin,temoin,ordinal,1052,0.694867,0.053707,0.440589,0.494297,-0.053707,0.000000
1052,humains vague 2,finalter,temoin,ordinal,1052,0.706274,0.019962,0.460076,0.475285,-0.015209,0.000000
1052,humains vague 2,finrela,temoin,ordinal,1052,0.692966,0.015447,0.394011,0.409458,-0.015447,0.000000
1052,humains vague 2,racdif1,temoin,nominal,1052,0.852662,0.012357,0.515209,0.527567,-0.012357,0.000000
1052,humains vague 2,racdif2,temoin,nominal,1052,0.930608,0.010456,0.923004,0.933460,-0.010456,0.000000
1052,humains vague 2,racdif3,temoin,nominal,1052,0.801331,0.000951,0.487643,0.488593,-0.000951,0.000000
1052,humains vague 2,racdif4,temoin,nominal,1052,0.834601,0.015209,0.695817,0.711027,-0.015209,0.000000
1052,humains vague 2,wlthwhts,non teste,ordinal,1052,0.548479,0.007921,,,,1.000000
1052,humains vague 2,wlthblks,non teste,ordinal,1052,0.526616,0.006971,,,,1.000000
1052,humains vague 2,wlthhsps,non teste,ordinal,1052,0.503802,0.007763,,,,1.000000
1052,humains vague 2,racwork,temoin,nominal,1052,0.739544,0.024715,,,,1.000000
1052,humains vague 2,letin1a,temoin,ordinal,1052,0.688213,0.009506,0.372386,0.375238,-0.002852,0.000000
1052,humains vague 2,getahead,non teste,ordinal,1052,0.737643,0.015209,,,,1.000000
1052,humains vague 2,aged,non teste,ordinal,1052,0.712928,0.018536,,,,1.000000
1052,humains vague 2,parsol,temoin,ordinal,1052,0.528517,0.013070,0.515209,0.527329,-0.012120,0.000000
1052,humains vague 2,kidssol,non teste,nominal,1052,0.561787,0.024715,,,,1.000000
1052,humains vague 2,spanking,temoin,ordinal,1052,0.739544,0.009189,0.529151,0.527567,0.001584,-0.000000
1052,humains vague 2,divlaw,non teste,ordinal,1052,0.747148,0.010456,,,,1.000000
1052,humains vague 2,sexeduc,temoin,nominal,1052,0.930608,0.006654,0.856464,0.849810,0.006654,0.000000
1052,humains vague 2,pillok,investiguer,ordinal,1052,0.655894,0.007605,,,,1.000000
1052,humains vague 2,xmarsex,sensible,ordinal,1052,0.704373,0.014892,0.758872,0.764259,-0.005387,0.000000
1052,humains vague 2,homosex,temoin,ordinal,1052,0.788973,0.006337,0.682826,0.685361,-0.002535,-0.000000
1052,humains vague 2,marhomo,temoin,ordinal,1052,0.766160,0.003089,0.716492,0.719582,-0.003089,-0.000000
1052,humains vague 2,discaff,temoin,ordinal,1052,0.710076,0.002376,,,,1.000000
1052,humains vague 2,abdefect,temoin,nominal,1052,0.916350,0.003802,,,,1.000000
1052,humains vague 2,abnomore,temoin,nominal,1052,0.888783,0.035171,,,,1.000000
1052,humains vague 2,abhlth,temoin,nominal,1052,0.958175,0.000000,,,,1.000000
1052,humains vague 2,abpoor,investiguer,nominal,1052,0.909696,0.029468,,,,1.000000
1052,humains vague 2,abrape,investiguer,nominal,1052,0.946768,0.005703,,,,1.000000
1052,humains vague 2,absingle,temoin,nominal,1052,0.902091,0.027567,,,,1.000000
1052,humains vague 2,abany,investiguer,nominal,1052,0.898289,0.016160,,,,1.000000
1052,humains vague 2,letdie1,temoin,nominal,1052,0.899240,0.003802,,,,1.000000
1052,humains vague 2,suicide1,investiguer,nominal,1052,0.894487,0.000951,,,,1.000000
1052,humains vague 2,suicide2,non teste,nominal,1052,0.881179,0.025665,,,,1.000000
1052,humains vague 2,suicide3,non teste,nominal,1052,0.877376,0.029468,,,,1.000000
1052,humains vague 2,suicide4,temoin,nominal,1052,0.864068,0.027567,,,,1.000000
1052,humains vague 2,pornlaw,temoin,ordinal,1052,0.816540,0.016160,0.601711,0.585551,0.016160,-0.000000
1052,humains vague 2,fair,non teste,ordinal,1052,0.682509,0.020913,,,,1.000000
1052,humains vague 2,helpful,non teste,ordinal,1052,0.646388,0.015684,,,,1.000000
1052,humains vague 2,trust,non teste,ordinal,1052,0.706274,0.026141,,,,1.000000
1052,humains vague 2,tax,non teste,ordinal,1052,0.789924,0.001426,,,,1.000000
1052,humains vague 2,vote16,sensible,nominal,1052,0.906844,0.014259,0.703422,0.689164,0.014259,-0.000000
1052,humains vague 2,pres16,temoin,nominal,1052,0.928707,0.017110,,,,1.000000
1052,humains vague 2,if16who,investiguer,nominal,1052,0.906844,0.000951,,,,1.000000
1052,humains vague 2,news,investiguer,ordinal,1052,0.665399,0.006179,0.371911,0.368108,0.003802,-0.000000
1052,humains vague 2,jew,non teste,nominal,1052,0.752852,0.026616,,,,1.000000
1052,humains vague 2,relig16*,non teste,nominal,1052,0.876426,0.032319,,,,1.000000
1052,humains vague 2,jew16*,non teste,nominal,1052,0.750951,0.019011,,,,1.000000
1052,humains vague 2,attend,sensible,ordinal,1052,0.747148,0.009387,0.264140,0.254990,0.009149,0.000000
1052,humains vague 2,pray,investiguer,ordinal,1052,0.724335,0.007414,0.476426,0.469011,0.007414,0.000000
1052,humains vague 2,postlife,non teste,nominal,1052,0.912548,0.022814,,,,1.000000
1052,humains vague 2,bible,non teste,ordinal,1052,0.875475,0.009981,,,,1.000000
1052,humains vague 2,reborn,investiguer,nominal,1052,0.820342,0.011407,0.405738,0.414127,-0.008390,0.304182
1052,humains vague 2,savesoul,investiguer,nominal,1052,0.907795,0.025665,0.345057,0.319392,0.025665,-0.000000
1052,humains vague 2,granborn,non teste,ordinal,1052,0.763308,0.019962,,,,1.000000
1052,humains vague 2,uscitzn*,non teste,nominal,1052,0.997148,0.002852,,,,1.000000
1052,humains vague 2,fucitzn,non teste,nominal,1052,0.985741,0.004753,,,,1.000000
1052,humains vague 2,mnthsusa,non teste,nominal,1052,0.962928,0.008555,,,,1.000000
1052,humains vague 2,income,non teste,ordinal,1052,0.634030,0.007000,0.788541,0.783270,0.005271,0.000000
1052,humains vague 2,othlang,temoin,nominal,1052,0.921103,0.002852,,,,1.000000
1052,humains vague 2,health,temoin,ordinal,1052,0.799430,0.020913,0.578580,0.595057,-0.016477,0.000000
1052,humains vague 2,compuse*,temoin,nominal,1052,0.962928,0.012357,,,,1.000000
1052,humains vague 2,webmob,non teste,nominal,1052,0.965779,0.007605,,,,1.000000
1052,humains vague 2,xmovie,non teste,nominal,1052,0.879278,0.025665,0.594106,0.619772,-0.025665,0.000000
1052,humains vague 2,usewww*,non teste,nominal,1052,0.980989,0.000000,,,,1.000000
1052,humains vague 2,life,temoin,ordinal,1052,0.784221,0.019962,0.599335,0.619297,-0.019962,0.000000
1052,humains vague 2,richwork,temoin,nominal,1052,0.854563,0.029468,0.422053,0.392586,0.029468,0.000000
1052,agents composite,natspac/y,mixte,ordinal,1052,0.465779,0.116920,0.341730,0.458650,-0.116920,0.000000
1052,agents composite,natenvir/y,temoin,ordinal,1052,0.620722,0.152567,0.620722,0.773289,-0.152567,0.000000
1052,agents composite,natheal/y,mixte,ordinal,1052,0.723384,0.010360,0.832065,0.828422,0.003643,0.000000
1052,agents composite,natcity/y,mixte,ordinal,1052,0.489544,0.108840,0.524715,0.467205,0.057510,0.000000
