type,construction,configuration,replicats,n_couverts,fidelite_chute,fidelite_boot_bas,fidelite_boot_haut,top1,top1_boot_bas,top1_boot_haut,bits,bits_bas,bits_haut,bits_replicats,exactitude_contre_verite,a_vraie_personne,c_candidat_hasard,delta_identification,ecart_exactitude_moyen,ecart_exactitude_max,z_exactitude_max,masque_identique,rho_moyen,rho_median,rho_p5,rho_p95,rho_min,rho_max,rho_boot_personnes_bas,rho_boot_personnes_haut,replicats_axe_degenere,replicats_rho_non_defini,rho_reel_depasse_p95,replicat,rho,distinct_fidelite,distinct_fuite
configuration,reel,Demographics Only - GPT4.1-mini,1.0,2058.0,0.07879616132167155,0.07528824505992876,0.08226926425332039,0.021703919663103335,0.016034985422740525,0.028344671201814057,0.8188978039510886,0.7455708171634841,0.9008707813057861,1.0,0.4942095885973437,0.4942095885973437,0.41142199348155195,0.0827875951157917,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,reel,JSON Persona - GPT4.1,1.0,2058.0,0.154216472303207,0.15057192966472308,0.15807955235665697,0.20732102364755425,0.1903142209264658,0.2248177842565597,3.555032771043532,3.39664974599904,3.722473866867019,1.0,0.5903871072238419,0.5903871072238419,0.43187238845744236,0.15851471876639964,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,reel,JSON Persona - GPT4.1-mini,1.0,1000.0,0.12849749999999993,0.12320826041666667,0.13392508333333333,0.121,0.10233333333333333,0.1403416666666666,2.406005941847777,2.2398566653056506,2.594528646291731,1.0,0.5503999999999999,0.551522215242923,0.41604171005961,0.1354805051833131,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,reel,Text Persona (Default Temperature) - GPT4.1-mini,1.0,2058.0,0.10914844509232263,0.10612583009394236,0.11229890468092,0.05425979915775834,0.045023485584710074,0.0641399416909621,1.5901942518670698,1.490196017350612,1.70321042262059,1.0,0.5518383543893748,0.5518383543893748,0.4388372561760138,0.11300109821336095,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,reel,Text Persona (Reasoning) - GPT4.1-mini,1.0,2058.0,0.12225927275672166,0.1186612204405572,0.12595795877874963,0.0923226433430515,0.08001295756397797,0.10512228701004209,2.0933110916115893,1.9774542875908905,2.231944749388384,1.0,0.5457563977972141,0.5457563977972141,0.4201406262444818,0.12561577155273232,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,reel,Text Persona (Repeating Questions) - GPT4.1-mini,1.0,2058.0,0.11973011823777119,0.11653392249757046,0.1228952310090703,0.0728862973760933,0.06235827664399092,0.08374230644638805,2.03941616791462,1.9177952048661653,2.16084442611176,1.0,0.557037576935536,0.5570375769355361,0.4326861162346376,0.12435146070089842,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,reel,Text Persona - GPT4.1-mini,1.0,2058.0,0.11433066083576282,0.11126920351473923,0.11723576186426952,0.05328798185941042,0.04356980887593132,0.06333009394233884,1.730152485359497,1.6249381297809478,1.845696828131531,1.0,0.5581551668286362,0.5581551668286362,0.43958862016739686,0.11856654666123935,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,reel,Text Persona - Gemini-Flash2.5,1.0,2058.0,0.1413271379980564,0.13763615565273732,0.145068907920311,0.13119533527696792,0.11742792355037253,0.14512876579203104,2.8169472944536658,2.6834687869839824,2.9648186625154898,1.0,0.5595966958211857,0.5595966958211857,0.41379382818887195,0.1458028676323137,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,reel,B0 tirage,1.0,2058.0,0.001038022351798007,-0.001702912414965956,0.003717307458697796,0.0006478781988986071,0.0,0.0017816650469711691,-0.002004626956628286,-0.002164764878255099,0.0059517589129728125,1.0,0.43228053126012317,0.4322805312601231,0.4311406253000529,0.0011399059600701793,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
configuration,reel,B1 argmax,1.0,2058.0,0.032281341107871786,0.02903097667638485,0.035537273242630396,0.0027534823453190796,0.0008098477486232588,0.0051830255911888565,0.1556172965007665,0.13067962458648083,0.18744175030899615,1.0,0.5039763524457402,0.5039763524457402,0.4559479775528148,0.04802837489292538,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
