replicat,rho_nul
0,0.9860139860139862
1,0.9860139860139862
2,0.9860139860139862
3,0.9790209790209792
4,0.9580419580419581
5,1.0
6,0.9860139860139862
7,0.9860139860139862
8,0.9930069930069931
9,0.9720279720279721
10,0.965034965034965
11,0.9720279720279721
12,0.9930069930069931
13,0.9860139860139862
14,0.9930069930069931
15,0.9860139860139862
16,0.9930069930069931
17,0.9860139860139862
18,0.9860139860139862
19,0.9860139860139862
20,1.0
21,0.9930069930069931
22,0.9860139860139862
23,0.9720279720279721
24,0.965034965034965
25,0.9930069930069931
26,0.9790209790209792
27,0.965034965034965
28,1.0
29,0.9930069930069931
30,0.9860139860139862
31,0.9930069930069931
32,1.0
33,0.9860139860139862
34,0.9510489510489512
35,0.9930069930069931
36,0.9860139860139862
37,0.9790209790209792
38,0.9930069930069931
39,0.9720279720279721
40,0.965034965034965
41,0.9860139860139862
42,0.9860139860139862
43,0.9860139860139862
44,0.9930069930069931
45,1.0
46,1.0
47,0.9720279720279721
48,0.9930069930069931
49,0.9790209790209792
50,0.9720279720279721
51,0.965034965034965
52,0.9930069930069931
53,0.9860139860139862
54,0.9720279720279721
55,0.9860139860139862
56,0.9860139860139862
57,0.9790209790209792
58,1.0
59,0.9790209790209792
60,0.9720279720279721
61,0.9930069930069931
62,1.0
63,0.9720279720279721
64,0.9930069930069931
65,0.9877423203570683
66,0.9720279720279721
67,1.0
68,0.9860139860139862
69,0.9790209790209792
70,0.9720279720279721
71,0.9930069930069931
72,0.9440559440559443
73,0.9860139860139862
74,0.9930069930069931
75,0.9860139860139862
76,0.9860139860139862
77,0.9860139860139862
78,0.9930069930069931
79,1.0
80,0.9720279720279721
81,0.9930069930069931
82,0.9370629370629372
83,0.9930069930069931
84,1.0
85,0.965034965034965
86,0.9860139860139862
87,0.9720279720279721
88,0.9930069930069931
89,0.9720279720279721
90,0.9930069930069931
91,0.9930069930069931
92,1.0
93,0.9930069930069931
94,0.9860139860139862
95,0.9930069930069931
96,0.9860139860139862
97,0.9860139860139862
98,0.9860139860139862
99,1.0
