item,position_initiale,n_porteurs,n_autres,taux_changement_porteurs,taux_changement_autres,taux_monotone_porteurs,taux_monotone_autres
colrac,modalite majoritaire,1520,1449,0.3480263157894737,0.29675638371290547,0.30394736842105263,0.07108350586611456
librac/y,modalite majoritaire,2047,941,0.18612603810454323,0.43889479277364507,0.048851978505129456,0.2678002125398512
spkcom/y,modalite majoritaire,2118,877,0.11567516525023608,0.3717217787913341,0.025495750708215296,0.3215507411630559
colcom/y,modalite majoritaire,1912,959,0.27824267782426776,0.4608967674661105,0.10198744769874477,0.4337851929092805
libcom/y,modalite majoritaire,2219,764,0.13564668769716087,0.4489528795811518,0.02658855340243353,0.39790575916230364
spkhomo/y,modalite majoritaire,2633,379,0.05431067223699203,0.5567282321899736,0.0,0.5567282321899736
colhomo,modalite majoritaire,2542,447,0.05468135326514555,0.47874720357941836,0.0,0.47874720357941836
libhomo/y,modalite majoritaire,2425,595,0.09237113402061856,0.47394957983193275,0.015257731958762887,0.41680672268907565
cappun,modalite majoritaire,2801,1467,0.15066047840057123,0.24812542603953647,0.1217422349161014,0.07021131561008861
polhitok/y,modalite majoritaire,1793,719,0.15114333519241493,0.3435326842837274,0.1121026213050753,0.11821974965229486
polabuse/y,"modalite rare, moins de 10 pour cent",226,2835,0.7212389380530974,0.06278659611992946,0.13716814159292035,0.05396825396825397
polabuse/y,modalite majoritaire,2835,226,0.06278659611992946,0.7212389380530974,0.05396825396825397,0.13716814159292035
polattak/y,modalite majoritaire,2773,314,0.08186080057699242,0.6369426751592356,0.02596465921384782,0.5445859872611465
grass,modalite majoritaire,1477,1322,0.24306025727826674,0.12027231467473525,0.24306025727826674,0.0
gunlaw,modalite majoritaire,2335,678,0.1486081370449679,0.41297935103244837,0.1486081370449679,0.0
owngun,"modalite rare, moins de 10 pour cent",41,2620,0.6585365853658537,0.1301526717557252,0.12195121951219512,0.07061068702290077
owngun,modalite majoritaire,1683,978,0.1111111111111111,0.18507157464212678,0.10992275698158051,0.005112474437627812
class,"modalite rare, moins de 10 pour cent",483,4144,0.5217391304347826,0.284507722007722,0.057971014492753624,0.12403474903474904
class,modalite majoritaire,2117,2510,0.30562116202172884,0.31235059760956174,0.2328767123287671,0.01952191235059761
satfin,modalite majoritaire,2047,2610,0.44699560332193455,0.44061302681992337,0.1704934049829018,0.14061302681992338
finalter,modalite majoritaire,1792,2869,0.48325892857142855,0.5604740327640293,0.0,0.36179853607528756
finrela,"modalite rare, moins de 10 pour cent",416,4203,0.7019230769230769,0.41684511063526053,0.09134615384615384,0.09302878896026648
finrela,modalite majoritaire,2053,2566,0.37652216268874816,0.495323460639127,0.13930832927423284,0.05572876071706937
racdif1,modalite majoritaire,1813,1084,0.17319360176503035,0.37822878228782286,0.03916161059018202,0.3339483394833948
racdif2,"modalite rare, moins de 10 pour cent",258,2750,0.627906976744186,0.05381818181818182,0.4806201550387597,0.01709090909090909
racdif2,modalite majoritaire,2750,258,0.05381818181818182,0.627906976744186,0.01709090909090909,0.4806201550387597
racdif3,modalite majoritaire,1541,1434,0.2472420506164828,0.3333333333333333,0.0,0.3333333333333333
racdif4,modalite majoritaire,1518,1366,0.2463768115942029,0.3308931185944363,0.0,0.3308931185944363
wlthwhts,"modalite rare, moins de 10 pour cent",608,2136,0.7976973684210527,0.4597378277153558,0.20559210526315788,0.1952247191011236
