perimetre,condition,item,derive_propre,derive_humaine,gs_gauche,gs_droite,log_ratio
150 personnes,humains vague 1,sexeduc,-0.353333,-0.353333,0.062468,0.437863,1.947252
150 personnes,humains vague 1,pillok,-0.122222,-0.122222,0.600102,0.707317,0.164379
150 personnes,humains vague 1,xmarsex,0.264444,0.264444,0.680492,0.442509,-0.430355
150 personnes,humains vague 1,homosex,-0.191111,-0.191111,0.463902,0.686411,0.391804
150 personnes,humains vague 1,marhomo,-0.208333,-0.208333,0.429595,0.786295,0.604488
150 personnes,humains vague 1,discaff,-0.213333,-0.213333,0.408602,0.658537,0.477278
150 personnes,humains vague 1,abdefect,-0.320000,-0.320000,0.175115,0.455285,0.955478
150 personnes,humains vague 1,abnomore,-0.160000,-0.160000,0.292883,0.437863,0.402134
150 personnes,humains vague 1,abhlth,-0.406667,-0.406667,0.092166,0.315912,1.231873
150 personnes,humains vague 1,abpoor,-0.180000,-0.180000,0.200717,0.437863,0.780011
150 personnes,humains vague 1,abrape,-0.393333,-0.393333,0.062468,0.371661,1.783328
150 personnes,humains vague 1,absingle,-0.140000,-0.140000,0.225294,0.418118,0.618357
150 personnes,humains vague 1,abany,-0.140000,-0.140000,0.225294,0.396051,0.564135
150 personnes,humains vague 1,letdie1,-0.293333,-0.293333,0.225294,0.455285,0.703515
150 personnes,humains vague 1,suicide1,-0.253333,-0.253333,0.292883,0.455285,0.441150
150 personnes,humains vague 1,suicide2,0.233333,0.233333,0.492576,0.214866,-0.829631
150 personnes,humains vague 1,suicide3,0.246667,0.246667,0.461854,0.214866,-0.765231
150 personnes,humains vague 1,suicide4,0.153333,0.153333,0.507936,0.250871,-0.705417
150 personnes,humains vague 1,pornlaw,0.063333,0.063333,0.353303,0.577236,0.490926
150 personnes,humains vague 1,tax,0.300000,0.300000,0.550947,0.430894,-0.245776
150 personnes,C2,natspac/y,-0.153333,0.020000,0.225294,0.570267,0.928697
150 personnes,C2,natenvir/y,-0.103333,-0.273333,0.292883,0.512195,0.558933
150 personnes,C2,natheal/y,-0.016667,-0.313333,0.505376,0.507549,0.004291
150 personnes,C2,natcity/y,0.156667,-0.003333,0.443420,0.214866,-0.724501
150 personnes,C2,natdrug/y,-0.010000,-0.240000,0.491039,0.284553,-0.545605
150 personnes,C2,nateduc/y,-0.083333,-0.306667,0.471070,0.470383,-0.001459
150 personnes,C2,natrace/y,0.026667,-0.076667,0.451613,0.437863,-0.030919
150 personnes,C2,natarms/y,-0.256667,-0.123333,0.461854,0.250871,-0.610309
150 personnes,C2,nataid/y,0.016667,0.313333,0.428059,0.501742,0.158824
150 personnes,C2,natfare/y,0.016667,-0.316667,0.509985,0.483159,-0.054034
150 personnes,C2,natroad,-0.060000,-0.243333,0.506912,0.470383,-0.074791
150 personnes,C2,natsoc,0.090000,-0.316667,0.538658,0.455285,-0.168159
150 personnes,C2,natmass,-0.196667,-0.193333,0.440348,0.641115,0.375643
150 personnes,C2,natpark,-0.046667,-0.116667,0.368664,0.047619,-2.046652
150 personnes,C2,natchld,-0.310000,-0.246667,0.225294,0.361208,0.472046
150 personnes,C2,natsci,-0.076667,-0.086667,0.506912,0.284553,-0.577419
150 personnes,C2,natenrgy,-0.143333,-0.156667,0.225294,0.612079,0.999453
150 personnes,C2,prayer,-0.500000,-0.173333,0.000000,0.000000,
150 personnes,C2,courts,0.280000,0.123333,0.368664,0.284553,-0.258966
150 personnes,C2,discaffw,-0.204444,-0.031111,0.248848,0.315912,0.238621
150 personnes,C2,discaffm,0.195556,-0.133333,0.313364,0.047619,-1.884133
150 personnes,C2,fehire,-0.213333,-0.068333,0.248848,0.679443,1.004431
150 personnes,C2,fechld,-0.444444,-0.211111,0.000000,0.577236,
150 personnes,C2,fepresch,-0.231111,-0.108889,0.332821,0.730546,0.786186
150 personnes,C2,fefam,-0.220000,-0.133333,0.248848,0.646922,0.955384
150 personnes,C2,fepol,-0.333333,-0.273333,0.000000,0.493612,
150 personnes,C2,conarmy,0.053333,0.200000,0.313364,0.455285,0.373557
150 personnes,C2,conbus,-0.043333,-0.053333,0.451613,0.382114,-0.167107
150 personnes,C2,conclerg,0.020000,-0.200000,0.486431,0.396051,-0.205552
150 personnes,C2,coneduc,0.016667,-0.056667,0.148489,0.000000,
150 personnes,C2,confed,0.033333,0.096667,0.292883,0.368177,0.228790
150 personnes,C2,confinan,-0.070000,-0.063333,0.479263,0.296167,-0.481324
150 personnes,C2,conjudge,0.033333,-0.050000,0.031746,0.396051,2.523776
150 personnes,C2,conlabor,0.063333,-0.010000,0.498720,0.176539,-1.038504
150 personnes,C2,conmedic,-0.090000,-0.196667,0.175115,0.512195,1.073261
150 personnes,C2,conpress,0.100000,0.153333,0.292883,0.507549,0.549822
150 personnes,C2,consci,-0.136667,-0.210000,0.497696,0.455285,-0.089067
150 personnes,C2,spkath/y,-0.500000,-0.273333,0.000000,0.000000,
150 personnes,C2,colath,-0.380000,-0.233333,0.000000,0.501742,
150 personnes,C2,spkcom/y,-0.486667,-0.206667,0.000000,0.092915,
150 personnes,C2,colcom/y,-0.300000,-0.233333,0.000000,0.418118,
150 personnes,C2,libcom/y,-0.446667,-0.280000,0.000000,0.315912,
150 personnes,C2,spkhomo/y,-0.500000,-0.420000,0.000000,0.000000,
150 personnes,C2,colhomo,-0.360000,-0.433333,0.000000,0.512195,
150 personnes,C2,libhomo/y,-0.493333,-0.360000,0.000000,0.047619,
150 personnes,C2,cappun,-0.320000,0.020000,0.000000,0.483159,
150 personnes,C2,polhitok/y,-0.500000,0.133333,0.000000,0.000000,
150 personnes,C2,polabuse/y,-0.026667,-0.440000,0.120840,0.047619,-0.931232
150 personnes,C2,polattak/y,-0.146667,0.100000,0.248848,0.437863,0.565064
150 personnes,C2,grass,-0.306667,-0.233333,0.000000,0.437863,
150 personnes,C2,gunlaw,0.493333,-0.160000,0.000000,0.047619,
150 personnes,C2,racdif1,0.053333,-0.060000,0.225294,0.092915,-0.885720
150 personnes,C2,racdif2,-0.500000,-0.440000,0.000000,0.000000,
150 personnes,C2,racdif3,0.353333,-0.006667,0.000000,0.511034,
150 personnes,C2,racdif4,-0.500000,-0.233333,0.000000,0.000000,
150 personnes,C2,letin1a,-0.023333,0.103333,0.593958,0.486643,-0.199277
150 personnes,C2,getahead,0.163333,0.206667,0.200717,0.047619,-1.438662
150 personnes,C2,spanking,-0.095556,-0.031111,0.400410,0.333333,-0.183345
150 personnes,C2,divlaw,-0.100000,-0.083333,0.148489,0.371661,0.917468
150 personnes,C2,sexeduc,-0.300000,-0.353333,0.000000,0.418118,
150 personnes,C2,pillok,-0.173333,-0.122222,0.292883,0.660859,0.813769
150 personnes,C2,xmarsex,0.008889,0.264444,0.282130,0.092915,-1.110681
150 personnes,C2,homosex,-0.406667,-0.191111,0.000000,0.455285,
150 personnes,C2,marhomo,-0.305000,-0.208333,0.062468,0.590012,2.245488
150 personnes,C2,discaff,-0.376667,-0.213333,0.338966,0.483159,0.354447
150 personnes,C2,abdefect,-0.273333,-0.320000,0.000000,0.315912,
150 personnes,C2,abnomore,-0.286667,-0.160000,0.000000,0.371661,
150 personnes,C2,abhlth,-0.333333,-0.406667,0.000000,0.493612,
150 personnes,C2,abpoor,-0.306667,-0.180000,0.000000,0.437863,
150 personnes,C2,abrape,-0.406667,-0.393333,0.000000,0.455285,
150 personnes,C2,absingle,-0.193333,-0.140000,0.031746,0.135889,1.454067
150 personnes,C2,abany,-0.246667,-0.140000,0.000000,0.176539,
150 personnes,C2,letdie1,-0.420000,-0.293333,0.000000,0.396051,
150 personnes,C2,suicide1,-0.446667,-0.253333,0.000000,0.315912,
150 personnes,C2,suicide2,0.500000,0.233333,0.000000,0.000000,
150 personnes,C2,suicide3,0.500000,0.246667,0.000000,0.000000,
150 personnes,C2,suicide4,-0.400000,0.153333,0.000000,0.437863,
150 personnes,C2,pornlaw,-0.006667,0.063333,0.062468,0.000000,
150 personnes,C2,tax,0.316667,0.300000,0.225294,0.315912,0.338055
150 personnes,C3,natspac/y,-0.500000,0.020000,0.000000,0.000000,
150 personnes,C3,natenvir/y,-0.473333,-0.273333,0.093190,0.047619,-0.671407
150 personnes,C3,natheal/y,-0.410000,-0.313333,0.177675,0.455285,0.940964
150 personnes,C3,natcity/y,-0.370000,-0.003333,0.256016,0.512195,0.693464
150 personnes,C3,natdrug/y,-0.453333,-0.240000,0.093190,0.176539,0.638901
150 personnes,C3,nateduc/y,-0.353333,-0.306667,0.318996,0.515679,0.480306
150 personnes,C3,natrace/y,-0.373333,-0.076667,0.175115,0.585366,1.206793
150 personnes,C3,natarms/y,-0.033333,-0.123333,0.650794,0.678281,0.041369
150 personnes,C3,nataid/y,-0.403333,0.313333,0.177675,0.428571,0.880499
150 personnes,C3,natfare/y,-0.423333,-0.316667,0.092166,0.399535,1.466712
150 personnes,C3,natroad,-0.360000,-0.243333,0.228879,0.528455,0.836766
150 personnes,C3,natsoc,-0.310000,-0.316667,0.256016,0.577236,0.813009
150 personnes,C3,natmass,-0.456667,-0.193333,0.122376,0.221835,0.594837
150 personnes,C3,natpark,-0.460000,-0.116667,0.120840,0.284553,0.856454
150 personnes,C3,natchld,-0.473333,-0.246667,0.092166,0.180023,0.669496
150 personnes,C3,natsci,-0.483333,-0.086667,0.092166,0.047619,-0.660357
150 personnes,C3,natenrgy,-0.500000,-0.156667,0.000000,0.000000,
150 personnes,C3,prayer,-0.500000,-0.173333,0.000000,0.000000,
150 personnes,C3,courts,0.250000,0.123333,0.497696,0.512195,0.028716
150 personnes,C3,discaffw,0.137778,-0.031111,0.655402,0.742160,0.124317
150 personnes,C3,discaffm,-0.253333,-0.133333,0.611367,0.554007,-0.098520
150 personnes,C3,fehire,0.126667,-0.068333,0.534050,0.333333,-0.471347
150 personnes,C3,fechld,-0.200000,-0.211111,0.561700,0.470383,-0.177420
150 personnes,C3,fepresch,-0.246667,-0.108889,0.428059,0.315912,-0.303799
150 personnes,C3,fefam,-0.308889,-0.133333,0.472606,0.529617,0.113891
150 personnes,C3,fepol,-0.220000,-0.273333,0.200717,0.512195,0.936810
150 personnes,C3,conarmy,-0.126667,0.200000,0.589350,0.486643,-0.191488
150 personnes,C3,conbus,-0.046667,-0.053333,0.376344,0.344948,-0.087111
150 personnes,C3,conclerg,-0.220000,-0.200000,0.538658,0.511034,-0.052646
150 personnes,C3,coneduc,0.066667,-0.056667,0.417307,0.396051,-0.052278
150 personnes,C3,confed,0.046667,0.096667,0.348182,0.219512,-0.461318
150 personnes,C3,confinan,-0.160000,-0.063333,0.452637,0.511034,0.121345
150 personnes,C3,conjudge,-0.083333,-0.050000,0.523810,0.570267,0.084977
150 personnes,C3,conlabor,0.263333,-0.010000,0.506912,0.512195,0.010367
150 personnes,C3,conmedic,-0.003333,-0.196667,0.471070,0.361208,-0.265553
150 personnes,C3,conpress,0.040000,0.153333,0.307220,0.324042,0.053309
150 personnes,C3,consci,-0.050000,-0.210000,0.569380,0.484321,-0.161802
150 personnes,C3,spkath/y,-0.306667,-0.273333,0.148489,0.396051,0.981029
150 personnes,C3,colath,-0.213333,-0.233333,0.225294,0.470383,0.736140
150 personnes,C3,spkcom/y,-0.280000,-0.206667,0.175115,0.371661,0.752538
150 personnes,C3,colcom/y,-0.153333,-0.233333,0.271377,0.501742,0.614576
150 personnes,C3,libcom/y,-0.326667,-0.280000,0.120840,0.344948,1.048928
150 personnes,C3,spkhomo/y,-0.433333,-0.420000,0.031746,0.176539,1.715773
150 personnes,C3,colhomo,-0.373333,-0.433333,0.062468,0.371661,1.783328
150 personnes,C3,libhomo/y,-0.486667,-0.360000,0.000000,0.000000,
150 personnes,C3,cappun,-0.053333,0.020000,0.461854,0.511034,0.101188
150 personnes,C3,polhitok/y,-0.440000,0.133333,0.062468,0.176539,1.038887
150 personnes,C3,polabuse/y,-0.166667,-0.440000,0.200717,0.493612,0.899855
150 personnes,C3,polattak/y,-0.333333,0.100000,0.031746,0.493612,2.743982
150 personnes,C3,grass,-0.186667,-0.233333,0.175115,0.483159,1.014902
150 personnes,C3,gunlaw,0.493333,-0.160000,0.000000,0.047619,
150 personnes,C3,racdif1,0.140000,-0.060000,0.486431,0.371661,-0.269113
150 personnes,C3,racdif2,-0.500000,-0.440000,0.000000,0.000000,
150 personnes,C3,racdif3,0.460000,-0.006667,0.120840,0.047619,-0.931232
150 personnes,C3,racdif4,-0.486667,-0.233333,0.000000,0.000000,
150 personnes,C3,letin1a,0.115000,0.103333,0.479263,0.483159,0.008097
150 personnes,C3,getahead,0.086667,0.206667,0.600102,0.557491,-0.073653
150 personnes,C3,spanking,-0.184444,-0.031111,0.549411,0.570267,0.037258
150 personnes,C3,divlaw,0.453333,-0.083333,0.205837,0.047619,-1.463853
150 personnes,C3,sexeduc,0.146667,-0.353333,0.504864,0.344948,-0.380897
150 personnes,C3,pillok,0.248889,-0.122222,0.292883,0.437863,0.402134
150 personnes,C3,xmarsex,-0.111111,0.264444,0.371736,0.566783,0.421793
150 personnes,C3,homosex,-0.275556,-0.191111,0.150538,0.548200,1.292427
150 personnes,C3,marhomo,-0.161667,-0.208333,0.594470,0.681765,0.137015
150 personnes,C3,discaff,-0.470000,-0.213333,0.148489,0.092915,-0.468826
150 personnes,C3,abdefect,-0.093333,-0.320000,0.368664,0.437863,0.172021
150 personnes,C3,abnomore,-0.006667,-0.160000,0.368664,0.284553,-0.258966
150 personnes,C3,abhlth,-0.360000,-0.406667,0.120840,0.418118,1.241300
150 personnes,C3,abpoor,-0.240000,-0.180000,0.175115,0.507549,1.064150
150 personnes,C3,abrape,-0.326667,-0.393333,0.148489,0.455285,1.120408
150 personnes,C3,absingle,-0.066667,-0.140000,0.351254,0.315912,-0.106048
150 personnes,C3,abany,0.273333,-0.140000,0.479263,0.135889,-1.260414
150 personnes,C3,letdie1,-0.253333,-0.293333,0.292883,0.455285,0.441150
150 personnes,C3,suicide1,-0.293333,-0.253333,0.225294,0.455285,0.703515
150 personnes,C3,suicide2,0.446667,0.233333,0.120840,0.047619,-0.931232
150 personnes,C3,suicide3,0.500000,0.246667,0.000000,0.000000,
150 personnes,C3,suicide4,-0.253333,0.153333,0.292883,0.455285,0.441150
150 personnes,C3,pornlaw,-0.060000,0.063333,0.225294,0.176539,-0.243867
150 personnes,C3,tax,0.290000,0.300000,0.519201,0.418118,-0.216527
