modele,cle_modele,identite,perimetre,n_items,ecart_decrit_moyen,ecart_reel_moyen,facteur,ic_bas,ic_haut,facteur_plancher_w2_w1,p,p_holm,hypothese
gpt-oss-20b,oss20,journaliste,tous les items,149,0.1844295302013423,0.21077395381341893,0.875011009968541,0.7197824486442199,1.0376576351812392,1.0103287166751227,0.03369831508424579,0.10109494525273738,"H2a, ecart non signe (TV entre camps)"
gpt-oss-20b,oss20,adversaire,tous les items,149,0.22678246644295302,0.21077395381341893,1.0759510951894233,0.9214627918605691,1.2451578597549726,1.0103287166751227,0.0008999550022498875,0.00359982000899955,"H2a, ecart non signe (TV entre camps)"
Qwen3-30B-A3B-Instruct-2507,q30,journaliste,tous les items,148,0.24735462837837838,0.21059378482235377,1.1745580648879748,1.0481256551186628,1.3199256419220047,1.0098841114010038,4.999750012499375e-05,0.0002999850007499625,"H2a, ecart non signe (TV entre camps)"
Qwen3-30B-A3B-Instruct-2507,q30,adversaire,tous les items,149,0.27899328859060396,0.21077395381341893,1.3236611238861804,1.1792028945797524,1.4920612317380808,1.0103287166751227,4.999750012499375e-05,0.0002999850007499625,"H2a, ecart non signe (TV entre camps)"
Qwen3-4B-Instruct-2507,q4,journaliste,tous les items,147,0.1888585306122449,0.21115711315874766,0.8943981464184031,0.7800826541614272,1.0451174068998978,1.0102301088004952,0.052047397630118494,0.10409479526023699,"H2a, ecart non signe (TV entre camps)"
Qwen3-4B-Instruct-2507,q4,adversaire,tous les items,148,0.16293744256756756,0.2113346932353173,0.77099240107321,0.6456530080939963,0.9152862194304641,1.0106739039214703,0.09009549522523874,0.10409479526023699,"H2a, ecart non signe (TV entre camps)"
gpt-oss-20b,oss20,journaliste,79 items orientes,79,0.14858649789029535,0.24057928432303727,0.617619668744135,0.40780320423927946,0.8422348296549694,1.0089304742226926,0.0016499175041247937,0.004949752512374381,"H2b, ecart signe (position orientee)"
gpt-oss-20b,oss20,adversaire,79 items orientes,79,0.1522573839662447,0.24057928432303727,0.6328781981153516,0.3828526484795413,0.893720872038524,1.0089304742226926,0.008349582520873956,0.008349582520873956,"H2b, ecart signe (position orientee)"
Qwen3-30B-A3B-Instruct-2507,q30,journaliste,79 items orientes,79,0.3051734641350211,0.24057928432303727,1.2684943551717036,1.0973752674794748,1.4638469292151592,1.0089304742226926,0.0032998350082495873,0.006599670016499175,"H2b, ecart signe (position orientee)"
Qwen3-30B-A3B-Instruct-2507,q30,adversaire,79 items orientes,79,0.3287341772151898,0.24057928432303727,1.3664276130017197,1.154809053101941,1.598817117745477,1.0089304742226926,0.0004999750012499375,0.00199990000499975,"H2b, ecart signe (position orientee)"
Qwen3-4B-Instruct-2507,q4,journaliste,79 items orientes,79,0.05885021097046415,0.24057928432303727,0.2446187797759144,0.05607017903359322,0.4365059670177811,1.0089304742226926,4.999750012499375e-05,0.0002999850007499625,"H2b, ecart signe (position orientee)"
Qwen3-4B-Instruct-2507,q4,adversaire,79 items orientes,79,0.053069620253164564,0.24057928432303727,0.22059098065112479,0.053455344053833356,0.37969362659733746,1.0089304742226926,4.999750012499375e-05,0.0002999850007499625,"H2b, ecart signe (position orientee)"
gpt-oss-20b,oss20,journaliste,items retenus stricts,65,0.17943589743589744,0.2585492958737736,0.6940103891193726,0.4634984868557955,0.9326234662181859,1.0112422061099535,0.016599170041497927,0.03319834008299585,"H2b, ecart signe (position orientee)"
gpt-oss-20b,oss20,adversaire,items retenus stricts,65,0.1842820512820513,0.2585492958737736,0.7127540249501189,0.4368104537468189,0.9923882416896022,1.0112422061099535,0.056097195140242986,0.056097195140242986,"H2b, ecart signe (position orientee)"
Qwen3-30B-A3B-Instruct-2507,q30,journaliste,items retenus stricts,65,0.33428774871794875,0.2585492958737736,1.2929362177847563,1.101038079555803,1.499192097852001,1.0112422061099535,0.0022998850057497125,0.006899655017249137,"H2b, ecart signe (position orientee)"
Qwen3-30B-A3B-Instruct-2507,q30,adversaire,items retenus stricts,65,0.3583846153846154,0.2585492958737736,1.3861364973880355,1.182657472333648,1.6225502207452174,1.0112422061099535,0.0006499675016249188,0.002599870006499675,"H2b, ecart signe (position orientee)"
Qwen3-4B-Instruct-2507,q4,journaliste,items retenus stricts,65,0.07867948717948717,0.2585492958737736,0.3043113573896534,0.1167298758292289,0.5140170173797084,1.0112422061099535,4.999750012499375e-05,0.0002999850007499625,"H2b, ecart signe (position orientee)"
Qwen3-4B-Instruct-2507,q4,adversaire,items retenus stricts,65,0.06988461538461538,0.2585492958737736,0.2702951294005216,0.08830040425086233,0.46267944871885036,1.0112422061099535,4.999750012499375e-05,0.0002999850007499625,"H2b, ecart signe (position orientee)"
