modele,cle_modele,camp,identite,n_items,gs_decrit_moyen,gs_reel_moyen,ratio,ic_bas,ic_haut,ratio_plancher_w2_w1,part_items_sous_1,p,p_holm,perimetre_analyse,famille,perimetre,ecart_decrit_moyen,ecart_reel_moyen,facteur,facteur_plancher_w2_w1,hypothese,tv_entre_identites_moyenne,plancher_humain_moyen,rapport_au_plancher,part_items_identiques,part_items_au_dessus_du_plancher
Qwen3-30B-A3B-Instruct-2507,q30,,adversaire,149,,,,1.175413636403624,1.482883837256525,,,4.999750012499375e-05,0.0002999850007499625,"principal, critere 2 applique",H2,tous les items,0.27899328859060396,0.21077395381341893,1.3236611238861804,1.0103287166751227,"H2a, ecart non signe (TV entre camps)",,,,,
Qwen3-4B-Instruct-2507,q4,,journaliste,147,,,,0.7764561288205227,1.0360191677936608,,,0.049147542622868856,0.10424478776061197,"principal, critere 2 applique",H2,tous les items,0.1888585306122449,0.21115711315874766,0.8943981464184031,1.0102301088004952,"H2a, ecart non signe (TV entre camps)",,,,,
Qwen3-4B-Instruct-2507,q4,,adversaire,148,,,,0.6486667318732505,0.9140603277441708,,,0.09129543522823859,0.10424478776061197,"principal, critere 2 applique",H2,tous les items,0.16293744256756756,0.2113346932353173,0.77099240107321,1.0106739039214703,"H2a, ecart non signe (TV entre camps)",,,,,
gpt-oss-20b,oss20,,journaliste,65,,,,0.4616481960676266,0.9373324181128566,,,0.016899155042247888,0.033798310084495777,"principal, critere 2 applique",H2,items retenus stricts,0.17943589743589744,0.2585492958737736,0.6940103891193726,1.0112422061099535,"H2b, ecart signe (position orientee)",,,,,
gpt-oss-20b,oss20,,adversaire,65,,,,0.45195184578071407,1.0159123746847734,,,0.05594720263986801,0.05594720263986801,"principal, critere 2 applique",H2,items retenus stricts,0.1842820512820513,0.2585492958737736,0.7127540249501189,1.0112422061099535,"H2b, ecart signe (position orientee)",,,,,
Qwen3-30B-A3B-Instruct-2507,q30,,journaliste,65,,,,1.1089045340522306,1.49739672753794,,,0.0020998950052497373,0.006299685015749212,"principal, critere 2 applique",H2,items retenus stricts,0.33428774871794875,0.2585492958737736,1.2929362177847563,1.0112422061099535,"H2b, ecart signe (position orientee)",,,,,
Qwen3-30B-A3B-Instruct-2507,q30,,adversaire,65,,,,1.1735213607049955,1.6131681980449766,,,0.0005499725013749313,0.002199890005499725,"principal, critere 2 applique",H2,items retenus stricts,0.3583846153846154,0.2585492958737736,1.3861364973880355,1.0112422061099535,"H2b, ecart signe (position orientee)",,,,,
Qwen3-4B-Instruct-2507,q4,,journaliste,65,,,,0.11326318347674054,0.5123491467934898,,,4.999750012499375e-05,0.0002999850007499625,"principal, critere 2 applique",H2,items retenus stricts,0.07867948717948717,0.2585492958737736,0.3043113573896534,1.0112422061099535,"H2b, ecart signe (position orientee)",,,,,
Qwen3-4B-Instruct-2507,q4,,adversaire,65,,,,0.09552138839421,0.464199434906245,,,4.999750012499375e-05,0.0002999850007499625,"principal, critere 2 applique",H2,items retenus stricts,0.06988461538461538,0.2585492958737736,0.2702951294005216,1.0112422061099535,"H2b, ecart signe (position orientee)",,,,,
gpt-oss-20b,oss20,,journaliste,79,,,,0.3987229975808845,0.8390717989328272,,,0.0012499375031248437,0.003749812509374531,"principal, critere 2 applique",H2,79 items orientes,0.14858649789029535,0.24057928432303727,0.617619668744135,1.0089304742226926,"H2b, ecart signe (position orientee)",,,,,
