source,statistique,famille,taux,valeur_moyenne,reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm5,tau_etoile_nominal,courbe_a,courbe_b,courbe_r2,p_holm
A* deux cibles,A,publiee,0.05,-0.046357351062257086,-0.05125234925973888,0.004501731477161963,1.0873589911603874,0.2768781872543326,0.0,15,0.4934,0.4681,0.05149648331892333,-0.16757869385887272,0.9649117285574738,1.0
A* deux cibles,A,publiee,0.1,-0.047032098782294085,-0.05125234925973888,0.004501731477161963,0.9374727255179103,0.3485154470557322,0.0,15,0.4934,0.4681,0.05149648331892333,-0.16757869385887272,0.9649117285574738,
A* deux cibles,A,publiee,0.25,-0.050315669285863764,-0.05125234925973888,0.004501731477161963,0.20807104524715647,0.8351734949193262,0.0,15,0.4934,0.4681,0.05149648331892333,-0.16757869385887272,0.9649117285574738,
A* deux cibles,A,publiee,0.5,-0.06709008471360382,-0.05125234925973888,0.004501731477161963,-3.5181430821035033,0.0004345779767468623,0.8,15,0.4934,0.4681,0.05149648331892333,-0.16757869385887272,0.9649117285574738,
A* deux cibles,B,publiee,0.05,0.034422996626236525,0.03762468032022438,0.0017653095303214101,-1.8136670306226275,0.06972900383523893,0.0,15,0.13670000000000002,0.10775,-0.052476626017060164,0.06096350655058376,0.9973543690295785,0.34864501917619467
A* deux cibles,B,publiee,0.1,0.03294272380296391,0.03762468032022438,0.0017653095303214101,-2.6522014620337018,0.007996881116121643,0.5333333333333333,15,0.13670000000000002,0.10775,-0.052476626017060164,0.06096350655058376,0.9973543690295785,
A* deux cibles,B,publiee,0.25,0.028606751540673485,0.03762468032022438,0.0017653095303214101,-5.1084122215717045,3.2487726838919996e-07,1.0,15,0.13670000000000002,0.10775,-0.052476626017060164,0.06096350655058376,0.9973543690295785,
A* deux cibles,B,publiee,0.5,0.026563551578852096,0.03762468032022438,0.0017653095303214101,-6.265829618762884,3.708456486194327e-10,1.0,15,0.13670000000000002,0.10775,-0.052476626017060164,0.06096350655058376,0.9973543690295785,
A* deux cibles,C,publiee,0.05,0.03503802281368821,0.0349594423320659,0.0012820026548128471,0.06129510054234466,0.9511241926681588,0.0,15,0.195,0.17450000000000002,0.00454367424086439,0.09196279828941015,0.9993590390064402,1.0
A* deux cibles,C,publiee,0.1,0.03595057034220532,0.0349594423320659,0.0012820026548128471,0.7731091713566751,0.4394577737747237,0.0,15,0.195,0.17450000000000002,0.00454367424086439,0.09196279828941015,0.9993590390064402,
A* deux cibles,C,publiee,0.25,0.04222433460076045,0.0349594423320659,0.0012820026548128471,5.6668309082051875,1.454627632683593e-08,1.0,15,0.195,0.17450000000000002,0.00454367424086439,0.09196279828941015,0.9993590390064402,
A* deux cibles,C,publiee,0.5,0.06014575411913814,0.0349594423320659,0.0012820026548128471,19.646068354475485,6.2468303975316955e-86,1.0,15,0.195,0.17450000000000002,0.00454367424086439,0.09196279828941015,0.9993590390064402,
A* deux cibles,R1,reserve,0.05,0.003218098543584347,0.0035104796766406957,0.0006353840041938637,-0.46016445350603963,0.6453981834326659,0.0,15,0.4787,0.42925,0.0007686769314219346,0.007870968552816026,0.9585150212051459,1.0
A* deux cibles,R1,reserve,0.1,0.003427306728230582,0.0035104796766406957,0.0006353840041938637,-0.13090186070333718,0.8958529427217887,0.0,15,0.4787,0.42925,0.0007686769314219346,0.007870968552816026,0.9585150212051459,
A* deux cibles,R1,reserve,0.25,0.004473561917742095,0.0035104796766406957,0.0006353840041938637,1.5157483265939298,0.129583002681635,0.13333333333333333,15,0.4787,0.42925,0.0007686769314219346,0.007870968552816026,0.9585150212051459,
A* deux cibles,R1,reserve,0.5,0.005805870849225255,0.0035104796766406957,0.0006353840041938637,3.612604594125423,0.00030313676911828893,0.8,15,0.4787,0.42925,0.0007686769314219346,0.007870968552816026,0.9585150212051459,
A* deux cibles,R2,reserve,0.05,0.34095575913780934,0.3413028980699382,0.002117833298363117,-0.16391230244474314,0.869800182141164,0.0,15,0.45475000000000004,0.39375000000000004,0.009617143867551883,0.013850329743973624,0.9860778787913927,1.0
A* deux cibles,R2,reserve,0.1,0.34207262612601114,0.3413028980699382,0.002117833298363117,0.3634507289444714,0.716268212566465,0.0,15,0.45475000000000004,0.39375000000000004,0.009617143867551883,0.013850329743973624,0.9860778787913927,
A* deux cibles,R2,reserve,0.25,0.34509488690977447,0.3413028980699382,0.002117833298363117,1.790503928126508,0.07337293633186445,0.0,15,0.45475000000000004,0.39375000000000004,0.009617143867551883,0.013850329743973624,0.9860778787913927,
A* deux cibles,R2,reserve,0.5,0.3494653839283436,0.3413028980699382,0.002117833298363117,3.854168250501218,0.00011612372189970706,0.8666666666666667,15,0.45475000000000004,0.39375000000000004,0.009617143867551883,0.013850329743973624,0.9860778787913927,
A* trois cibles,A,publiee,0.05,-0.04575234217577661,-0.05125234925973888,0.004501731477161963,1.2217536989633266,0.22180078262680522,0.0,15,0.2378,0.17715,0.09020858020663408,-0.10726574015124057,0.9898215203027074,0.8872031305072209
A* trois cibles,A,publiee,0.1,-0.04161929924077234,-0.05125234925973888,0.004501731477161963,2.139854424422384,0.032366533283025335,0.26666666666666666,15,0.2378,0.17715,0.09020858020663408,-0.10726574015124057,0.9898215203027074,
A* trois cibles,A,publiee,0.25,-0.03693540385605796,-0.05125234925973888,0.004501731477161963,3.180319722825135,0.0014711264215699986,0.7333333333333333,15,0.2378,0.17715,0.09020858020663408,-0.10726574015124057,0.9898215203027074,
A* trois cibles,A,publiee,0.5,-0.03266169287233342,-0.05125234925973888,0.004501731477161963,4.129667991464833,3.632874721393774e-05,1.0,15,0.2378,0.17715,0.09020858020663408,-0.10726574015124057,0.9898215203027074,
