item,libelle,consistance_2sem,consistance_2ans,consistance_4ans,pente_par_log_annee,extrapolation_2sem,extrapolation_bornee,residu_stanford
confed,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.7110266159695817,0.5866431774503523,0.4831824062095731,-0.14926234159561969,1.1764150671008,1.0,-0.2889733840304183
jobfind,About how easy would it be for you to find a job with another employer with approximately the same income and ,0.7043726235741445,0.6048515799553144,0.5455755156353959,-0.08551728403776164,0.9427512113396639,0.9427512113396639,-0.23837858776551935
wksub1,Do you have a supervisor on your job to whom you are directly responsible?,0.7861216730038023,0.8720136518771331,0.8395604395604396,-0.04682008847021036,1.0570112323484784,1.0,-0.2138783269961977
xmarsex,What is your opinion about a married person having sexual relations with someone other than the marriage partn,0.7043726235741445,0.7827496757457847,0.7606100795755968,-0.03194068560201437,0.9089551090979282,0.9089551090979282,-0.20458248552378366
income,"In which of these groups did your total family income, from all sources, fall last year before taxes, that is?",0.6340304182509505,0.7262535419489959,0.7096938775510204,-0.0238905457057448,0.8206509106023026,0.8206509106023026,-0.18662049235135203
news,"How often do you read the newspaper--every day, a few times a week, once a week, less than once a week, or nev",0.6653992395437263,0.5429288965625491,0.4893410852713178,-0.07731086960195292,0.8484029844553334,0.8484029844553334,-0.1830037449116071
spfund,Fundamentalism/Liberalism of Religion of Spouse,0.8060836501901141,0.8372554578962291,0.8107932379713915,-0.03817691345647641,0.9881017473859584,0.9881017473859584,-0.18201809719584428
partfull,"When you worked in the previous year, was it usually full or part time?",0.8203422053231939,0.8526385662130767,0.8150708606982371,-0.054198742443836004,1.0667910068492963,1.0,-0.1796577946768061
unemp,"At any time during the last ten years, have you been unemployed and looking for work for as long as a month?",0.8307984790874525,0.80487423840025,0.7692793931731985,-0.051352506690277355,1.007780507893619,1.0,-0.16920152091254748
conpress,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.7366920152091255,0.6366380680012711,0.5908798972382787,-0.06601508603991946,0.8974797620481154,0.8974797620481154,-0.1607877468389899
colcom/y,We would like to ask you some questions about a self-identified Communist. Suppose this person is teaching in ,0.7908745247148289,0.7021459227467811,0.6607453848833159,-0.05972835066575701,0.9381471931360823,0.9381471931360823,-0.14727266842125342
natspac/y,"Are we spending too much, too little, or about the right amount on ""space exploration""?",0.7290874524714829,0.6446061446061446,0.6044653349001176,-0.05791094710015283,0.8734264105727249,0.8734264105727249,-0.14433895810124198
satfin,We are interested in how people are getting along financially these days. So far as you and your family are co,0.6948669201520913,0.5966165808553116,0.5565814902297617,-0.05775842670702105,0.8248342015765742,0.8248342015765742,-0.12996728142448288
conlabor,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.6920152091254753,0.6476238624873609,0.6183050847457627,-0.04229805525272943,0.8147537876129183,0.8147537876129183,-0.12273857848744296
parsol,"Compared to your parents when they were the age you are now, do you think your own standard of living now is m",0.5285171102661597,0.5052480916030534,0.4799357945425361,-0.03651792544271659,0.6495393151242123,0.6495393151242123,-0.1210222048580526
natenrgy,"Are we spending too much, too little, or about the right amount on ""developing alternative energy sources""?",0.6891634980988594,0.631633714880333,0.6007751937984496,-0.044519435334000816,0.8075408540985958,0.8075408540985958,-0.11837735599973642
granborn,How many of your four grandparents were born outside the United States?,0.7633079847908745,0.8702377908463309,0.8682346273731936,-0.0028899540087851485,0.8816567034705325,0.8816567034705325,-0.11834871867965802
finalter,"During the last few years, has your financial situation been getting better, worse, or has it stayed the same?",0.7062737642585551,0.5219127693116132,0.46921261531860115,-0.07603025081980325,0.8223268202855312,0.8223268202855312,-0.11605305602697602
suicide2,Do you think a person has the right to end his or her own life if this person has gone bankrupt?,0.8811787072243346,0.8968523002421307,0.8803305785123967,-0.023835806006434646,0.9910333790023811,0.9910333790023811,-0.10985467177804653
natheal/y,"Are we spending too much, too little, or about the right amount on ""health""?",0.7737642585551331,0.6601129698023028,0.6215916648193305,-0.055574495667505525,0.8797013467218648,0.8797013467218648,-0.10593708816673175
spdeg*,Your spouse's highest degree received,0.8460076045627376,0.8651658767772512,0.850151362260343,-0.021661365634898757,0.9507552116780406,0.9507552116780406,-0.10474760711530295
kidssol,"When your children are at the age you are now, do you think their standard of living will be much better, some",0.561787072243346,0.4656463692608271,0.4308755760368664,-0.05016365095198368,0.6638551799859639,0.6638551799859639,-0.10206810774261788
nateduc/y,"Are we spending too much, too little, or about the right amount on ""education""?",0.80893536121673,0.7647246778144637,0.7393004562242016,-0.03667939840673331,0.9096539203704144,0.9096539203704144,-0.10071855915368433
trust,"Generally speaking, would you say that most people can be trusted or that you can't be too careful in dealing ",0.7062737642585551,0.7399278883837592,0.7282962962962963,-0.016780840222226024,0.8062330779043484,0.8062330779043484,-0.09995931364579325
reborn,"Would you say you have been ""born again"" or have had a ""born again"" experience -- that is, a turning point in ",0.8203422053231939,0.8615846467245631,0.8518356643356644,-0.014064808546178087,0.9171581331456997,0.9171581331456997,-0.09681592782250581
racwork,"Are the people who work where you work all white, mostly white, about half and half, mostly black, or all blac",0.7395437262357415,0.6149027365644576,0.5764951321279554,-0.0554104604529666,0.8338429703729465,0.8338429703729465,-0.09429924413720503
wrkstat,"Last week were you working full time, part time, going to school, keeping house, or what?",0.8098859315589354,0.6576906957250629,0.6145788798631894,-0.062197202947643075,0.9034470031852718,0.9034470031852718,-0.09356107162633642
xmovie,Have you seen an X-rated movie in the last year?,0.879277566539924,0.84722876432721,0.8252303781379091,-0.031736962662864576,0.9726292386957069,0.9726292386957069,-0.093351672155783
cappun,Do you favor or oppose the death penalty for persons convicted of murder?,0.8726235741444867,0.8377693282636248,0.8158388003748829,-0.031639063829165114,0.9627829804804103,0.9627829804804103,-0.09015940633592368
natfare/y,"Are we spending too much, too little, or about the right amount on ""assistance to the poor""?",0.8041825095057035,0.6683863885839737,0.6289167412712623,-0.056942664443685155,0.8933807337863746,0.8933807337863746,-0.08919822428067115
conarmy,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.7423954372623575,0.6319720324169712,0.5971014492753624,-0.050307617371305374,0.8307496895521395,0.8307496895521395,-0.088354252289782
richwork,"If you were to get enough money to live as comfortably as you would like for the rest of your life, would you ",0.8545627376425855,0.7703995498030388,0.7412790697674418,-0.042011972135661824,0.9363990908092905,0.9363990908092905,-0.08183635316670501
happy,"Taken all together, how would you say things are these days--would you say that you are very happy, pretty hap",0.7328897338403042,0.6163806716496474,0.581814282650654,-0.049868757990286505,0.8134242884122243,0.8134242884122243,-0.08053455457192005
contv,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.6730038022813688,0.6082392237951328,0.5830128205128206,-0.036394006914857016,0.7520408150114707,0.7520408150114707,-0.07903701273010189
natchld,"Are we spending too much, too little, or about the right amount on ""assistance for childcare""?",0.7433460076045627,0.6401880141010576,0.6083714216983401,-0.045901640077386015,0.8215565811294147,0.8215565811294147,-0.07821057352485195
relig16*,In what religion were you raised?,0.876425855513308,0.8995751711116355,0.8899297423887588,-0.013915412185742285,0.9545583561020212,0.9545583561020212,-0.07813250058871324
homosex,"What about sexual relations between two adults of the same sex--do you think it is always wrong, almost always",0.7889733840304183,0.7707795560144554,0.7539543057996485,-0.024273705046617813,0.8666908806066023,0.8666908806066023,-0.07771749657618399
fair,"Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair",0.6825095057034221,0.6853577633865108,0.6723973256924546,-0.018697959188965264,0.7592379571822017,0.7592379571822017,-0.0767284514787796
confinan,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.7224334600760456,0.5652380199272498,0.5247208931419458,-0.0584538578842274,0.7962034587191547,0.7962034587191547,-0.07376999864310907
suicide3,Do you think a person has the right to end his or her own life if this person has dishonored his or her family,0.8773764258555133,0.8966908797417272,0.8871556588118155,-0.01375641594936436,0.9510458318518465,0.9510458318518465,-0.0736694059963332
natarms/y,"Are we spending too much, too little, or about the right amount on ""national defense""?",0.7490494296577946,0.5970264317180617,0.5576233183856503,-0.056846676200255755,0.8216415039765546,0.8216415039765546,-0.07259207431875991
mobile16,"When you were 16 years old, were you living in this same city/town/county? (same as where you are living right",0.8811787072243346,0.816711590296496,0.7928626842513576,-0.034406698481947905,0.9526608415504177,0.9526608415504177,-0.07148213432608319
posslq/y,Which of these statements applies to you?,0.9296577946768061,0.8177819666980836,0.775840597758406,-0.060508604977367264,1.056866212035031,1.0,-0.07034220532319391
wksup1,"In your job, do you supervise anyone who is directly responsible to you?",0.8260456273764258,0.7422680412371134,0.7155361050328227,-0.03856603179529034,0.894651832118866,0.894651832118866,-0.06860620474244017
helpful,"Would you say that most of the time people try to be helpful, or that they are mostly just looking out for the",0.6463878326996197,0.6567117258723671,0.6466284987277354,-0.01454702179771717,0.7141905543746643,0.7141905543746643,-0.06780272167504453
hapmar,"Taking things all together, how would you describe your marriage? Would you say that your marriage is very hap",0.8174904942965779,0.7422411750769959,0.7173803526448362,-0.0358665852352979,0.8839587946949321,0.8839587946949321,-0.06646830039835416
natenvir/y,"Are we spending too much, too little, or about the right amount on ""improving and protecting the environment""?",0.8136882129277566,0.6937746602367383,0.6612392582541836,-0.04693866309356057,0.8792407579437793,0.8792407579437793,-0.0655525450160227
natsci,"Are we spending too much, too little, or about the right amount on ""supporting scientific research""?",0.7034220532319392,0.5909038305751649,0.56,-0.0445848031152631,0.767069253828538,0.767069253828538,-0.06364720059659879
natrace/y,"Are we spending too much, too little, or about the right amount on ""assistance to blacks""?",0.7614068441064639,0.659493187316949,0.6308846352819452,-0.04127341614791383,0.8225745136157907,0.8225745136157907,-0.06116766950932684
natroad,"Are we spending too much, too little, or about the right amount on ""highways and bridges""?",0.7224334600760456,0.6364130434782609,0.6107174490699734,-0.03707090662553056,0.7828892304245072,0.7828892304245072,-0.06045577034846161
natmass,"Are we spending too much, too little, or about the right amount on ""mass transportation""?",0.7281368821292775,0.6429395477618828,0.6174339799018462,-0.03679675626673166,0.788332499824978,0.788332499824978,-0.060195617695700476
polattak/y,Would you approve if the citizen was attacking the police officer with his fists?,0.7785171102661597,0.8580128205128205,0.8616780045351474,0.005287742812956572,0.8371196599376517,0.8371196599376517,-0.05860254967149203
conlegis,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.7338403041825095,0.6248198558847078,0.5954296749275829,-0.0424010683176733,0.7923568107360563,0.7923568107360563,-0.0585165065535469
spkath/y,"There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebo",0.8517110266159695,0.8350663893776996,0.822083879423329,-0.018729802729462168,0.9090724047627563,0.9090724047627563,-0.05736137814678677
natpark,"Are we spending too much, too little, or about the right amount on ""parks and recreation""?",0.717680608365019,0.6631224910491483,0.6435818262020291,-0.028191220270612237,0.7745128730625503,0.7745128730625503,-0.05683226469753133
finrela,"Compared with American families in general, would you say your family income is far below average, below avera",0.6929657794676806,0.58604898828541,0.5574799740203508,-0.04121637520328696,0.7489049319100929,0.7489049319100929,-0.05593915244241232
spkrac/y,Consider a person who believes that Blacks are genetically inferior. If such a person wanted to make a speech ,0.7946768060836502,0.7379912663755459,0.7184915646708567,-0.028132122948169143,0.8491481404648596,0.8491481404648596,-0.054471334381209435
owngun,Do you happen to have in your home (or garage) any guns or revolvers?,0.9467680608365019,0.8872423777891331,0.8613824192336589,-0.03730803396557673,1.0346555126482406,1.0,-0.05323193916349811
courts,"In general, do you think the courts in this area deal too harshly or not harshly enough with criminals?",0.7595057034220533,0.7048315549694282,0.686920448999512,-0.025840263759634788,0.8069327348361724,0.8069327348361724,-0.04742703141411919
suicide4,Do you think a person has the right to end his or her own life if this person is tired of living and ready to ,0.8640684410646388,0.8525126862006875,0.8429919137466307,-0.013735571204899997,0.9067852756451766,0.9067852756451766,-0.04271683458053788
spanking,"Do you strongly agree, agree, disagree, or strongly disagree that it is sometimes necessary to discipline a ch",0.7395437262357415,0.5696688529835227,0.5334652159577976,-0.05223080759915758,0.7760455034261291,0.7760455034261291,-0.03650177719038761
conbus,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.7214828897338403,0.637739494445339,0.6166612430849333,-0.03040948870826827,0.7578947956891569,0.7578947956891569,-0.036411905955316515
health,"Would you say your own health, in general, is excellent, good, fair, or poor?",0.7994296577946768,0.6167247386759582,0.5785899094437258,-0.055016929018489216,0.834110033875904,0.834110033875904,-0.034680376081227204
savesoul,Have you ever tried to encourage someone to believe in Jesus Christ or to accept Jesus Christ as his or her sa,0.9077946768060836,0.8476884103863205,0.8315789473684211,-0.02324104240730761,0.9395194332114792,0.9395194332114792,-0.03172475640539563
postlife,Do you believe there is a life after death?,0.9125475285171103,0.9023806524751228,0.8950332821300563,-0.010600014760402064,0.9442638942140319,0.9442638942140319,-0.0317163656969216
racdif3,"On the average Blacks/African-Americans have worse jobs, income, and housing than white people. Do you think t",0.8013307984790875,0.7294233612617053,0.7112605042016806,-0.026203463808872632,0.832959633041589,0.832959633041589,-0.03162883456250154
divlaw,Should divorce in this country be easier or more difficult to obtain than it is now?,0.747148288973384,0.6575720946295976,0.6363636363636364,-0.030597337565202904,0.7784696324894211,0.7784696324894211,-0.0313213435160371
uswary,Do you expect the United States to fight in another world war within the next ten years?,0.8165399239543726,0.7385879488740109,0.7199710564399421,-0.02685849839139437,0.8447124219335373,0.8447124219335373,-0.028172497979164768
grass,Do you think the use of marijuana should be made legal or not?,0.9496197718631179,0.8391358685948938,0.8149339049660593,-0.034916052907094486,0.9770977033217076,0.9770977033217076,-0.027477931458589788
libcom/y,We would like to ask you some questions about a self-identified Communist. Suppose this person wrote a book wh,0.8355513307984791,0.7953342157511581,0.7841099564197117,-0.01619318327512945,0.8593174294508512,0.8593174294508512,-0.023766098652372114
abhlth,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion ,0.9581749049429658,0.9172331747110809,0.9059561128526645,-0.016269361218935376,0.9815173860327315,0.9815173860327315,-0.023342481089765776
fefam,"Please tell me whether you strongly agree, agree, disagree, or strongly disagree with it: ""It is much better f",0.6644486692015209,0.5594762893182181,0.537828947368421,-0.031230512879399926,0.6828756571610235,0.6828756571610235,-0.018426987959502594
polhitok/y,Are there any situations you can imagine in which you would approve of a police officer striking an adult male,0.8127376425855514,0.7992220781626227,0.7937898089171974,-0.007837107901148685,0.8301884015288813,0.8301884015288813,-0.017450758943329925
satjob,"On the whole, how satisfied are you with the work you do--would you say you are very satisfied, moderately sat",0.6996197718631179,0.5761485210824417,0.5514804845222072,-0.035588454013918,0.7167671764589592,0.7167671764589592,-0.017147404595841298
spkcom/y,We would like to ask you some questions about a self-identified Communist. Suppose this admitted Communist wan,0.8526615969581749,0.8175242479039947,0.8093489148580968,-0.01179451244293257,0.8641272411078625,0.8641272411078625,-0.011465644149687648
marhomo,Do you agree or disagree -- homosexual couples should have the right to marry one another.,0.7661596958174905,0.5260397830018083,0.4819422150882825,-0.06361934254410796,0.7774153106094951,0.7774153106094951,-0.011255614792004542
aged,"As you know, many older people share a home with their grown children. Do you think this is generally a good i",0.7129277566539924,0.5866054464851171,0.5625,-0.0347768081024928,0.7240170910524035,0.7240170910524035,-0.011089334398411088
tax,"Do you consider the amount of federal income tax which you have to pay as too high, about right, or too low?",0.7899239543726235,0.7163708741084757,0.70178391114103,-0.02104453913476481,0.7995229771751562,0.7995229771751562,-0.009599022802532664
conmedic,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.714828897338403,0.5888661094464596,0.565633982753114,-0.033516873969793685,0.7212994471860922,0.7212994471860922,-0.006470549847689133
hunt1,Do you (or does your husband/wife/partner) go hunting?,0.9458174904942965,0.9233038348082596,0.9183673469387755,-0.007121846568713215,0.9514439863275884,0.9514439863275884,-0.005626495833291889
prayer,The United States Supreme Court has ruled that no state or local government may require the reading of the Lor,0.8155893536121673,0.7605042016806722,0.7502590673575129,-0.014780604481263261,0.8189059722941002,0.8189059722941002,-0.0033166186819328924
uscitzn*,Now we would like to ask you about U.S. citizenship. Are you…,0.997148288973384,0.8864516129032258,0.8539823008849557,-0.046843315429834664,1.0715409687528885,1.0,-0.002851711026615966
natdrug/y,"Are we spending too much, too little, or about the right amount on ""drug rehabilitation""?",0.720532319391635,0.6177540350079563,0.5993063583815029,-0.026614371584907582,0.7229139035568144,0.7229139035568144,-0.002381584165179418
racdif1,"On the average Blacks/African-Americans have worse jobs, income, and housing than white people. Do you think t",0.8526615969581749,0.7656854499579479,0.7500862961684501,-0.022504821814172644,0.8546074857889918,0.8546074857889918,-0.001945888830816922
conjudge,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.7271863117870723,0.5902383654937571,0.566068515497553,-0.034869722728553765,0.7280171383936311,0.7280171383936311,-0.0008308266065588654
