variable,n_avant,n_apres,moyenne_avant,moyenne_apres,delta_moyenne,iqr_avant,iqr_apres,ratio_iqr,variance_avant,variance_apres,ratio_variance,part_inter_avant,part_inter_apres,delta_part_inter,iqr_intra_avant,iqr_intra_apres,ratio_iqr_intra,regle,mois_choc
infl1,3220,3158,5.137161969753772,4.64076160457709,-0.4964003651766822,5.4755518436431885,4.699662804603577,0.8582993895053015,40.604110728286535,35.43209418561906,0.8726233268035979,0.023752087062282594,0.01727819098000462,-0.0064738960822779724,6.108868360519409,5.316429123282433,0.8702805183430734,"primaire, saut de moyenne",2025-06
infl3,3221,3160,4.42405712154735,3.9545997803695165,-0.4694573411778338,5.611577749252319,5.382052183151245,0.9590978551207535,41.90836589997056,35.70585794668138,0.8519983344591935,0.019228809511405542,0.0045318818269101694,-0.014696927684495372,5.972297698259354,5.519837379455566,0.9242401598742042,"primaire, saut de moyenne",2025-06
revenu,3261,3193,4.306317080751322,4.733401190245689,0.42708410949436715,4.0,4.0,1.0,191.73538991313188,176.20139587433098,0.9189821240312559,0.02174716701281361,0.03147083829691079,0.00972367128409718,5.125,4.125,0.8048780487804879,"primaire, saut de moyenne",2025-06
depense,3263,3199,6.414863622447957,6.123944982956186,-0.2909186394917711,8.0,8.0,1.0,193.2872453500323,173.06954523386963,0.8954007540458785,0.007918653843718667,0.00337524070545402,-0.004543413138264648,10.0,8.125,0.8125,"primaire, saut de moyenne",2025-06
logement,3262,3199,6.087412630320326,5.824013754320204,-0.2633988760001218,8.0,9.0,1.125,135.54905390363564,121.81635895145088,0.8986883747492064,0.044396082415377645,0.04233214502910068,-0.0020639373862769636,8.125,9.0,1.1076923076923078,"primaire, saut de moyenne",2025-06
perte_emploi,1990,1944,15.725125628140704,14.29783950617284,-1.4272861219678639,18.0,19.0,1.0555555555555556,429.57009218191774,379.03916389643297,0.8823686071140969,0.017956317410136927,0.015362285679098425,-0.0025940317310385024,20.0,16.5,0.825,"primaire, saut de moyenne",2025-06
chomage,3269,3205,46.48455185071887,42.54914196567863,-3.9354098850402437,50.0,46.0,0.92,859.148633952958,784.9034660072032,0.9135828598083763,0.06767244796918413,0.08190437127577835,0.014231923306594216,43.5,40.0,0.9195402298850575,"primaire, saut de moyenne",2025-06
infl1_var,3220,3158,20.877746746758497,18.757176570731147,-2.12057017602735,24.11491584777832,18.770354866981506,0.7783711535825574,953.786509219235,891.5015775690902,0.9346971979073903,0.15681329712664244,0.1729475153611289,0.016134218234486464,28.178647622466087,20.541936371475458,0.7289894336553582,"primaire, saut de moyenne",2025-06
infl1_point,3259,3197,7.232669530946781,6.6632561776501555,-0.5694133532966257,8.0,6.0,0.75,184.64486990775572,159.96037744195556,0.8663136837858969,0.04623661492472919,0.06553236854367406,0.019295753618944866,10.0,8.224999964237213,0.8224999964237213,"primaire, saut de moyenne",2025-06
infl1,3018,3230,4.699623997943014,4.989304851253173,0.28968085331015825,5.128830552101135,5.214526295661926,1.016708632248668,39.207713413832316,39.17819177261032,0.9992470450671173,0.029717985902978333,0.024065223189723494,-0.005652762713254839,5.01130610704422,5.984311978580335,1.194162130740406,"secondaire, saut d'IQR",2025-04
infl3,3019,3233,4.059380340885658,4.262958798865889,0.2035784579802309,5.999999948138607,5.572492897510529,0.9287488242794562,40.99191213208991,39.496395155029404,0.9635167793041359,0.022471077683916776,0.018265852162567982,-0.004205225521348794,5.698974289000034,5.699638158082962,1.0001164892223167,"secondaire, saut d'IQR",2025-04
revenu,3058,3276,5.034993459977346,4.474755799837902,-0.5602376601394443,4.0,4.0,1.0,189.84175816475604,182.11529842265517,0.9593005257810804,0.03157371568731241,0.022482376333165997,-0.009091339354146414,5.0,5.0,1.0,"secondaire, saut d'IQR",2025-04
depense,3058,3282,6.351082406816864,6.26093845214924,-0.09014395466762348,8.0,8.0,1.0,191.20499233988437,184.31131705064453,0.9639461543086402,0.003631895967813201,0.011255348104965361,0.0076234521371521605,9.5,8.5625,0.9013157894736842,"secondaire, saut d'IQR",2025-04
logement,3056,3281,6.099116492099787,5.935214873549779,-0.16390161855000773,8.0,9.0,1.125,129.49138550799202,129.55055127790305,1.0004569089262496,0.02392849978944068,0.053557069661243115,0.029628569871802436,8.5,9.0,1.0588235294117647,"secondaire, saut d'IQR",2025-04
perte_emploi,1846,2000,14.829360780065006,15.2765,0.4471392199349946,19.0,18.0,0.9473684210526315,401.87059326025314,410.203736359785,1.0207358867239518,0.021617920735543642,0.015768071519771294,-0.005849849215772349,18.5,18.25,0.9864864864864865,"secondaire, saut d'IQR",2025-04
chomage,3062,3287,42.25702155453952,45.23395193185275,2.9769303773132307,43.0,50.0,1.1627906976744187,815.844174446936,825.4595597558684,1.011785811077772,0.06407523681722764,0.07458281071557209,0.010507573898344447,40.0,42.25,1.05625,"secondaire, saut d'IQR",2025-04
infl1_var,3018,3230,20.672174168816063,19.816324943294834,-0.8558492255212293,23.087388515472412,20.944862365722656,0.907199285518416,1001.384696511373,888.9327718312416,0.8877035717922475,0.16674680755295757,0.17398559680935322,0.00723878925639565,24.91795602440834,26.224467769265175,1.05243254075804,"secondaire, saut d'IQR",2025-04
infl1_point,3051,3276,5.86019010169194,7.394942002708686,1.5347519010167456,6.0,8.0,1.3333333333333333,176.2756987399428,180.57091947612793,1.0243664938893353,0.04810984773788215,0.056280789609760594,0.008170941871878445,8.8125,10.5,1.1914893617021276,"secondaire, saut d'IQR",2025-04
