configuration,n_personnes,n_cellules,taux_changement,auc_reference,auc_reference_plus_desaccord,gain_auc,gain_auc_ic_bas,gain_auc_ic_haut
Demographics Only - GPT4.1-mini,2058,168768,0.288158892681077,0.7328591142826691,0.7416611913589285,0.008802077076259351,0.005139882391510539,0.01352726535290963
JSON Persona - GPT4.1,2058,168768,0.288158892681077,0.7328591142826691,0.7528045156426764,0.01994540136000722,0.012735195714570087,0.028700368671683636
JSON Persona - GPT4.1-mini,1000,81879,0.29390930519425007,0.7307493105464682,0.7458710503519705,0.015121739805502354,0.009357433915704556,0.02163423922804177
Text Persona (Default Temperature) - GPT4.1-mini,2058,168768,0.288158892681077,0.7328591142826691,0.747183151697008,0.014324037414338853,0.009400921049380307,0.02012402974440691
Text Persona (Reasoning) - GPT4.1-mini,2058,168768,0.288158892681077,0.7328591142826691,0.7481544064208997,0.015295292138230554,0.010209635345272172,0.02118590695300303
Text Persona (Repeating Questions) - GPT4.1-mini,2058,168768,0.288158892681077,0.7328591142826691,0.7475650838471513,0.014705969564482113,0.009419713379428615,0.021215432513479297
Text Persona - GPT4.1-mini,2058,168768,0.288158892681077,0.7328591142826691,0.748002989908717,0.015143875626047909,0.009662664586943514,0.0215455796785098
Text Persona - Gemini-Flash2.5,2058,168768,0.288158892681077,0.7328591142826691,0.7522439467401386,0.01938483245746947,0.014004239961427334,0.026002811808792048
