famille,methode,n_items,exactitude,ic_bas,ic_haut,part_diversite_humaine,accord_par_paires,plancher_uniforme,n_personnes
Non-experimental heuristics and biases,"GPT-4.1-mini, persona JSON",10,0.282500,0.273000,0.292400,0.323626,0.718248,0.189286,1000.000000
Non-experimental heuristics and biases,"GPT-4.1-mini, persona JSON, sortie predite",10,0.238824,0.231826,0.245821,0.235117,0.797612,0.189286,2058.000000
Non-experimental heuristics and biases,"GPT-4.1-mini, resume de persona",10,0.256900,0.250533,0.263120,0.398644,0.664801,0.189286,2058.000000
Non-experimental heuristics and biases,"GPT-4.1-mini, resume plus persona JSON",10,0.231195,0.225023,0.236880,0.592380,0.545682,0.189286,2058.000000
Non-experimental heuristics and biases,"GPT-4.1-mini, affine sur 500 exemples",10,0.296919,0.288383,0.304751,0.212719,0.861104,0.189286,1558.000000
Non-experimental heuristics and biases,"GPT-4.1-mini, demographies seules",10,0.258941,0.252331,0.265452,0.386981,0.666625,0.189286,2058.000000
Non-experimental heuristics and biases,"GPT-4.1, persona JSON",10,0.296501,0.289455,0.303839,0.389592,0.661810,0.189286,2058.000000
Non-experimental heuristics and biases,"GPT-4.1, persona JSON, sortie predite",10,0.289951,0.282927,0.296878,0.220374,0.806597,0.189286,2050.000000
Non-experimental heuristics and biases,"Gemini-Flash-2.5, persona texte",10,0.297036,0.290816,0.303548,0.639645,0.496134,0.189286,2058.000000
Non-experimental heuristics and biases,humains retest vagues 1 a 3,10,0.496210,0.488823,0.504179,1.007750,0.271997,0.189286,
Probability matching vs. maximizing - Problem 1,B2 contexte complet (a2),10,0.771221,0.758040,0.783532,0.044301,0.991324,0.500000,
Probability matching vs. maximizing - Problem 1,B2 contexte complet (tirage),10,0.696415,0.685463,0.708142,0.857358,0.720088,0.500000,
Probability matching vs. maximizing - Problem 1,B2 contexte demographies seules,10,0.770736,0.757650,0.783236,0.052260,0.989648,0.500000,
Probability matching vs. maximizing - Problem 1,B1 argmax,10,0.756880,0.744184,0.768995,0.392059,0.894755,0.500000,
Probability matching vs. maximizing - Problem 1,B0 mode,10,0.772190,0.758818,0.784884,0.000000,1.000000,0.500000,
Probability matching vs. maximizing - Problem 1,B0 tirage,10,0.652616,0.642054,0.662892,1.003162,0.656812,0.500000,
Probability matching vs. maximizing - Problem 1,"GPT-4.1-mini, persona texte",10,0.772190,0.758818,0.784884,0.000000,1.000000,0.500000,2058.000000
Probability matching vs. maximizing - Problem 1,"GPT-4.1-mini, persona texte, temperature par defaut",10,0.772190,0.758818,0.784884,0.000000,1.000000,0.500000,2058.000000
Probability matching vs. maximizing - Problem 1,"GPT-4.1-mini, persona texte, raisonnement",10,0.772190,0.758818,0.784884,0.000000,1.000000,0.500000,2058.000000
Probability matching vs. maximizing - Problem 1,"GPT-4.1-mini, persona texte, questions repetees",10,0.772190,0.758818,0.784884,0.000000,1.000000,0.500000,2058.000000
Probability matching vs. maximizing - Problem 1,"GPT-4.1-mini, persona JSON",10,0.768504,0.750192,0.786225,0.000000,1.000000,0.500000,1000.000000
Probability matching vs. maximizing - Problem 1,"GPT-4.1-mini, persona JSON, sortie predite",10,0.701744,0.684205,0.719479,0.000000,1.000000,0.500000,2058.000000
Probability matching vs. maximizing - Problem 1,"GPT-4.1-mini, resume de persona",10,0.772190,0.758818,0.784884,0.000000,1.000000,0.500000,2058.000000
