famille,test,identite,camp,condition_a,condition_b,n_items,n_items_attendus,statut,raison_statut,estimateur_a,estimateur_b,difference,ic_bas,ic_haut,p,p_holm,significatif,portee,verdict
F3,olmo3dpo contre 1,journaliste,,olmo3dpo,1,76,79,EXECUTE,estimation R1 reutilisee,0.630378947772926,1.0,-0.369621052227074,0.38870120615352766,0.893720693191042,0.007849607519624019,0.007849607519624019,True,DESCRIPTIVE checkpoints publies; aucune causalite d'etape,sous 1
F3,olmo3rlvr contre 1,journaliste,,olmo3rlvr,1,75,79,EXECUTE,estimation R1 reutilisee,0.5261717636500587,1.0,-0.4738282363499413,0.32286715291724943,0.7682455346840193,0.0005499725013749313,0.0010999450027498626,True,DESCRIPTIVE checkpoints publies; aucune causalite d'etape,sous 1
F5,olmo3base/gauche contre 1,journaliste,gauche,olmo3base,1,143,149,EXECUTE,estimation R1 reutilisee,1.129156433428016,1.0,0.12915643342801597,1.0615911023719753,1.1983285865824096,0.0015999200039998,0.007999600019999,True,DESCRIPTIVE checkpoints publies; aucune causalite d'etape,au-dessus de 1
F5,olmo3base/centre contre 1,journaliste,centre,olmo3base,1,146,149,EXECUTE,estimation R1 reutilisee,1.2101334390766079,1.0,0.21013343907660786,1.1581993872949425,1.2723799095666644,4.999750012499375e-05,0.000599970001499925,True,DESCRIPTIVE checkpoints publies; aucune causalite d'etape,au-dessus de 1
F5,olmo3base/droite contre 1,journaliste,droite,olmo3base,1,143,149,EXECUTE,estimation R1 reutilisee,1.164249906185808,1.0,0.16424990618580804,1.1101513318681993,1.2194156576263444,4.999750012499375e-05,0.000599970001499925,True,DESCRIPTIVE checkpoints publies; aucune causalite d'etape,au-dessus de 1
F5,olmo3sft/gauche contre 1,journaliste,gauche,olmo3sft,1,141,149,EXECUTE,estimation R1 reutilisee,1.1362165650096887,1.0,0.1362165650096887,1.06944809867418,1.2078020545718637,0.04334783260836958,0.13004349782510874,False,DESCRIPTIVE checkpoints publies; aucune causalite d'etape,non significatif
F5,olmo3sft/centre contre 1,journaliste,centre,olmo3sft,1,140,149,EXECUTE,estimation R1 reutilisee,1.172994198907951,1.0,0.1729941989079511,1.1259455510856136,1.230999944048278,4.999750012499375e-05,0.000599970001499925,True,DESCRIPTIVE checkpoints publies; aucune causalite d'etape,au-dessus de 1
F5,olmo3sft/droite contre 1,journaliste,droite,olmo3sft,1,140,149,EXECUTE,estimation R1 reutilisee,1.0719326299410865,1.0,0.07193262994108651,1.0233204854177314,1.1270342697266604,0.011549422528873556,0.046197690115494225,True,DESCRIPTIVE checkpoints publies; aucune causalite d'etape,au-dessus de 1
F5,olmo3dpo/gauche contre 1,journaliste,gauche,olmo3dpo,1,138,149,EXECUTE,estimation R1 reutilisee,1.1800833938710844,1.0,0.1800833938710844,1.1137958584885241,1.259311062213792,0.000199990000499975,0.001399930003499825,True,DESCRIPTIVE checkpoints publies; aucune causalite d'etape,au-dessus de 1
F5,olmo3dpo/centre contre 1,journaliste,centre,olmo3dpo,1,136,149,EXECUTE,estimation R1 reutilisee,1.1617866893531503,1.0,0.16178668935315033,1.106587710696288,1.226342603521411,4.999750012499375e-05,0.000599970001499925,True,DESCRIPTIVE checkpoints publies; aucune causalite d'etape,au-dessus de 1
F5,olmo3dpo/droite contre 1,journaliste,droite,olmo3dpo,1,137,149,EXECUTE,estimation R1 reutilisee,1.0522213458706455,1.0,0.05222134587064553,0.9961368511040386,1.117131038322118,0.1944902754862257,0.1944902754862257,False,DESCRIPTIVE checkpoints publies; aucune causalite d'etape,non significatif
F5,olmo3rlvr/gauche contre 1,journaliste,gauche,olmo3rlvr,1,139,149,EXECUTE,estimation R1 reutilisee,1.1807372156799727,1.0,0.1807372156799727,1.1124577545435805,1.2548014673423717,0.000199990000499975,0.001399930003499825,True,DESCRIPTIVE checkpoints publies; aucune causalite d'etape,au-dessus de 1
F5,olmo3rlvr/centre contre 1,journaliste,centre,olmo3rlvr,1,138,149,EXECUTE,estimation R1 reutilisee,1.1779158720736271,1.0,0.17791587207362713,1.126805491434749,1.2351258959136286,4.999750012499375e-05,0.000599970001499925,True,DESCRIPTIVE checkpoints publies; aucune causalite d'etape,au-dessus de 1
F5,olmo3rlvr/droite contre 1,journaliste,droite,olmo3rlvr,1,134,149,EXECUTE,estimation R1 reutilisee,1.0711935390386786,1.0,0.07119353903867864,1.0119480400480003,1.137699288834458,0.048347582620868954,0.13004349782510874,False,DESCRIPTIVE checkpoints publies; aucune causalite d'etape,non significatif
