item,panel,paire,ecart_annees,n_paires,consistance,hasard_panel,n_modalites_panel
natspac/y,2006-2010,2006-2008,2,1381,0.662563359884142,0.3861567321182098,3
natenvir/y,2006-2010,2006-2008,2,736,0.7214673913043478,0.5475596440552718,3
natheal/y,2006-2010,2006-2008,2,1492,0.7238605898123325,0.5870093050665967,3
natcity/y,2006-2010,2006-2008,2,1273,0.5451688923802043,0.34698488598766875,3
natdrug/y,2006-2010,2006-2008,2,1390,0.6201438848920864,0.46534173123994205,3
nateduc/y,2006-2010,2006-2008,2,1499,0.7464976651100734,0.5988896221648105,3
natrace/y,2006-2010,2006-2008,2,1240,0.6403225806451613,0.3672573467825475,3
natarms/y,2006-2010,2006-2008,2,1453,0.5953200275292498,0.33997950926609305,3
nataid/y,2006-2010,2006-2008,2,1448,0.6823204419889503,0.5065122905122519,3
natfare/y,2006-2010,2006-2008,2,1465,0.677815699658703,0.3737368461455062,3
natroad,2006-2010,2006-2008,2,1466,0.5661664392905866,0.4189544462624448,3
natsoc,2006-2010,2006-2008,2,1431,0.6939203354297694,0.517627542354356,3
natmass,2006-2010,2006-2008,2,1375,0.6254545454545455,0.4232734774386978,3
natpark,2006-2010,2006-2008,2,1476,0.6605691056910569,0.47906078725764023,3
natchld,2006-2010,2006-2008,2,1352,0.6205621301775148,0.4472899148790002,3
natsci,2006-2010,2006-2008,2,1357,0.5814296241709653,0.399730489896836,3
uswary,2006-2010,2006-2008,2,888,0.7173423423423423,0.5252203708680463,2
prayer,2006-2010,2006-2008,2,921,0.750271444082519,0.5099426588601508,2
courts,2006-2010,2006-2008,2,1368,0.6973684210526315,0.5196502891765973,3
discaffw,2006-2010,2006-2008,2,463,0.4838012958963283,0.3262974748746595,4
discaffm,2006-2010,2006-2008,2,485,0.43917525773195876,0.29455973870780106,4
fehire,2006-2010,2006-2008,2,492,0.44308943089430897,0.3061413257637429,5
fechld,2006-2010,2006-2008,2,983,0.5127161749745677,0.31672104952476177,4
fepresch,2006-2010,2006-2008,2,978,0.5480572597137015,0.3565715189448763,4
fefam,2006-2010,2006-2008,2,979,0.5199182839632278,0.3258697406284898,4
fepol,2006-2010,2006-2008,2,901,0.7957824639289678,0.6458437279745612,2
mobile16,2006-2010,2006-2008,2,1527,0.8192534381139489,0.3452271407287695,3
incom16,2006-2010,2006-2008,2,1466,0.582537517053206,0.3126023298317059,5
wrkstat,2006-2010,2006-2008,2,1534,0.6734028683181226,0.3064541017493971,8
evwork,2006-2010,2006-2008,2,452,0.915929203539823,0.7828367387423132,2
partfull,2006-2010,2006-2008,2,969,0.8627450980392157,0.6848740542650467,2
conarmy,2006-2010,2006-2008,2,1004,0.6075697211155379,0.39558944627924086,3
conbus,2006-2010,2006-2008,2,984,0.6107723577235772,0.45939050522086244,3
conclerg,2006-2010,2006-2008,2,977,0.6141248720573184,0.3889052554148034,3
coneduc,2006-2010,2006-2008,2,1018,0.6011787819253438,0.41933773593421575,3
confed,2006-2010,2006-2008,2,989,0.5985844287158746,0.39177633136094675,3
confinan,2006-2010,2006-2008,2,1005,0.5263681592039801,0.41700227788318706,3
conjudge,2006-2010,2006-2008,2,980,0.5806122448979592,0.386513923086136,3
conlabor,2006-2010,2006-2008,2,925,0.6205405405405405,0.44027919250027164,3
conlegis,2006-2010,2006-2008,2,990,0.6060606060606061,0.41803905325443785,3
conmedic,2006-2010,2006-2008,2,1010,0.5891089108910891,0.41506245411998915,3
conpress,2006-2010,2006-2008,2,1007,0.605759682224429,0.4172309938008703,3
consci,2006-2010,2006-2008,2,944,0.6069915254237288,0.4390524820995835,3
contv,2006-2010,2006-2008,2,1006,0.5815109343936382,0.4207515828833149,3
joblose,2006-2010,2006-2008,2,502,0.6155378486055777,0.47867093999756577,4
jobfind,2006-2010,2006-2008,2,498,0.5943775100401606,0.334210492411554,3
happy,2006-2010,2006-2008,2,1521,0.6180144641683103,0.4298441572523805,3
hapmar,2006-2010,2006-2008,2,690,0.7217391304347827,0.5011483224285234,3
satjob,2006-2010,2006-2008,2,1012,0.5889328063241107,0.3978455122351731,4
spdeg*,2006-2010,2006-2008,2,689,0.8432510885341074,0.3011130247379764,5
spfund,2006-2010,2006-2008,2,639,0.8513302034428795,0.34488172181685606,3
unemp,2006-2010,2006-2008,2,1023,0.7693059628543499,0.5577538901341281,2
spkath/y,2006-2010,2006-2008,2,1035,0.8521739130434782,0.6534990397805214,2
colath,2006-2010,2006-2008,2,983,0.7131230925737538,0.5315343048285617,2
spkrac/y,2006-2010,2006-2008,2,1025,0.7307317073170732,0.5304627029924689,2
colrac,2006-2010,2006-2008,2,985,0.6588832487309645,0.5001502048066675,2
librac/y,2006-2010,2006-2008,2,1009,0.7106045589692765,0.5552241286704768,2
spkcom/y,2006-2010,2006-2008,2,1006,0.8260437375745527,0.5669110722000319,2
colcom/y,2006-2010,2006-2008,2,955,0.7225130890052356,0.5328122618503277,2
libcom/y,2006-2010,2006-2008,2,1001,0.7652347652347652,0.5769685106948155,2
spkhomo/y,2006-2010,2006-2008,2,1013,0.859822309970385,0.7126654064272211,2
colhomo,2006-2010,2006-2008,2,1003,0.8354935194416749,0.663633227822417,2
libhomo/y,2006-2010,2006-2008,2,1007,0.7964250248262165,0.6278247695997979,2
cappun,2006-2010,2006-2008,2,1382,0.8473227206946454,0.5622726530295779,2
polhitok/y,2006-2010,2006-2008,2,940,0.7978723404255319,0.5479853347727174,2
polabuse/y,2006-2010,2006-2008,2,978,0.8905930470347648,0.8730554304172378,2
polattak/y,2006-2010,2006-2008,2,994,0.8762575452716298,0.8140022367941411,2
grass,2006-2010,2006-2008,2,887,0.8478015783540023,0.5374327579072457,2
gunlaw,2006-2010,2006-2008,2,1017,0.8210422812192724,0.674125026782183,2
owngun,2006-2010,2006-2008,2,1038,0.8872832369942196,0.5365625,3
class,2006-2010,2006-2008,2,1521,0.685733070348455,0.4129267557052577,4
satfin,2006-2010,2006-2008,2,1526,0.564875491480996,0.35071155205960725,3
finalter,2006-2010,2006-2008,2,1527,0.5081859855926654,0.35084013029973987,3
finrela,2006-2010,2006-2008,2,1506,0.5810092961487384,0.3391837319523933,5
racdif1,2006-2010,2006-2008,2,923,0.7638136511375948,0.5398111566701874,2
racdif2,2006-2010,2006-2008,2,958,0.8987473903966597,0.8345940792003077,2
racdif3,2006-2010,2006-2008,2,954,0.7180293501048218,0.502132235098651,2
racdif4,2006-2010,2006-2008,2,914,0.7089715536105032,0.5000115940834104,2
wlthwhts,2006-2010,2006-2008,2,963,0.4205607476635514,0.30918279104961627,7
wlthblks,2006-2010,2006-2008,2,960,0.40520833333333334,0.28781001542660495,7
racwork,2006-2010,2006-2008,2,518,0.6003861003861004,0.3343759190275464,5
getahead,2006-2010,2006-2008,2,1037,0.6027000964320154,0.5062289456842909,3
aged,2006-2010,2006-2008,2,1011,0.543026706231454,0.36541173410246347,3
parsol,2006-2010,2006-2008,2,999,0.5045045045045045,0.2781692995929563,5
kidssol,2006-2010,2006-2008,2,983,0.4811800610376399,0.21983976140862496,6
spanking,2006-2010,2006-2008,2,987,0.5491388044579534,0.3293199596482958,4
divlaw,2006-2010,2006-2008,2,920,0.6489130434782608,0.35357938130780175,3
sexeduc,2006-2010,2006-2008,2,980,0.9224489795918367,0.8264720259946898,2
pillok,2006-2010,2006-2008,2,970,0.46288659793814435,0.2539285377398422,4
xmarsex,2006-2010,2006-2008,2,1027,0.7779941577409932,0.6584026634324669,4
