perimetre,personnes,cellules_rares_stables,couples_item_modalite_rares,cellules_communes,cellules_sorties,cellules_entrantes_hors_150,cellules_apportees_par_extension
"R2, 150 personnes",150,106,111,106,0,0,3
"R2b, 180 personnes",152,109,113,106,0,0,3
