modele,cle_modele,camp,n_items,tv_entre_identites_moyenne,plancher_humain_moyen,rapport_au_plancher,ic_bas,ic_haut,part_items_identiques,part_items_au_dessus_du_plancher,p,p_holm
gpt-oss-20b,oss20,gauche,149,0.10281879194630873,0.024286610979672635,4.233558648111333,3.196166158890999,5.616081163096725,0.3959731543624161,0.5906040268456376,4.999750012499375e-05,0.0002999850007499625
gpt-oss-20b,oss20,droite,149,0.10058691610738256,0.027654241125576136,3.6373052383040934,2.766083618864945,4.604008032578164,0.40268456375838924,0.5704697986577181,4.999750012499375e-05,0.0002999850007499625
Qwen3-30B-A3B-Instruct-2507,q30,gauche,148,0.07330057432432432,0.024126644630241754,3.038158660174614,2.3431966080498294,3.770594075003709,0.23648648648648649,0.7094594594594594,4.999750012499375e-05,0.0002999850007499625
Qwen3-30B-A3B-Instruct-2507,q30,droite,149,0.07563758389261745,0.027654241125576136,2.7351169590643267,2.15161684525228,3.506693452380952,0.30201342281879195,0.610738255033557,4.999750012499375e-05,0.0002999850007499625
Qwen3-4B-Instruct-2507,q4,gauche,147,0.0733679693877551,0.023866620988923146,3.0740828130553655,2.396014052283723,3.8557895950529333,0.3469387755102041,0.6190476190476191,4.999750012499375e-05,0.0002999850007499625
Qwen3-4B-Instruct-2507,q4,droite,147,0.0837428299319728,0.027087943611179412,3.09151669591528,2.4834133663329285,3.8274031346476742,0.272108843537415,0.6666666666666666,4.999750012499375e-05,0.0002999850007499625
