domaine_cible,r_avec_deviance_items_stables,n,r_avec_deviance_items_instables,r_items_stables_partialise_consistance
personnalite,0.1432,2018,0.0321,0.0989
cognitif,0.361,2018,0.0319,0.2458
economique,0.1746,2018,0.0276,0.0869
_moyennes,0.4342,2018,0.6194,
