source,famille,taux,polarisation,facteur,ic_bas,ic_haut,n_tirages,n_items_retenus
humains purs,humain,0.0,0.45045309673791467,1.0,0.4235970682730752,0.4773454011993655,400,149
B0 segment,tirage dans le segment,0.05,0.4489907907290559,0.9967536997315626,0.44278159886193136,0.4549252578528861,20,149
B0 segment,tirage dans le segment,0.1,0.450374946905142,0.9998265083904659,0.44223952734469507,0.4611418193255532,20,149
B0 segment,tirage dans le segment,0.25,0.451333194163648,1.0019538048069971,0.4432580454371236,0.4630360596304369,20,149
B0 segment,tirage dans le segment,0.5,0.44784957287888344,0.9942202109878134,0.4355527856169564,0.45657941368586663,20,149
C2,modele a etiquette,0.05,0.4612479453497126,1.0239644231330007,0.45690643848344675,0.46544505873868114,20,149
C2,modele a etiquette,0.1,0.47094599039321616,1.0454939566487758,0.4674703804546849,0.4729998017172784,20,149
C3,modele riche,0.05,0.4402234030192725,0.9772902133591189,0.4356105518326977,0.4444025549899172,20,149
C3,modele riche,0.1,0.4297902575952365,0.9541287665856577,0.4261432012616576,0.43300267635756623,20,149
E2 regression contexte tirage,imputation par tirage,0.05,0.4489277074955128,0.9966136557758213,0.4465381068602043,0.4516457934540998,20,149
E2 regression contexte tirage,imputation par tirage,0.1,0.44725838322545464,0.9929077776674298,0.44414002266974056,0.45130571119642265,20,149
E2 regression contexte tirage,imputation par tirage,0.25,0.4429559454603383,0.9833564219407767,0.4398379768886496,0.4485662200313349,20,149
E2 regression contexte tirage,imputation par tirage,0.5,0.4372699125643206,0.970733503068213,0.4316838229704666,0.4444873524458357,20,149
IM m=10 mode des m,imputation par esperance,0.05,0.4535281431681911,1.006826562970807,0.4507659141487911,0.4559465225618877,20,149
IM m=10 mode des m,imputation par esperance,0.1,0.4557606931269057,1.0117827947624902,0.453458402611987,0.45879664465313796,20,149
IM m=10 mode des m,imputation par esperance,0.25,0.46812844331105674,1.0392390388725112,0.46353031504622505,0.4735324874183219,20,149
IM m=10 mode des m,imputation par esperance,0.5,0.4864461980713258,1.0799042155422296,0.482611777006507,0.4901883256025168,20,149
PMM k=10,imputation par tirage,0.05,0.45436332256770323,1.008680650345409,0.45228417716531283,0.45639642119182094,20,149
PMM k=10,imputation par tirage,0.1,0.45819557618946305,1.017188203405899,0.45506611400309643,0.4611241840938057,20,149
PMM k=10,imputation par tirage,0.25,0.4703930402989852,1.0442664146510954,0.4664316903177557,0.4760637665747417,20,149
PMM k=10,imputation par tirage,0.5,0.4884254623212989,1.08429815636383,0.483102513599311,0.49282576608357925,20,149
agents composite,modele riche,0.05,0.4597944060913443,1.0207375849363172,0.4567032082800963,0.4657538669165818,20,149
agents composite,modele riche,0.1,0.46943074374973676,1.0421301288619262,0.46609690795595266,0.472732911568323,20,149
agents composite,modele riche,0.25,0.4969754477571895,1.1032790125235674,0.4923209565928377,0.5020627370946047,20,149
agents composite,modele riche,0.5,0.5453957717118458,1.2107715002105341,0.5369505680907318,0.5528308149196008,20,149
agents demographiques (v6),modele a demographies,0.05,0.43922601248778576,0.9750760193870726,0.43297236941517314,0.4458344276251788,20,149
agents demographiques (v6),modele a demographies,0.1,0.42943488882162767,0.9533398525429254,0.41659399677002423,0.43796177108402085,20,149
agents demographiques (v6),modele a demographies,0.25,0.3986204656353288,0.8849322349475524,0.3822370720454781,0.41122721655480443,20,149
agents demographiques (v6),modele a demographies,0.5,0.35142783686848234,0.7801652145660621,0.3367123339805287,0.3693411459314504,20,149
agents v8,modele a etiquette,0.05,0.4859710690136817,1.0788494352308389,0.47835055023112216,0.4940784630145287,20,149
agents v8,modele a etiquette,0.1,0.5170099097972096,1.1477552569652316,0.5076158265772274,0.5250837143558648,20,149
agents v8,modele a etiquette,0.25,0.6203689239320844,1.3772109203481204,0.6022219546996053,0.6292309612384368,20,149
agents v8,modele a etiquette,0.5,0.7929972763046812,1.7604436112159034,0.7832026708877359,0.8046654524113855,20,149
humains vague 2,humain,0.05,0.4506333182053317,1.0004000893072378,0.4481362441775637,0.4532828167258943,20,149
humains vague 2,humain,0.1,0.4497797379997479,0.9985051523831381,0.4472217337310093,0.45264482338811507,20,149
humains vague 2,humain,0.25,0.4492065025991824,0.9972325772699536,0.44557530270185464,0.45404332958011506,20,149
humains vague 2,humain,0.5,0.4494386038573605,0.9977478390360708,0.44530120573335125,0.4537587626902532,20,149
