modele,cle_modele,camp,identite,item,famille,n_modalites,rejet,n_tentatives,motif_rejet,gs_decrit,gs_reel_w1,gs_reel_w1_sans_biais,gs_reel_w2,tv_decrit_reel,tv_plancher_w1_w2,pos_decrit,pos_reel_w1,pos_reel_w2
Qwen3-4B-Instruct-2507,q4,centre,journaliste,natdrug/y,depenses publiques (nat*),3,False,1,,0.635,0.5409273600627389,0.5427185102616221,0.5376379222080623,0.1372937293729373,0.0033003300330033195,0.375,0.2524752475247525,0.24917491749174916
Qwen3-4B-Instruct-2507,q4,centre,journaliste,nateduc/y,depenses publiques (nat*),3,False,1,,0.6392,0.46065200579463894,0.46217734356217083,0.4717184589746103,0.2664686468646865,0.013201320132013167,0.39,0.18646864686468645,0.19306930693069305
Qwen3-4B-Instruct-2507,q4,centre,journaliste,natrace/y,depenses publiques (nat*),3,False,1,,0.635,0.631746342951127,0.6338382182589121,0.6239039745558715,0.11204620462046207,0.019801980198019806,0.375,0.429042904290429,0.41254125412541254
Qwen3-4B-Instruct-2507,q4,centre,journaliste,natarms/y,depenses publiques (nat*),3,False,1,,0.635,0.6169111960701021,0.61895394837497,0.6195906719384809,0.15528052805280526,0.006600660066006611,0.575,0.44719471947194717,0.45214521452145207
Qwen3-4B-Instruct-2507,q4,centre,adversaire,natspac/y,depenses publiques (nat*),3,False,1,,0.635,0.5941683277238615,0.596135772517649,0.607696413205677,0.27508250825082514,0.04620462046204621,0.375,0.5528052805280528,0.5808580858085808
Qwen3-4B-Instruct-2507,q4,centre,adversaire,natenvir/y,depenses publiques (nat*),3,False,1,,0.615,0.4427452646254725,0.44421130854807334,0.46352754087289916,0.30627062706270625,0.033003300330032986,0.375,0.17656765676567654,0.18646864686468645
Qwen3-4B-Instruct-2507,q4,centre,adversaire,natheal/y,depenses publiques (nat*),3,False,1,,0.635,0.4368199196157241,0.43826634319061053,0.3936868934418194,0.3430693069306931,0.06600660066006604,0.42500000000000004,0.16336633663366334,0.14356435643564355
Qwen3-4B-Instruct-2507,q4,centre,adversaire,natcity/y,depenses publiques (nat*),3,False,1,,0.615,0.6171072552799834,0.619150656787533,0.641767147011731,0.1656765676567657,0.05280528052805285,0.375,0.5082508250825082,0.504950495049505
Qwen3-4B-Instruct-2507,q4,centre,adversaire,natdrug/y,depenses publiques (nat*),3,False,1,,0.635,0.5409273600627389,0.5427185102616221,0.5376379222080623,0.1372937293729373,0.0033003300330033195,0.375,0.2524752475247525,0.24917491749174916
Qwen3-4B-Instruct-2507,q4,centre,adversaire,nateduc/y,depenses publiques (nat*),3,False,1,,0.635,0.46065200579463894,0.46217734356217083,0.4717184589746103,0.3364686468646865,0.013201320132013167,0.42500000000000004,0.18646864686468645,0.19306930693069305
Qwen3-4B-Instruct-2507,q4,centre,adversaire,natrace/y,depenses publiques (nat*),3,False,1,,0.635,0.631746342951127,0.6338382182589121,0.6239039745558715,0.11204620462046207,0.019801980198019806,0.375,0.429042904290429,0.41254125412541254
Qwen3-4B-Instruct-2507,q4,centre,adversaire,natarms/y,depenses publiques (nat*),3,False,1,,0.635,0.6169111960701021,0.61895394837497,0.6195906719384809,0.15528052805280526,0.006600660066006611,0.575,0.44719471947194717,0.45214521452145207
Qwen3-4B-Instruct-2507,q4,droite,journaliste,natspac/y,depenses publiques (nat*),3,False,1,,0.5512,0.6121897227464074,0.6140392385250975,0.6248911307882131,0.38722891566265055,0.021084337349397533,0.26,0.5496987951807228,0.5391566265060241
Qwen3-4B-Instruct-2507,q4,droite,journaliste,natenvir/y,depenses publiques (nat*),3,False,1,,0.5512,0.6627776164900567,0.6647799657845886,0.6561003048337931,0.20650602409638552,0.03313253012048198,0.26,0.4563253012048193,0.4292168674698794
Qwen3-4B-Instruct-2507,q4,droite,journaliste,natheal/y,depenses publiques (nat*),3,False,1,,0.635,0.5467593264624764,0.548411167327922,0.5067317462621572,0.14939759036144584,0.04819277108433733,0.375,0.25903614457831314,0.2259036144578312
Qwen3-4B-Instruct-2507,q4,droite,journaliste,natcity/y,depenses publiques (nat*),3,False,1,,0.585,0.5874764116707796,0.5892512648782442,0.5944984758310351,0.4204819277108434,0.030120481927710815,0.3,0.6987951807228916,0.6867469879518072
Qwen3-4B-Instruct-2507,q4,droite,journaliste,natdrug/y,depenses publiques (nat*),3,False,1,,0.635,0.607707940194513,0.6095439158446475,0.6302983016402962,0.05602409638554216,0.04518072289156631,0.375,0.32831325301204817,0.3659638554216867
Qwen3-4B-Instruct-2507,q4,droite,journaliste,nateduc/y,depenses publiques (nat*),3,False,1,,0.5512,0.5686057482943823,0.5703235904342445,0.5760088546958919,0.07000000000000002,0.009036144578313282,0.26,0.2906626506024096,0.2996987951807229
Qwen3-4B-Instruct-2507,q4,droite,journaliste,natrace/y,depenses publiques (nat*),3,False,1,,0.585,0.5905610393380752,0.5923452116623595,0.5877304398316157,0.4325301204819278,0.021084337349397575,0.3,0.6897590361445782,0.6882530120481927
Qwen3-4B-Instruct-2507,q4,droite,journaliste,natarms/y,depenses publiques (nat*),3,False,1,,0.635,0.6302620119030338,0.6321661267426201,0.612516330381768,0.020481927710843423,0.036144578313252976,0.625,0.6310240963855421,0.6566265060240963
Qwen3-4B-Instruct-2507,q4,droite,adversaire,natspac/y,depenses publiques (nat*),3,False,1,,0.5049999999999999,0.6121897227464074,0.6140392385250975,0.6248911307882131,0.45722891566265056,0.021084337349397533,0.225,0.5496987951807228,0.5391566265060241
Qwen3-4B-Instruct-2507,q4,droite,adversaire,natenvir/y,depenses publiques (nat*),3,False,1,,0.5049999999999999,0.6627776164900567,0.6647799657845886,0.6561003048337931,0.2765060240963856,0.03313253012048198,0.225,0.4563253012048193,0.4292168674698794
Qwen3-4B-Instruct-2507,q4,droite,adversaire,natheal/y,depenses publiques (nat*),3,False,1,,0.585,0.5467593264624764,0.548411167327922,0.5067317462621572,0.04939759036144582,0.04819277108433733,0.3,0.25903614457831314,0.2259036144578312
Qwen3-4B-Instruct-2507,q4,droite,adversaire,natcity/y,depenses publiques (nat*),3,False,1,,0.5049999999999999,0.5874764116707796,0.5892512648782442,0.5944984758310351,0.5204819277108435,0.030120481927710815,0.225,0.6987951807228916,0.6867469879518072
Qwen3-4B-Instruct-2507,q4,droite,adversaire,natdrug/y,depenses publiques (nat*),3,False,1,,0.5049999999999999,0.607707940194513,0.6095439158446475,0.6302983016402962,0.14397590361445783,0.04518072289156631,0.225,0.32831325301204817,0.3659638554216867
Qwen3-4B-Instruct-2507,q4,droite,adversaire,nateduc/y,depenses publiques (nat*),3,False,1,,0.635,0.5686057482943823,0.5703235904342445,0.5760088546958919,0.1343373493975904,0.009036144578313282,0.375,0.2906626506024096,0.2996987951807229
Qwen3-4B-Instruct-2507,q4,droite,adversaire,natrace/y,depenses publiques (nat*),3,False,1,,0.5049999999999999,0.5905610393380752,0.5923452116623595,0.5877304398316157,0.5325301204819277,0.021084337349397575,0.225,0.6897590361445782,0.6882530120481927
Qwen3-4B-Instruct-2507,q4,droite,adversaire,natarms/y,depenses publiques (nat*),3,False,1,,0.585,0.6302620119030338,0.6321661267426201,0.612516330381768,0.10421686746987953,0.036144578313252976,0.7000000000000001,0.6310240963855421,0.6566265060240963
