condition,libelle,quantite,perimetre,identite,n_items,valeur
q4base,"Qwen3-4B-Base, completion a trois exemples","ratio H1, dispersion interne",camp centre,journaliste,145,1.1470649344174166
q4base,"Qwen3-4B-Base, completion a trois exemples","erreur TV(decrit, reel) en part du plancher humain",camp centre,journaliste,145,8.311423076923088
q4gab3,"Qwen3-4B-Instruct-2507, gabarit ChatML ET trois exemples","ratio H1, dispersion interne",camp centre,journaliste,144,1.1662141933820374
q4gab3,"Qwen3-4B-Instruct-2507, gabarit ChatML ET trois exemples","erreur TV(decrit, reel) en part du plancher humain",camp centre,journaliste,144,8.009294973803486
q4,"Qwen3-4B-Instruct-2507, gabarit ChatML, sans exemple","ratio H1, dispersion interne",camp centre,adversaire,148,1.1446648396141403
q4,"Qwen3-4B-Instruct-2507, gabarit ChatML, sans exemple","erreur TV(decrit, reel) en part du plancher humain",camp centre,adversaire,148,9.030044590543165
q4nogab,"Qwen3-4B-Instruct-2507, completion a trois exemples, sans gabarit","ratio H1, dispersion interne",camp centre,adversaire,144,1.174389302875587
q4nogab,"Qwen3-4B-Instruct-2507, completion a trois exemples, sans gabarit","erreur TV(decrit, reel) en part du plancher humain",camp centre,adversaire,144,8.300097789716773
q4base,"Qwen3-4B-Base, completion a trois exemples","ratio H1, dispersion interne",camp centre,adversaire,143,1.1729910972223805
q4base,"Qwen3-4B-Base, completion a trois exemples","erreur TV(decrit, reel) en part du plancher humain",camp centre,adversaire,143,8.219781078967955
q4gab3,"Qwen3-4B-Instruct-2507, gabarit ChatML ET trois exemples","ratio H1, dispersion interne",camp centre,adversaire,145,1.1736052341464969
q4gab3,"Qwen3-4B-Instruct-2507, gabarit ChatML ET trois exemples","erreur TV(decrit, reel) en part du plancher humain",camp centre,adversaire,145,8.285204949729321
q4,"Qwen3-4B-Instruct-2507, gabarit ChatML, sans exemple","ratio H1, dispersion interne",camp droite,journaliste,147,1.0594328820297794
q4,"Qwen3-4B-Instruct-2507, gabarit ChatML, sans exemple","erreur TV(decrit, reel) en part du plancher humain",camp droite,journaliste,147,11.31122541603633
q4nogab,"Qwen3-4B-Instruct-2507, completion a trois exemples, sans gabarit","ratio H1, dispersion interne",camp droite,journaliste,148,1.0900995336681345
q4nogab,"Qwen3-4B-Instruct-2507, completion a trois exemples, sans gabarit","erreur TV(decrit, reel) en part du plancher humain",camp droite,journaliste,148,9.636068503350723
q4base,"Qwen3-4B-Base, completion a trois exemples","ratio H1, dispersion interne",camp droite,journaliste,146,1.0811439322284326
q4base,"Qwen3-4B-Base, completion a trois exemples","erreur TV(decrit, reel) en part du plancher humain",camp droite,journaliste,146,10.344749667187608
q4gab3,"Qwen3-4B-Instruct-2507, gabarit ChatML ET trois exemples","ratio H1, dispersion interne",camp droite,journaliste,148,1.088634028254962
q4gab3,"Qwen3-4B-Instruct-2507, gabarit ChatML ET trois exemples","erreur TV(decrit, reel) en part du plancher humain",camp droite,journaliste,148,9.899285682051893
q4,"Qwen3-4B-Instruct-2507, gabarit ChatML, sans exemple","ratio H1, dispersion interne",camp droite,adversaire,148,1.0603568745256815
q4,"Qwen3-4B-Instruct-2507, gabarit ChatML, sans exemple","erreur TV(decrit, reel) en part du plancher humain",camp droite,adversaire,148,10.748734615216172
q4nogab,"Qwen3-4B-Instruct-2507, completion a trois exemples, sans gabarit","ratio H1, dispersion interne",camp droite,adversaire,145,1.0282025390229175
q4nogab,"Qwen3-4B-Instruct-2507, completion a trois exemples, sans gabarit","erreur TV(decrit, reel) en part du plancher humain",camp droite,adversaire,145,10.11845965977981
q4base,"Qwen3-4B-Base, completion a trois exemples","ratio H1, dispersion interne",camp droite,adversaire,146,1.0455179263863845
q4base,"Qwen3-4B-Base, completion a trois exemples","erreur TV(decrit, reel) en part du plancher humain",camp droite,adversaire,146,10.304486197909817
q4gab3,"Qwen3-4B-Instruct-2507, gabarit ChatML ET trois exemples","ratio H1, dispersion interne",camp droite,adversaire,145,1.0538453356442188
q4gab3,"Qwen3-4B-Instruct-2507, gabarit ChatML ET trois exemples","erreur TV(decrit, reel) en part du plancher humain",camp droite,adversaire,145,10.261964646464664
