sous_ensemble,condition,axe,silhouette,ic_bas,ic_haut
tous items non demo,agents persona (v7),political_ideology,-0.0355,-0.0472,-0.0256
tous items non demo,agents persona (v7),age,-0.0388,-0.0516,-0.0263
tous items non demo,agents persona (v7),education,-0.0209,-0.0458,-0.0076
tous items non demo,agents persona (v7),profil croise,-0.0787,-0.1014,-0.0569
tous items non demo,agents demographiques (v6),gender,0.0239,0.0186,0.0310
tous items non demo,agents demographiques (v6),race,-0.0321,-0.0442,-0.0197
tous items non demo,agents demographiques (v6),political_ideology,-0.0624,-0.0753,-0.0501
tous items non demo,agents demographiques (v6),age,-0.0806,-0.0928,-0.0675
tous items non demo,agents demographiques (v6),education,-0.0011,-0.0124,0.0070
tous items non demo,agents demographiques (v6),profil croise,-0.0906,-0.1124,-0.0715
tous items non demo,agents demographiques (v8),gender,0.0140,0.0054,0.0260
tous items non demo,agents demographiques (v8),race,-0.0141,-0.0305,0.0006
tous items non demo,agents demographiques (v8),political_ideology,0.0785,0.0634,0.0924
tous items non demo,agents demographiques (v8),age,-0.0281,-0.0425,-0.0113
tous items non demo,agents demographiques (v8),education,-0.0556,-0.1109,-0.0177
tous items non demo,agents demographiques (v8),profil croise,-0.0320,-0.0567,-0.0178
