perimetre,methode,famille,regime,conditionnement,exactitude,ic_bas,ic_haut,exactitude_normalisee,part_diversite_humaine,accord_par_paires,rappel_minoritaire,precision_minoritaire,f1_minoritaire,masse_predite,rapport_groupe_sur_personne,ratio_intra_ideologie,ratio_inter_ideologie,ratio_total_ideologie,n_items_dispersion_ideologie,ratio_intra_profil,ratio_inter_profil,ratio_total_profil,n_items_dispersion_profil
150,agents composite,modele de langage,modele de langage,entretien et questionnaire,0.682461,0.670558,0.694364,0.862239,0.892295,0.539254,0.254351,0.255376,0.254863,0.033289,0.750984,0.854178,1.999604,0.906231,149,0.865569,1.631409,0.906231,149
150,agents entretien (v3),modele de langage,modele de langage,entretien,0.654228,0.643488,0.665772,0.826569,0.866593,0.561159,0.255689,0.233211,0.243934,0.036644,2.374618,0.777732,2.630508,0.861930,149,0.793472,2.082820,0.861930,149
150,agents enquete,modele de langage,modele de langage,questionnaire,0.645817,0.634273,0.657320,0.815941,0.856321,0.555142,0.191432,0.179198,0.185113,0.035705,1.477295,0.809313,2.251178,0.874838,149,0.817305,1.900890,0.874838,149
150,agents demographiques (v6),modele de langage,modele de langage,etiquette demographique,0.588680,0.577315,0.600537,0.743754,0.631003,0.679036,0.136546,0.280220,0.183618,0.016286,0.874935,0.650513,0.216523,0.630791,149,0.627360,0.691973,0.630791,149
150,agents v7,modele de langage,modele de langage,persona,0.568054,0.554315,0.581568,0.717694,0.640659,0.683945,0.058902,0.095861,0.072968,0.020537,1.104575,0.640088,0.217796,0.620897,149,0.633154,0.402312,0.620897,149
150,agents v8,modele de langage,modele de langage,etiquette demographique,0.565056,0.551766,0.578613,0.713906,0.788530,0.592159,0.141901,0.118436,0.129111,0.040045,13.065373,0.467099,7.808230,0.800712,149,0.513661,5.920007,0.800712,149
150,C2,modele de langage,modele de langage,etiquette demographique,0.526309,0.515793,0.536600,0.664952,0.653726,0.664118,0.128514,0.099379,0.112084,0.043221,4.446269,0.364637,6.893673,0.661345,149,0.430675,4.775149,0.661345,149
150,C3,modele de langage,modele de langage,"119 items, sans etiquette",0.581700,0.571766,0.591276,0.734935,0.674164,0.653254,0.219545,0.131516,0.164493,0.055794,0.436247,0.680760,0.724272,0.682737,149,0.692616,0.506560,0.682737,149
150,E1 regression contexte argmax,regression sur contexte,esperance,119 items et 11 demographies,0.702729,0.690245,0.714452,0.887846,0.810389,0.579326,0.100402,0.369458,0.157895,0.009083,0.887041,0.794250,1.543535,0.828301,149,0.789285,1.524103,0.828301,149
150,B2 argmax,hot deck,esperance,119 items,0.669754,0.657539,0.682285,0.846184,0.587281,0.692060,0.026774,0.454545,0.050569,0.001969,1.071039,0.543270,1.930874,0.606329,149,0.551691,1.580734,0.606329,149
150,IM m=10 mode des m,imputation multiple,esperance,119 items et 11 demographies,0.682013,0.670111,0.693289,0.861673,0.847761,0.561503,0.108434,0.278351,0.156069,0.013020,0.919379,0.835443,1.450511,0.863394,149,0.837660,1.322335,0.863394,149
150,B3 foret,foret sur demographies,esperance,11 demographies,0.636913,0.623399,0.650564,0.804692,0.493083,0.740699,0.008032,0.206897,0.015464,0.001298,,0.402683,2.776497,0.510560,149,0.389264,2.673756,0.510560,149
150,B1 argmax,regression sur demographies,esperance,11 demographies,0.628098,0.615926,0.640224,0.793556,0.731151,0.629865,0.045515,0.158140,0.070686,0.009620,15.023134,0.631783,2.766426,0.728790,149,0.618698,2.692185,0.728790,149
150,B0 mode,marginale,esperance,rien,0.595615,0.583400,0.608413,0.752516,0.033778,0.980541,0.000000,,0.000000,0.000000,,0.040491,-0.007414,0.038314,149,0.039440,0.018233,0.038314,149
150,E2 regression contexte tirage,regression sur contexte,tirage,119 items et 11 demographies,0.619239,0.609125,0.629489,0.782363,0.989417,0.497542,0.161981,0.155928,0.158897,0.034720,1.768455,0.993797,0.895533,0.989331,149,0.998257,0.830153,0.989331,149
150,PMM k=5,appariement sur moyenne predite,tirage,119 items et 11 demographies,0.666309,0.654676,0.677763,0.841832,0.969477,0.502311,0.208835,0.244131,0.225108,0.028591,0.776628,0.963968,1.315450,0.979941,149,0.963409,1.274771,0.979941,149
150,PMM k=10,appariement sur moyenne predite,tirage,119 items et 11 demographies,0.662774,0.651361,0.674318,0.837366,0.966887,0.504206,0.216867,0.253918,0.233935,0.028546,1.128225,0.958677,1.344485,0.976210,149,0.957455,1.310687,0.976210,149
150,hot deck k=5 tirage,hot deck,tirage,119 items,0.590157,0.579640,0.600851,0.745619,0.956935,0.513165,0.105756,0.113343,0.109418,0.031186,2.687208,0.961508,0.896843,0.958569,149,0.969567,0.762429,0.958569,149
150,hot deck k=10 tirage,hot deck,tirage,119 items,0.588143,0.577762,0.598840,0.743075,0.947298,0.518452,0.089692,0.101362,0.095170,0.029575,2.166158,0.948883,0.932953,0.948160,149,0.959782,0.740876,0.948160,149
150,B2 tirage,hot deck,tirage,119 items,0.572394,0.562237,0.583266,0.723177,0.956537,0.517346,0.104418,0.105548,0.104980,0.033065,2.191709,0.959271,0.762705,0.950338,149,0.969817,0.602951,0.950338,149
150,B1 tirage,regression sur demographies,tirage,11 demographies,0.544072,0.534676,0.553516,0.687394,0.999818,0.492560,0.104418,0.092968,0.098361,0.037539,,0.999258,0.996689,0.999141,149,0.995008,1.072864,0.999141,149
150,B0 tirage,marginale,tirage,rien,0.494004,0.485950,0.501745,0.624138,0.994153,0.496192,0.081660,0.073494,0.077362,0.037136,,1.042077,-0.060091,0.991990,149,1.049713,-0.037450,0.991990,149
