perimetre,n_personnes,n_items,items_par_personne_median,taux_changement_moyen,ic_bas,ic_haut,p10,p25,mediane,p75,p90,part_monotone_moyenne,mono_ic_bas,mono_ic_haut,part_du_changement_monotone,part_du_changement_contraire,part_du_changement_indetermine,part_personnes_zero_changement,part_stable,part_aller_retour,part_persistant,part_erratique,part_monotone_persistant,aller_retour_ic_bas,aller_retour_ic_haut
4 ans,4683,118,82.0,0.32552915103619784,0.3231748220059285,0.32789604002067035,0.225,0.2676056338028169,0.32051282051282054,0.375,0.43373493975903615,0.13531314239538356,0.13388920593606474,0.13663829472767577,0.4162404248549962,0.3119926906667319,0.27176688447827185,0.0,,,,,,,
2 ans,5682,118,82.0,0.3114657093410726,0.30951264044154975,0.3136132580901454,0.20987654320987653,0.25316455696202533,0.3048780487804878,0.3625,0.417910447761194,0.1273709985550398,0.126145652632683,0.12855712207051817,0.40939115753930566,0.3289578277232598,0.2616510147374345,0.0,,,,,,,
"4 ans, nul avec derive, remelange complet",4683,118,,,,,,,,,,,,,0.40499258953448475,0.3542205896667594,,,,,,,,,
"4 ans, nul avec derive, destinations remelangees",4683,118,,0.3166999526250737,,,,,,,,,,,0.4201016374383047,0.3093998557326216,,,,,,,,,
"trois vagues, 2006 a 2014",3874,118,,,,,,,,,,,,,,,,,0.5608164090787507,0.11723566521617161,0.2812449031517279,0.04070302255334973,0.11758469738584691,0.11626647081897071,0.11911760469762905
