test,famille_de_tests,mesure,n_a,n_b,n_items,valeur_a,valeur_b,ratio,ic_bas,ic_haut,p,p_holm
"H1 droite / gauche, ideologie, Gini Simpson",H1,gs,567,909,609,0.547395,0.536457,1.020389,1.009188,1.030415,0.000500,0.000500
"H1 bis droite / gauche, ideologie, entropie",H1 bis,h,567,909,609,1.466046,1.436575,1.020515,1.008865,1.030176,0.001000,0.001000
"H4a droite / gauche, ancrage parti",H4,gs,540,847,609,0.550527,0.538191,1.022921,1.010433,1.033178,0.001000,0.001000
H6a centre / gauche,H6,gs,582,909,609,0.549087,0.536457,1.023543,1.012404,1.033280,0.000500,0.001000
H6b centre / droite,H6,gs,582,567,609,0.549087,0.547395,1.003091,0.991487,1.014923,0.598701,0.598701
cinq points : tres conservateur / tres liberal,cinq points,gs,137,345,609,0.555372,0.530601,1.046685,1.021942,1.062030,0.000500,0.001000
cinq points : conservateur / liberal,cinq points,gs,430,564,609,0.543378,0.538347,1.009345,0.996297,1.022112,0.133933,0.133933
"H5a vagues 1 a 3, restreint aux 108 items reposes",H5,gs,567,909,108,0.571501,0.536978,1.064292,1.052883,1.075131,0.000500,0.001000
"H5b vague 4, memes 108 items (controle)",H5,gs,567,909,108,0.569165,0.532856,1.068140,1.057111,1.077174,0.000500,0.001000
