jeu,condition,axe,mesure,ratio_inter,ratio_intra
econ_games_main,agents entretien (v6),profil croise,gini_simpson,1.5638,0.6840
econ_games_main,agents entretien (v6),profil croise,variance_ordinale,1.0775,0.3080
econ_games_main,agents persona (v4),gender,entropie,0.5280,0.7354
econ_games_main,agents persona (v4),gender,gini_simpson,0.7544,0.7204
econ_games_main,agents persona (v4),gender,variance_ordinale,0.6377,0.3408
econ_games_main,agents persona (v4),race,entropie,0.0138,0.7373
econ_games_main,agents persona (v4),race,gini_simpson,0.2209,0.7228
econ_games_main,agents persona (v4),race,variance_ordinale,0.1735,0.3420
econ_games_main,agents persona (v4),political_ideology,entropie,0.9158,0.7340
econ_games_main,agents persona (v4),political_ideology,gini_simpson,0.8375,0.7200
econ_games_main,agents persona (v4),political_ideology,variance_ordinale,0.1317,0.3414
econ_games_main,agents persona (v4),age,entropie,0.5783,0.7357
econ_games_main,agents persona (v4),age,gini_simpson,0.9200,0.7203
econ_games_main,agents persona (v4),age,variance_ordinale,0.3049,0.3414
econ_games_main,agents persona (v4),education,entropie,1.4641,0.7337
econ_games_main,agents persona (v4),education,gini_simpson,0.7025,0.7206
econ_games_main,agents persona (v4),profil croise,entropie,0.3837,0.7333
econ_games_main,agents persona (v4),profil croise,gini_simpson,0.4291,0.7229
econ_games_main,agents persona (v4),profil croise,variance_ordinale,0.1385,0.3436
econ_games_main,agents demographiques fig.2 (v3),gender,entropie,0.1943,0.5517
econ_games_main,agents demographiques fig.2 (v3),gender,gini_simpson,0.1691,0.5602
econ_games_main,agents demographiques fig.2 (v3),gender,variance_ordinale,0.3581,0.1635
econ_games_main,agents demographiques fig.2 (v3),race,entropie,0.5473,0.5503
econ_games_main,agents demographiques fig.2 (v3),race,gini_simpson,0.3825,0.5603
econ_games_main,agents demographiques fig.2 (v3),race,variance_ordinale,0.1710,0.1637
econ_games_main,agents demographiques fig.2 (v3),political_ideology,entropie,-0.0622,0.5511
econ_games_main,agents demographiques fig.2 (v3),political_ideology,gini_simpson,0.2600,0.5600
econ_games_main,agents demographiques fig.2 (v3),political_ideology,variance_ordinale,0.5575,0.1633
econ_games_main,agents demographiques fig.2 (v3),age,entropie,1.7808,0.5449
econ_games_main,agents demographiques fig.2 (v3),age,gini_simpson,1.6921,0.5555
econ_games_main,agents demographiques fig.2 (v3),age,variance_ordinale,0.2986,0.1632
econ_games_main,agents demographiques fig.2 (v3),education,entropie,15.0836,0.5300
econ_games_main,agents demographiques fig.2 (v3),education,gini_simpson,8.7751,0.5428
econ_games_main,agents demographiques fig.2 (v3),profil croise,entropie,0.5543,0.5464
econ_games_main,agents demographiques fig.2 (v3),profil croise,gini_simpson,0.3489,0.5612
econ_games_main,agents demographiques fig.2 (v3),profil croise,variance_ordinale,0.1954,0.1632
econ_games_main,agents demographiques fig.3 (v8),gender,entropie,1.1324,0.8169
econ_games_main,agents demographiques fig.3 (v8),gender,gini_simpson,0.9708,0.7983
econ_games_main,agents demographiques fig.3 (v8),gender,variance_ordinale,1.9231,0.3844
econ_games_main,agents demographiques fig.3 (v8),race,entropie,2.0609,0.8132
econ_games_main,agents demographiques fig.3 (v8),race,gini_simpson,1.2659,0.7966
econ_games_main,agents demographiques fig.3 (v8),race,variance_ordinale,0.7743,0.3849
econ_games_main,agents demographiques fig.3 (v8),political_ideology,entropie,119.5925,0.4116
econ_games_main,agents demographiques fig.3 (v8),political_ideology,gini_simpson,125.0915,0.4344
econ_games_main,agents demographiques fig.3 (v8),political_ideology,variance_ordinale,296.4340,0.1122
econ_games_main,agents demographiques fig.3 (v8),age,entropie,2.9172,0.8104
econ_games_main,agents demographiques fig.3 (v8),age,gini_simpson,3.1186,0.7909
econ_games_main,agents demographiques fig.3 (v8),age,variance_ordinale,1.9199,0.3807
econ_games_main,agents demographiques fig.3 (v8),education,entropie,1.5203,0.8166
econ_games_main,agents demographiques fig.3 (v8),education,gini_simpson,1.2253,0.7976
econ_games_main,agents demographiques fig.3 (v8),profil croise,entropie,42.8302,0.5030
econ_games_main,agents demographiques fig.3 (v8),profil croise,gini_simpson,26.3854,0.5362
econ_games_main,agents demographiques fig.3 (v8),profil croise,variance_ordinale,16.3922,0.1667
bigfive_main,humains vague 1,gender,entropie,1.0000,1.0000
bigfive_main,humains vague 1,gender,gini_simpson,1.0000,1.0000
bigfive_main,humains vague 1,gender,variance_ordinale,1.0000,1.0000
bigfive_main,humains vague 1,race,entropie,1.0000,1.0000
bigfive_main,humains vague 1,race,gini_simpson,1.0000,1.0000
bigfive_main,humains vague 1,race,variance_ordinale,1.0000,1.0000
bigfive_main,humains vague 1,political_ideology,entropie,1.0000,1.0000
bigfive_main,humains vague 1,political_ideology,gini_simpson,1.0000,1.0000
bigfive_main,humains vague 1,political_ideology,variance_ordinale,1.0000,1.0000
bigfive_main,humains vague 1,age,entropie,1.0000,1.0000
bigfive_main,humains vague 1,age,gini_simpson,1.0000,1.0000
bigfive_main,humains vague 1,age,variance_ordinale,1.0000,1.0000
bigfive_main,humains vague 1,education,entropie,1.0000,1.0000
bigfive_main,humains vague 1,education,gini_simpson,1.0000,1.0000
bigfive_main,humains vague 1,education,variance_ordinale,1.0000,1.0000
bigfive_main,humains vague 1,profil croise,entropie,1.0000,1.0000
bigfive_main,humains vague 1,profil croise,gini_simpson,1.0000,1.0000
bigfive_main,humains vague 1,profil croise,variance_ordinale,1.0000,1.0000
bigfive_main,humains vague 2,gender,entropie,1.4407,0.9981
bigfive_main,humains vague 2,gender,gini_simpson,1.4720,0.9984
bigfive_main,humains vague 2,gender,variance_ordinale,1.2242,0.9807
bigfive_main,humains vague 2,race,entropie,0.5897,0.9997
bigfive_main,humains vague 2,race,gini_simpson,0.5029,1.0000
bigfive_main,humains vague 2,race,variance_ordinale,0.7692,0.9833
bigfive_main,humains vague 2,political_ideology,entropie,0.7880,1.0002
bigfive_main,humains vague 2,political_ideology,gini_simpson,0.8200,1.0000
bigfive_main,humains vague 2,political_ideology,variance_ordinale,0.8146,0.9848
bigfive_main,humains vague 2,age,entropie,1.0282,0.9981
bigfive_main,humains vague 2,age,gini_simpson,1.0559,0.9981
bigfive_main,humains vague 2,age,variance_ordinale,0.9215,0.9865
bigfive_main,humains vague 2,education,entropie,1.0671,0.9982
bigfive_main,humains vague 2,education,gini_simpson,1.0345,0.9987
bigfive_main,humains vague 2,education,variance_ordinale,1.2074,0.9787
bigfive_main,humains vague 2,profil croise,entropie,0.8144,0.9993
bigfive_main,humains vague 2,profil croise,gini_simpson,0.9578,0.9988
bigfive_main,humains vague 2,profil croise,variance_ordinale,0.9384,0.9828
bigfive_main,agents composite,gender,entropie,2.9503,0.9423
bigfive_main,agents composite,gender,gini_simpson,4.2056,0.9495
bigfive_main,agents composite,gender,variance_ordinale,4.5176,1.0756
bigfive_main,agents composite,race,entropie,1.8048,0.9446
bigfive_main,agents composite,race,gini_simpson,1.5951,0.9535
bigfive_main,agents composite,race,variance_ordinale,1.0451,1.1015
bigfive_main,agents composite,political_ideology,entropie,2.0891,0.9368
bigfive_main,agents composite,political_ideology,gini_simpson,2.6308,0.9434
bigfive_main,agents composite,political_ideology,variance_ordinale,2.9209,1.0675
bigfive_main,agents composite,age,entropie,1.2389,0.9403
bigfive_main,agents composite,age,gini_simpson,1.3953,0.9476
bigfive_main,agents composite,age,variance_ordinale,1.4657,1.0780
bigfive_main,agents composite,education,entropie,3.6878,0.9300
bigfive_main,agents composite,education,gini_simpson,4.3864,0.9392
bigfive_main,agents composite,education,variance_ordinale,5.3306,1.0385
bigfive_main,agents composite,profil croise,entropie,3.0879,0.9288
bigfive_main,agents composite,profil croise,gini_simpson,4.1803,0.9353
bigfive_main,agents composite,profil croise,variance_ordinale,3.3195,1.0454
bigfive_main,agents enquete,gender,entropie,0.6739,0.9207
bigfive_main,agents enquete,gender,gini_simpson,0.5913,0.9423
bigfive_main,agents enquete,gender,variance_ordinale,0.5934,0.6358
bigfive_main,agents enquete,race,entropie,0.9367,0.9202
bigfive_main,agents enquete,race,gini_simpson,1.1735,0.9414
bigfive_main,agents enquete,race,variance_ordinale,0.5870,0.6353
bigfive_main,agents enquete,political_ideology,entropie,2.3174,0.9090
bigfive_main,agents enquete,political_ideology,gini_simpson,2.7261,0.9300
bigfive_main,agents enquete,political_ideology,variance_ordinale,1.6105,0.6169
bigfive_main,agents enquete,age,entropie,0.5870,0.9264
bigfive_main,agents enquete,age,gini_simpson,0.5053,0.9483
bigfive_main,agents enquete,age,variance_ordinale,0.3872,0.6517
bigfive_main,agents enquete,education,entropie,2.3277,0.9117
bigfive_main,agents enquete,education,gini_simpson,2.2439,0.9358
bigfive_main,agents enquete,education,variance_ordinale,2.2199,0.6116
bigfive_main,agents enquete,profil croise,entropie,2.4626,0.9070
bigfive_main,agents enquete,profil croise,gini_simpson,2.9898,0.9295
bigfive_main,agents enquete,profil croise,variance_ordinale,1.2337,0.6197
bigfive_main,agents entretien (v5),gender,entropie,3.0743,0.9413
bigfive_main,agents entretien (v5),gender,gini_simpson,3.9831,0.9476
bigfive_main,agents entretien (v5),gender,variance_ordinale,5.0615,1.1144
bigfive_main,agents entretien (v5),race,entropie,0.9401,0.9454
bigfive_main,agents entretien (v5),race,gini_simpson,0.8801,0.9525
bigfive_main,agents entretien (v5),race,variance_ordinale,0.7915,1.1455
bigfive_main,agents entretien (v5),political_ideology,entropie,1.7865,0.9381
bigfive_main,agents entretien (v5),political_ideology,gini_simpson,1.9542,0.9454
bigfive_main,agents entretien (v5),political_ideology,variance_ordinale,2.6702,1.1151
bigfive_main,agents entretien (v5),age,entropie,1.0917,0.9424
bigfive_main,agents entretien (v5),age,gini_simpson,1.3368,0.9464
bigfive_main,agents entretien (v5),age,variance_ordinale,1.4186,1.1265
bigfive_main,agents entretien (v5),education,entropie,3.6566,0.9295
bigfive_main,agents entretien (v5),education,gini_simpson,4.6757,0.9360
bigfive_main,agents entretien (v5),education,variance_ordinale,5.2280,1.0833
bigfive_main,agents entretien (v5),profil croise,entropie,3.3107,0.9262
bigfive_main,agents entretien (v5),profil croise,gini_simpson,3.6025,0.9363
bigfive_main,agents entretien (v5),profil croise,variance_ordinale,3.4137,1.0874
bigfive_main,agents persona (v4),gender,entropie,2.1462,0.8926
bigfive_main,agents persona (v4),gender,gini_simpson,2.5940,0.9099
bigfive_main,agents persona (v4),gender,variance_ordinale,0.8951,0.7925
bigfive_main,agents persona (v4),race,entropie,0.3615,0.8962
bigfive_main,agents persona (v4),race,gini_simpson,0.4419,0.9134
bigfive_main,agents persona (v4),race,variance_ordinale,0.4461,0.7947
bigfive_main,agents persona (v4),political_ideology,entropie,0.5132,0.8976
bigfive_main,agents persona (v4),political_ideology,gini_simpson,0.5077,0.9149
bigfive_main,agents persona (v4),political_ideology,variance_ordinale,0.6156,0.7961
bigfive_main,agents persona (v4),age,entropie,0.5759,0.9008
bigfive_main,agents persona (v4),age,gini_simpson,0.5602,0.9179
bigfive_main,agents persona (v4),age,variance_ordinale,0.2966,0.8253
bigfive_main,agents persona (v4),education,entropie,1.1519,0.8931
bigfive_main,agents persona (v4),education,gini_simpson,1.0628,0.9116
bigfive_main,agents persona (v4),education,variance_ordinale,0.7284,0.7938
bigfive_main,agents persona (v4),profil croise,entropie,1.4666,0.8892
bigfive_main,agents persona (v4),profil croise,gini_simpson,1.8007,0.9071
bigfive_main,agents persona (v4),profil croise,variance_ordinale,0.7128,0.7950
bigfive_main,agents demographiques fig.2 (v3),gender,entropie,2.0620,0.6839
bigfive_main,agents demographiques fig.2 (v3),gender,gini_simpson,1.6900,0.7669
bigfive_main,agents demographiques fig.2 (v3),gender,variance_ordinale,0.2691,0.1676
bigfive_main,agents demographiques fig.2 (v3),race,entropie,1.9042,0.6839
bigfive_main,agents demographiques fig.2 (v3),race,gini_simpson,2.1612,0.7660
bigfive_main,agents demographiques fig.2 (v3),race,variance_ordinale,0.3987,0.1671
bigfive_main,agents demographiques fig.2 (v3),political_ideology,entropie,0.3039,0.6880
bigfive_main,agents demographiques fig.2 (v3),political_ideology,gini_simpson,0.3556,0.7708
bigfive_main,agents demographiques fig.2 (v3),political_ideology,variance_ordinale,0.0851,0.1699
bigfive_main,agents demographiques fig.2 (v3),age,entropie,0.7614,0.6836
bigfive_main,agents demographiques fig.2 (v3),age,gini_simpson,1.1027,0.7633
bigfive_main,agents demographiques fig.2 (v3),age,variance_ordinale,0.0953,0.1731
bigfive_main,agents demographiques fig.2 (v3),education,entropie,12.1878,0.6207
bigfive_main,agents demographiques fig.2 (v3),education,gini_simpson,13.0732,0.7151
bigfive_main,agents demographiques fig.2 (v3),education,variance_ordinale,2.5987,0.1327
bigfive_main,agents demographiques fig.2 (v3),profil croise,entropie,1.4136,0.6771
bigfive_main,agents demographiques fig.2 (v3),profil croise,gini_simpson,1.6966,0.7628
bigfive_main,agents demographiques fig.2 (v3),profil croise,variance_ordinale,0.2382,0.1666
bigfive_main,agents demographiques fig.3 (v8),gender,entropie,3.7159,0.7809
bigfive_main,agents demographiques fig.3 (v8),gender,gini_simpson,2.8808,0.8429
bigfive_main,agents demographiques fig.3 (v8),gender,variance_ordinale,0.9968,0.3959
bigfive_main,agents demographiques fig.3 (v8),race,entropie,3.4406,0.7809
