famille,perimetre,definition,tranche,A,B,difference,ic_bas,ic_haut,p_brut,p_holm,p_bh,n_tests_famille,contraste
"secondaire, contre humains vague 2",1052,rarete,bas,agents composite,humains vague 2,-0.279532,-0.307171,-0.252601,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,bas,agents entretien (v3),humains vague 2,-0.280117,-0.308708,-0.250582,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,bas,agents enquete,humains vague 2,-0.388304,-0.416521,-0.359927,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,bas,agents demographiques (v6),humains vague 2,-0.267836,-0.302802,-0.234029,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,bas,agents v7,humains vague 2,-0.453801,-0.481436,-0.425059,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,bas,agents v8,humains vague 2,-0.439766,-0.467968,-0.410754,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,bas,B0 uniforme,humains vague 2,-0.313450,-0.346498,-0.279582,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,bas,B0 mode,humains vague 2,-0.499415,-0.526254,-0.472207,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,bas,B0 tirage,humains vague 2,-0.467251,-0.495995,-0.439110,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,bas,B1 argmax,humains vague 2,-0.477193,-0.504625,-0.448622,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,bas,B2 argmax,humains vague 2,-0.497661,-0.524480,-0.470139,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,bas,B3 foret,humains vague 2,-0.494152,-0.520946,-0.466665,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,milieu,agents composite,humains vague 2,-0.113567,-0.117560,-0.109467,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,milieu,agents entretien (v3),humains vague 2,-0.141628,-0.146335,-0.136811,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,milieu,agents enquete,humains vague 2,-0.142603,-0.147560,-0.137717,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,milieu,agents demographiques (v6),humains vague 2,-0.221880,-0.227377,-0.216421,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,milieu,agents v7,humains vague 2,-0.236200,-0.241985,-0.230149,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,milieu,agents v8,humains vague 2,-0.243484,-0.249711,-0.237243,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,milieu,B0 uniforme,humains vague 2,-0.437007,-0.442877,-0.431064,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,milieu,B0 mode,humains vague 2,-0.207258,-0.212789,-0.201565,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,milieu,B0 tirage,humains vague 2,-0.314093,-0.319304,-0.308540,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,milieu,B1 argmax,humains vague 2,-0.178573,-0.183757,-0.173266,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,milieu,B2 argmax,humains vague 2,-0.124782,-0.129268,-0.120238,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,rarete,milieu,B3 foret,humains vague 2,-0.164562,-0.169551,-0.159399,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,bas,agents composite,humains vague 2,-0.157866,-0.169981,-0.145425,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,bas,agents entretien (v3),humains vague 2,-0.175796,-0.189761,-0.161462,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,bas,agents enquete,humains vague 2,-0.141539,-0.154650,-0.127732,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,bas,agents demographiques (v6),humains vague 2,-0.248180,-0.262147,-0.233868,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,bas,agents v7,humains vague 2,-0.226678,-0.240420,-0.211286,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,bas,agents v8,humains vague 2,-0.234842,-0.250130,-0.218852,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,bas,B0 uniforme,humains vague 2,-0.334655,-0.352201,-0.317467,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,bas,B0 mode,humains vague 2,-0.268160,-0.281853,-0.253873,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,bas,B0 tirage,humains vague 2,-0.293621,-0.308913,-0.277997,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,bas,B1 argmax,humains vague 2,-0.197788,-0.211544,-0.183872,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,bas,B2 argmax,humains vague 2,-0.175283,-0.187811,-0.162337,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,bas,B3 foret,humains vague 2,-0.212165,-0.225455,-0.198415,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,milieu,agents composite,humains vague 2,-0.073304,-0.076464,-0.070073,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,milieu,agents entretien (v3),humains vague 2,-0.095627,-0.099320,-0.091859,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,milieu,agents enquete,humains vague 2,-0.097042,-0.100541,-0.093237,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,milieu,agents demographiques (v6),humains vague 2,-0.124446,-0.128261,-0.120541,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,milieu,agents v7,humains vague 2,-0.135453,-0.139832,-0.131066,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,milieu,agents v8,humains vague 2,-0.148803,-0.153602,-0.143954,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,milieu,B0 uniforme,humains vague 2,-0.280598,-0.284800,-0.276251,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,milieu,B0 mode,humains vague 2,-0.099197,-0.103189,-0.095079,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,milieu,B0 tirage,humains vague 2,-0.186209,-0.190169,-0.182102,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,milieu,B1 argmax,humains vague 2,-0.097381,-0.101140,-0.093577,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,milieu,B2 argmax,humains vague 2,-0.065656,-0.068967,-0.062239,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",1052,ordinale,milieu,B3 foret,humains vague 2,-0.082856,-0.086427,-0.079232,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",150,rarete,bas,C2,humains vague 2,-0.266393,-0.344542,-0.188460,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",150,rarete,bas,C3,humains vague 2,-0.221311,-0.303965,-0.140738,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",150,rarete,milieu,C2,humains vague 2,-0.273111,-0.289304,-0.256401,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",150,rarete,milieu,C3,humains vague 2,-0.219845,-0.234303,-0.204965,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",150,ordinale,bas,C2,humains vague 2,-0.239000,-0.274301,-0.205141,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",150,ordinale,bas,C3,humains vague 2,-0.196620,-0.235405,-0.158710,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",150,ordinale,milieu,C2,humains vague 2,-0.151311,-0.162783,-0.139099,0.000250,0.014000,0.000250,56,
"secondaire, contre humains vague 2",150,ordinale,milieu,C3,humains vague 2,-0.144601,-0.155403,-0.133635,0.000250,0.014000,0.000250,56,
replique Peng,1052,rarete,milieu,agents v8,agents composite,-0.129916,-0.134361,-0.125386,0.000250,0.004000,0.000444,16,"a. etiquette contre riche, milieu"
replique Peng,1052,rarete,bas,agents v8,agents composite,-0.160234,-0.182499,-0.138071,0.000250,0.004000,0.000444,16,"b. etiquette contre riche, bas"
replique Peng,1052,rarete,bas,agents v8,B0 uniforme,-0.126316,-0.148564,-0.103963,0.000250,0.004000,0.000444,16,"c. etiquette contre uniforme, bas"
replique Peng,1052,rarete,bas,agents composite,B0 uniforme,0.033918,0.004397,0.062825,0.030000,0.177000,0.040000,16,"d. riche contre uniforme, bas"
replique Peng,1052,ordinale,milieu,agents v8,agents composite,-0.075499,-0.079320,-0.071693,0.000250,0.004000,0.000444,16,"a. etiquette contre riche, milieu"
replique Peng,1052,ordinale,bas,agents v8,agents composite,-0.076977,-0.090256,-0.064986,0.000250,0.004000,0.000444,16,"b. etiquette contre riche, bas"
replique Peng,1052,ordinale,bas,agents v8,B0 uniforme,0.099813,0.081897,0.116998,0.000250,0.004000,0.000444,16,"c. etiquette contre uniforme, bas"
replique Peng,1052,ordinale,bas,agents composite,B0 uniforme,0.176789,0.160205,0.194028,0.000250,0.004000,0.000444,16,"d. riche contre uniforme, bas"
replique Peng,150,rarete,milieu,C2,C3,-0.053266,-0.064072,-0.042442,0.000250,0.004000,0.000444,16,"a. etiquette contre riche, milieu"
replique Peng,150,rarete,bas,C2,C3,-0.045082,-0.114758,0.024398,0.218000,0.579000,0.232533,16,"b. etiquette contre riche, bas"
replique Peng,150,rarete,bas,C2,B0 uniforme,-0.081967,-0.146561,-0.015072,0.016000,0.112000,0.025600,16,"c. etiquette contre uniforme, bas"
replique Peng,150,rarete,bas,C3,B0 uniforme,-0.036885,-0.103586,0.027280,0.288000,0.579000,0.288000,16,"d. riche contre uniforme, bas"
replique Peng,150,ordinale,milieu,C2,C3,-0.006711,-0.016722,0.003467,0.193000,0.579000,0.220571,16,"a. etiquette contre riche, milieu"
replique Peng,150,ordinale,bas,C2,C3,-0.042380,-0.080716,-0.004626,0.029500,0.177000,0.040000,16,"b. etiquette contre riche, bas"
replique Peng,150,ordinale,bas,C2,B0 uniforme,0.043595,-0.002252,0.088318,0.064000,0.256000,0.078769,16,"c. etiquette contre uniforme, bas"
replique Peng,150,ordinale,bas,C3,B0 uniforme,0.085976,0.040582,0.128613,0.000250,0.004000,0.000444,16,"d. riche contre uniforme, bas"
dispersion,1052,ordinale,sans objet,agents composite,humains vague 2,-0.075412,-0.083493,-0.067446,0.000250,0.003500,0.000269,14,
dispersion,1052,ordinale,sans objet,agents entretien (v3),humains vague 2,-0.053190,-0.062989,-0.043178,0.000250,0.003500,0.000269,14,
dispersion,1052,ordinale,sans objet,agents enquete,humains vague 2,-0.092219,-0.102800,-0.081904,0.000250,0.003500,0.000269,14,
dispersion,1052,ordinale,sans objet,agents demographiques (v6),humains vague 2,-0.345432,-0.355751,-0.335621,0.000250,0.003500,0.000269,14,
dispersion,1052,ordinale,sans objet,agents v7,humains vague 2,-0.310805,-0.328245,-0.293616,0.000250,0.003500,0.000269,14,
dispersion,1052,ordinale,sans objet,agents v8,humains vague 2,-0.085768,-0.101939,-0.070567,0.000250,0.003500,0.000269,14,
dispersion,1052,ordinale,sans objet,B0 uniforme,humains vague 2,0.269110,0.256368,0.282183,0.000250,0.003500,0.000269,14,
dispersion,1052,ordinale,sans objet,B0 mode,humains vague 2,-0.957239,-0.962838,-0.951545,0.000250,0.003500,0.000269,14,
dispersion,1052,ordinale,sans objet,B0 tirage,humains vague 2,0.001146,-0.009436,0.011561,0.816500,0.816500,0.816500,14,
dispersion,1052,ordinale,sans objet,B1 argmax,humains vague 2,-0.192838,-0.203483,-0.181948,0.000250,0.003500,0.000269,14,
dispersion,1052,ordinale,sans objet,B2 argmax,humains vague 2,-0.314403,-0.323733,-0.305365,0.000250,0.003500,0.000269,14,
dispersion,1052,ordinale,sans objet,B3 foret,humains vague 2,-0.402593,-0.412744,-0.392306,0.000250,0.003500,0.000269,14,
dispersion,150,ordinale,sans objet,C2,humains vague 2,-0.217632,-0.273580,-0.164158,0.000250,0.003500,0.000269,14,
dispersion,150,ordinale,sans objet,C3,humains vague 2,-0.208699,-0.239981,-0.178188,0.000250,0.003500,0.000269,14,
