configuration,n_pool,top1,top1_bas,top1_haut,top1_hasard,n_repetitions
JSON Persona - GPT4.1,50,0.5319999999999999,0.5003333333333334,0.563,0.02,20
JSON Persona - GPT4.1,100,0.45483333333333337,0.4374958333333333,0.47050000000000003,0.01,20
JSON Persona - GPT4.1,250,0.38099999999999995,0.37026499999999996,0.3928016666666666,0.004,20
JSON Persona - GPT4.1,500,0.3096333333333333,0.3034316666666666,0.3166999999999999,0.002,20
JSON Persona - GPT4.1,1000,0.2569166666666666,0.25128333333333336,0.26260041666666667,0.001,20
JSON Persona - GPT4.1,2058,0.20736961451247166,0.20652717039196627,0.20831713637836086,0.00048590864917395527,20
Demographics Only - GPT4.1-mini,50,0.18666666666666665,0.16966666666666666,0.20466666666666664,0.02,20
Demographics Only - GPT4.1-mini,100,0.12233333333333332,0.10983333333333331,0.13466666666666666,0.01,20
Demographics Only - GPT4.1-mini,250,0.07853333333333332,0.07153166666666665,0.08546666666666666,0.004,20
Demographics Only - GPT4.1-mini,500,0.05283333333333333,0.05009999999999999,0.055633333333333326,0.002,20
Demographics Only - GPT4.1-mini,1000,0.03331666666666667,0.03135,0.035233333333333325,0.001,20
Demographics Only - GPT4.1-mini,2058,0.021388079041140266,0.021218011013929384,0.02156624554583738,0.00048590864917395527,20
PMM k=5 (demographies),50,0.055333333333333325,0.041,0.06966666666666667,0.02,20
PMM k=5 (demographies),100,0.023833333333333328,0.0165,0.0325,0.01,20
PMM k=5 (demographies),250,0.010133333333333331,0.008133333333333334,0.012066666666666667,0.004,20
PMM k=5 (demographies),500,0.006333333333333334,0.004999999999999999,0.007833333333333335,0.002,20
PMM k=5 (demographies),1000,0.0029,0.00225,0.0034666666666666665,0.001,20
PMM k=5 (demographies),2058,0.0012876579203109817,0.001182377712989958,0.0013929381276320053,0.00048590864917395527,20
