item,modalite,camp,taux_droite,taux_gauche,neutre
QID287_1,1,droite,0.285185,0.020071,False
QID287_1,2,droite,0.190741,0.059032,False
QID287_1,3,droite,0.137037,0.110980,True
QID287_1,4,gauche,0.287037,0.389610,False
QID287_1,5,gauche,0.100000,0.420307,False
QID287_2,1,droite,0.188889,0.014168,False
QID287_2,2,droite,0.177778,0.038961,False
QID287_2,3,droite,0.274074,0.201889,True
QID287_2,4,gauche,0.229630,0.386068,False
QID287_2,5,gauche,0.129630,0.358914,False
QID287_3,1,droite,0.250000,0.005903,False
QID287_3,2,droite,0.168519,0.036600,False
QID287_3,3,droite,0.198148,0.093270,True
QID287_3,4,gauche,0.257407,0.348288,False
QID287_3,5,gauche,0.125926,0.515939,False
QID287_4,1,droite,0.238889,0.005903,False
QID287_4,2,droite,0.153704,0.025974,False
QID287_4,3,droite,0.166667,0.063754,True
QID287_4,4,droite,0.248148,0.199528,False
QID287_4,5,gauche,0.192593,0.704841,False
QID287_5,1,droite,0.077778,0.018890,False
QID287_5,2,droite,0.068519,0.020071,False
QID287_5,3,droite,0.235185,0.138135,True
QID287_5,4,droite,0.422222,0.342385,False
QID287_5,5,gauche,0.196296,0.480519,False
QID287_6,1,droite,0.285185,0.023613,False
QID287_6,2,droite,0.209259,0.027155,False
QID287_6,3,droite,0.133333,0.085006,True
QID287_6,4,droite,0.255556,0.243211,False
QID287_6,5,gauche,0.116667,0.621015,False
QID287_7,1,droite,0.094444,0.007084,False
QID287_7,2,droite,0.107407,0.010626,False
QID287_7,3,droite,0.179630,0.048406,True
QID287_7,4,droite,0.357407,0.233766,False
QID287_7,5,gauche,0.261111,0.700118,False
QID287_10,1,droite,0.188889,0.017710,False
QID287_10,2,droite,0.138889,0.031877,False
QID287_10,3,droite,0.181481,0.074380,True
QID287_10,4,droite,0.240741,0.170012,False
QID287_10,5,gauche,0.250000,0.706021,False
QID287_11,1,gauche,0.024074,0.304604,False
QID287_11,2,gauche,0.042593,0.259740,False
QID287_11,3,gauche,0.107407,0.229044,True
QID287_11,4,droite,0.244444,0.112161,False
QID287_11,5,droite,0.581481,0.094451,False
QID287_12,1,gauche,0.048148,0.155844,False
QID287_12,2,gauche,0.070370,0.125148,False
QID287_12,3,gauche,0.253704,0.260921,True
QID287_12,4,droite,0.379630,0.237308,False
QID287_12,5,droite,0.248148,0.220779,False
