generateur,n,n_pool,n_rep,exactitude,exactitude_bas,exactitude_haut,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,top1_hasard,auc_ouvert,tpr_fpr_0_1pct,tpr_fpr_1pct,jeu,table,eps,candidat,passe,baseline_top1,llm,llm_top1,llm_top1_bas,llm_top1_haut,llm_tpr_1pct,llm_exactitude,meilleur_classique,meilleur_classique_top1,meilleur_classique_top1_bas,meilleur_classique_top1_haut,meilleur_classique_ouvert,meilleur_classique_tpr_1pct,seuil_non_specifique_top1,verdict_monde_ferme,verdict_monde_ouvert,eps_etoile_fuite,eps_etoile_exactitude,lecture_memorisation
G4 copie perturbee eps=0.85,2058.0,2058.0,2.0,0.5156988986070619,0.5136537293488824,0.5178775915127956,0.0206511175898931,0.0169084062196307,0.0247825558794946,0.1029640427599611,0.0937293488824101,0.1118573858114674,273.4,0.0004859086491739,0.0122103436682183,0.0002429543245869,0.0004859086491739,Twin,echelle_memorisation,0.85,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.90,2058.0,2058.0,2.0,0.4870910268869453,0.4850744047619048,0.4891441933916423,0.0078231292517006,0.0054907677356656,0.0103012633624878,0.0463556851311953,0.0402332361516035,0.0526724975704567,488.9500000000001,0.0004859086491739,0.003912591692237,0.0,0.0,Twin,echelle_memorisation,0.9,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.95,2058.0,2058.0,2.0,0.4585438937479754,0.456426040654357,0.4605893666990606,0.0012147716229348,0.0003887269193391,0.0022837706511175,0.0161321671525753,0.0126822157434402,0.0198736637512147,749.1,0.0004859086491739,0.0007554840622907,0.0,0.0,Twin,echelle_memorisation,0.95,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=1.00,2058.0,2058.0,2.0,0.431373501781665,0.4292181932296728,0.433471311143505,0.0003887269193391,0.0,0.0009718172983479,0.0035957240038872,0.0020396015549076,0.0053462099125364,1026.9,0.0004859086491739,0.0002078924031086,0.0,0.0,Twin,echelle_memorisation,1.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.0004859086491739,,,,,,,,,,,Twin,controle_fidelite,,G0 marginales independantes,False,0.0215257531584062,,,,,,,,,,,,,,,,,,
,,,,,,,0.0019922254616132,,,,,,,,,,,Twin,controle_fidelite,,G1 marginales par segment,False,0.0215257531584062,,,,,,,,,,,,,,,,,,
,,,,,,,0.0,,,,,,,,,,,Twin,controle_fidelite,,G2 Chow-Liu global,False,0.0215257531584062,,,,,,,,,,,,,,,,,,
,,,,,,,0.0012633624878522,,,,,,,,,,,Twin,controle_fidelite,,G3 Chow-Liu par segment,False,0.0215257531584062,,,,,,,,,,,,,,,,,,
,,,,,,,0.2074101068999028,,,,,,,,,,,Twin,controle_fidelite,,LLM : JSON Persona - GPT4.1,True,0.0215257531584062,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Twin,verdict,,,,,LLM : JSON Persona - GPT4.1,0.2073858114674441,0.1898931000971817,0.2246841593780369,0.0304081632653061,0.5903871072238419,G1 marginales par segment,0.0015354713313896,0.00089407191448,0.0022546161321671,G1 marginales par segment,9.718172983479104e-05,0.103692905733722,SPECIFIQUE AUX LLM,SPECIFIQUE AUX LLM,0.714076376554174,0.7197275808133473,SE COMPORTE COMME UN COPIEUR : fuite = ce qu'implique son exactitude
