condition,segmentation,n_colonnes_demographiques,exactitude_vraie,exactitude_permutee,chute,chute_relative,plancher_humain_chute_relative,part_du_plancher_humain
"B1 argmax, quatorze demographies",S_ideo,14,0.5183115252903883,0.4985428423920588,0.019768682898329448,0.03814054276962852,0.45691823965811545,0.08347345205165546
"B1 argmax, quatorze demographies",S_fin,14,0.5183115252903883,0.5020931426141886,0.016218382676199683,0.031290800772977606,0.45153223797843395,0.06929915107074175
"B1 argmax, quatorze demographies",S_gra,14,0.5183115252903883,0.4943618544356518,0.023949670854736482,0.046207096863837796,0.45655569419721675,0.10120801788505977
"B1 argmax, quatorze demographies",S_parti,14,0.5183115252903883,0.49144556376972554,0.02686596152066273,0.051833617833620144,0.46171411814084373,0.11226344570604735
"B1 argmax, sans ideologie ni parti",S_ideo,12,0.5133749247998519,0.4912778081470684,0.02209711665278352,0.04304284370998148,0.45691823965811545,0.09420250708789359
"B1 argmax, sans ideologie ni parti",S_fin,12,0.5133749247998519,0.4985991861030126,0.014775738696839291,0.028781574601836793,0.45153223797843395,0.06374201481315152
"B1 argmax, sans ideologie ni parti",S_gra,12,0.5133749247998519,0.5006704584895182,0.012704466310333729,0.02474695528864559,0.45655569419721675,0.05420358480504623
"B1 argmax, sans ideologie ni parti",S_parti,12,0.5133749247998519,0.4894617766324217,0.02391314816743023,0.04658028082838909,0.46171411814084373,0.10088554583505283
