jeu_items,n_items,condition,mesure,ratio_inter,inter_bas,inter_haut,ratio_intra,intra_bas,intra_haut
169 items (a1),169,humains vague 1,entropie,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
169 items (a1),169,humains vague 1,gini_simpson,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
169 items (a1),169,humains vague 1,variance_ordinale,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
169 items (a1),169,humains vague 2,entropie,1.0034,0.9797,1.0277,1.0043,1.0002,1.0085
169 items (a1),169,humains vague 2,gini_simpson,1.0106,0.9849,1.0376,1.0030,0.9994,1.0070
169 items (a1),169,humains vague 2,variance_ordinale,1.0137,0.9768,1.0512,0.9894,0.9788,1.0001
169 items (a1),169,agents composite,entropie,1.7529,1.7018,1.8060,0.8846,0.8801,0.8888
169 items (a1),169,agents composite,gini_simpson,1.7918,1.7369,1.8499,0.8962,0.8913,0.9011
169 items (a1),169,agents composite,variance_ordinale,2.0553,1.9631,2.1587,0.8605,0.8473,0.8733
169 items (a1),169,agents entretien (v3),entropie,2.1559,2.0737,2.2419,0.8517,0.8458,0.8573
169 items (a1),169,agents entretien (v3),gini_simpson,2.2116,2.1184,2.3113,0.8500,0.8436,0.8559
169 items (a1),169,agents entretien (v3),variance_ordinale,2.7461,2.5787,2.9179,0.8899,0.8742,0.9057
169 items (a1),169,agents enquete,entropie,1.8241,1.7620,1.8816,0.8219,0.8163,0.8274
169 items (a1),169,agents enquete,gini_simpson,1.8907,1.8227,1.9577,0.8463,0.8398,0.8525
169 items (a1),169,agents enquete,variance_ordinale,2.1494,2.0402,2.2618,0.8274,0.8138,0.8410
169 items (a1),169,agents persona (v7),entropie,0.4372,0.3793,0.4933,0.6666,0.6534,0.6807
169 items (a1),169,agents persona (v7),gini_simpson,0.3388,0.2924,0.3899,0.6569,0.6435,0.6712
169 items (a1),169,agents persona (v7),variance_ordinale,0.2220,0.1791,0.2707,0.5520,0.5303,0.5754
169 items (a1),169,agents demographiques (v6),entropie,0.8548,0.7918,0.9226,0.6373,0.6298,0.6449
169 items (a1),169,agents demographiques (v6),gini_simpson,0.7954,0.7218,0.8703,0.6430,0.6342,0.6523
169 items (a1),169,agents demographiques (v6),variance_ordinale,0.4989,0.4425,0.5620,0.5024,0.4909,0.5146
169 items (a1),169,agents demographiques (v8),entropie,5.9072,5.6479,6.1566,0.6839,0.6764,0.6914
169 items (a1),169,agents demographiques (v8),gini_simpson,5.9284,5.6412,6.2132,0.7098,0.7011,0.7186
169 items (a1),169,agents demographiques (v8),variance_ordinale,5.9157,5.4913,6.3496,0.7495,0.7259,0.7736
"149 items (a2, a7, a8, a12)",149,humains vague 1,entropie,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
"149 items (a2, a7, a8, a12)",149,humains vague 1,gini_simpson,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
"149 items (a2, a7, a8, a12)",149,humains vague 1,variance_ordinale,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
"149 items (a2, a7, a8, a12)",149,humains vague 2,entropie,1.0108,0.9847,1.0359,1.0041,0.9999,1.0083
"149 items (a2, a7, a8, a12)",149,humains vague 2,gini_simpson,1.0211,0.9936,1.0486,1.0029,0.9989,1.0070
"149 items (a2, a7, a8, a12)",149,humains vague 2,variance_ordinale,1.0233,0.9853,1.0612,0.9917,0.9808,1.0024
"149 items (a2, a7, a8, a12)",149,agents composite,entropie,1.8244,1.7667,1.8821,0.8709,0.8660,0.8759
"149 items (a2, a7, a8, a12)",149,agents composite,gini_simpson,1.8643,1.8034,1.9291,0.8852,0.8799,0.8906
"149 items (a2, a7, a8, a12)",149,agents composite,variance_ordinale,2.0760,1.9793,2.1807,0.8490,0.8354,0.8621
"149 items (a2, a7, a8, a12)",149,agents entretien (v3),entropie,2.2727,2.1784,2.3687,0.8312,0.8247,0.8374
"149 items (a2, a7, a8, a12)",149,agents entretien (v3),gini_simpson,2.3268,2.2216,2.4351,0.8311,0.8237,0.8377
"149 items (a2, a7, a8, a12)",149,agents entretien (v3),variance_ordinale,2.7920,2.6173,2.9643,0.8767,0.8608,0.8925
"149 items (a2, a7, a8, a12)",149,agents enquete,entropie,1.9162,1.8512,1.9813,0.8328,0.8267,0.8385
"149 items (a2, a7, a8, a12)",149,agents enquete,gini_simpson,1.9679,1.8959,2.0386,0.8515,0.8445,0.8580
"149 items (a2, a7, a8, a12)",149,agents enquete,variance_ordinale,2.1716,2.0576,2.2861,0.8258,0.8117,0.8392
"149 items (a2, a7, a8, a12)",149,agents persona (v7),entropie,0.3972,0.3404,0.4541,0.6436,0.6289,0.6586
"149 items (a2, a7, a8, a12)",149,agents persona (v7),gini_simpson,0.3045,0.2604,0.3519,0.6313,0.6165,0.6471
"149 items (a2, a7, a8, a12)",149,agents persona (v7),variance_ordinale,0.2111,0.1671,0.2591,0.5427,0.5210,0.5661
"149 items (a2, a7, a8, a12)",149,agents demographiques (v6),entropie,0.8196,0.7523,0.8902,0.6304,0.6222,0.6384
"149 items (a2, a7, a8, a12)",149,agents demographiques (v6),gini_simpson,0.7535,0.6807,0.8319,0.6321,0.6228,0.6415
"149 items (a2, a7, a8, a12)",149,agents demographiques (v6),variance_ordinale,0.4905,0.4329,0.5525,0.5046,0.4933,0.5167
"149 items (a2, a7, a8, a12)",149,agents demographiques (v8),entropie,5.9723,5.7041,6.2445,0.6797,0.6716,0.6873
"149 items (a2, a7, a8, a12)",149,agents demographiques (v8),gini_simpson,5.9660,5.6586,6.2582,0.6995,0.6898,0.7088
"149 items (a2, a7, a8, a12)",149,agents demographiques (v8),variance_ordinale,5.9773,5.5349,6.3922,0.7498,0.7263,0.7736
