condition,perimetre,finesse,cellules_declarees,cellules_effectives,part_repliee,Q5_reel,Q5_nul,Q5_exces,Q4_reel,Q4_nul,Q4_exces,replicats
humains vague 1,1052,N0 aucun segment,1,1,0.0,0.09255847543739329,0.024637609020892088,0.0679208664165012,0.09255847543739329,0.024637609020892088,0.0679208664165012,50
humains vague 1,1052,N1 ideologie,7,7,0.0,0.06697316667282195,0.024810593269026085,0.04216257340379587,0.09255847543739329,0.05087489983318387,0.04168357560420942,50
humains vague 1,1052,N2 genre x race x ideologie,18,18,0.0,0.06804928698146688,0.024898303814979986,0.0431509831664869,0.09255847543739329,0.048742820411343056,0.04381565502605023,50
humains vague 1,1052,N3 ideologie x genre x age,42,42,0.0714,0.06771496491752155,0.025217732681417276,0.04249723223610427,0.09255847543739329,0.051389821626313566,0.041168653811079724,50
humains vague 1,1052,N4 ideologie x genre x race x education,80,80,0.3875,0.06697633114651234,0.02568158068972565,0.0412947504567867,0.09255847543739329,0.04966158617434802,0.04289688926304527,50
humains vague 2,1052,N0 aucun segment,1,1,0.0,0.09465706392350873,0.02460740547240195,0.07004965845110678,0.09465706392350873,0.02460740547240195,0.07004965845110678,50
humains vague 2,1052,N1 ideologie,7,7,0.0,0.06920327993129805,0.02479046912982944,0.044412810801468604,0.09465706392350873,0.05106553350840515,0.04359153041510358,50
humains vague 2,1052,N2 genre x race x ideologie,18,18,0.0,0.06998983063841695,0.024952266156776353,0.04503756448164059,0.09465706392350873,0.04936469647803214,0.045292367445476586,50
humains vague 2,1052,N3 ideologie x genre x age,42,42,0.0714,0.06966594950345988,0.025236863420169387,0.04442908608329049,0.09465706392350873,0.05128100043560753,0.0433760634879012,50
humains vague 2,1052,N4 ideologie x genre x race x education,80,80,0.3875,0.0687587200027874,0.02570130629454021,0.0430574137082472,0.09465706392350873,0.05007875501827694,0.04457830890523179,50
agents composite,1052,N0 aucun segment,1,1,0.0,0.16433696110471846,0.024628225313310805,0.13970873579140766,0.16433696110471846,0.024628225313310805,0.13970873579140766,50
agents composite,1052,N1 ideologie,7,7,0.0,0.10867301337846631,0.02482107055842674,0.08385194282003958,0.16433696110471846,0.09358982543213297,0.07074713567258549,50
agents composite,1052,N2 genre x race x ideologie,18,18,0.0,0.11325331160093327,0.024960949490012076,0.0882923621109212,0.16433696110471846,0.08968649567556425,0.07465046542915421,50
agents composite,1052,N3 ideologie x genre x age,42,42,0.0714,0.11329945201804023,0.025282308622807118,0.08801714339523312,0.16433696110471846,0.09179968157741798,0.07253727952730048,50
agents composite,1052,N4 ideologie x genre x race x education,80,80,0.3878,0.10969013935779154,0.02573073755958966,0.08395940179820188,0.16433696110471846,0.090287427717221,0.07404953338749747,50
agents entretien (v3),1052,N0 aucun segment,1,1,0.0,0.18408984509792975,0.02443845190122481,0.15965139319670493,0.18408984509792975,0.02443845190122481,0.15965139319670493,50
agents entretien (v3),1052,N1 ideologie,7,7,0.0,0.11401752999670561,0.0246149485888608,0.08940258140784481,0.18408984509792975,0.11726988988781001,0.06681995521011974,50
agents entretien (v3),1052,N2 genre x race x ideologie,18,18,0.0,0.11836383577300011,0.024747808924029183,0.09361602684897093,0.18408984509792975,0.11415057774773169,0.06993926735019806,50
agents entretien (v3),1052,N3 ideologie x genre x age,42,42,0.0722,0.11911782992794473,0.024982394469315133,0.0941354354586296,0.18408984509792975,0.11558304138761277,0.06850680371031698,50
agents entretien (v3),1052,N4 ideologie x genre x race x education,80,80,0.3883,0.11479110483392523,0.025618450120487676,0.08917265471343755,0.18408984509792975,0.11434266870027585,0.0697471763976539,50
agents enquete,1052,N0 aucun segment,1,1,0.0,0.17318844391253627,0.024280301290001156,0.1489081426225351,0.17318844391253627,0.024280301290001156,0.1489081426225351,50
agents enquete,1052,N1 ideologie,7,7,0.0,0.10200597388014664,0.024744818746970744,0.07726115513317589,0.17318844391253627,0.10910178030256451,0.06408666360997176,50
agents enquete,1052,N2 genre x race x ideologie,18,18,0.0,0.1105414294029906,0.024788176892885146,0.08575325251010545,0.17318844391253627,0.10192341835489778,0.07126502555763849,50
