condition,perimetre,finesse,cellules_declarees,cellules_effectives,part_repliee,Q5_reel,Q5_nul,Q5_exces,Q4_reel,Q4_nul,Q4_exces,replicats
agents enquete,1052,N3 ideologie x genre x age,42,42,0.0716,0.10986990485722578,0.025158537860774936,0.08471136699645085,0.17318844391253627,0.10256094584829561,0.07062749806424065,50
agents enquete,1052,N4 ideologie x genre x race x education,80,80,0.3882,0.10932368152237418,0.025693130762829686,0.0836305507595445,0.17318844391253627,0.10092548711820591,0.07226295679433035,50
agents demographiques (v6),1052,N0 aucun segment,1,1,0.0,0.12430141602009954,0.022821051913578215,0.10148036410652134,0.12430141602009954,0.022821051913578215,0.10148036410652134,50
agents demographiques (v6),1052,N1 ideologie,7,7,0.0,0.11571039175163558,0.023126731461567247,0.09258366029006834,0.12430141602009954,0.029271944715739736,0.0950294713043598,50
agents demographiques (v6),1052,N2 genre x race x ideologie,18,18,0.0,0.11337836318021224,0.023282510341885495,0.09009585283832675,0.12430141602009954,0.03506456585108472,0.08923685016901482,50
agents demographiques (v6),1052,N3 ideologie x genre x age,42,42,0.0721,0.1116822700403968,0.023558889159015658,0.08812338088138114,0.12430141602009954,0.03744669312545662,0.08685472289464292,50
agents demographiques (v6),1052,N4 ideologie x genre x race x education,80,80,0.3883,0.11001270006542009,0.023729320676900992,0.0862833793885191,0.12430141602009954,0.04137533806754822,0.08292607795255133,50
agents v7,1052,N0 aucun segment,1,1,0.0,0.13402514258471987,0.023778964106750622,0.11024617847796925,0.13402514258471987,0.023778964106750622,0.11024617847796925,50
agents v7,1052,N1 ideologie,7,7,0.0,0.12856336771763244,0.02405847760116014,0.1045048901164723,0.13402514258471987,0.027783339005758866,0.106241803578961,50
agents v7,1052,N2 genre x race x ideologie,18,18,0.0,0.12957574400924077,0.024240032724692547,0.10533571128454822,0.13402514258471987,0.028522804397417036,0.10550233818730284,50
agents v7,1052,N3 ideologie x genre x age,42,42,0.0714,0.1285844619190425,0.024576142947376364,0.10400831897166612,0.13402514258471987,0.03236655863465445,0.10165858395006541,50
agents v7,1052,N4 ideologie x genre x race x education,80,80,0.3879,0.12915463514712897,0.025011784207343082,0.10414285093978588,0.13402514258471987,0.02951684602338886,0.10450829656133101,50
agents v8,1052,N0 aucun segment,1,1,0.0,0.33304466897126384,0.02331437931195666,0.30973028965930716,0.33304466897126384,0.02331437931195666,0.30973028965930716,50
agents v8,1052,N1 ideologie,7,7,0.0,0.11677924125641764,0.02260421984302458,0.09417502141339307,0.33304466897126384,0.2973544216801837,0.03569024729108011,50
agents v8,1052,N2 genre x race x ideologie,18,18,0.0,0.14452499811068537,0.02282438734065511,0.12170061077003025,0.33304466897126384,0.2823600320123209,0.05068463695894293,50
agents v8,1052,N3 ideologie x genre x age,42,42,0.0714,0.14364276114690577,0.023407324027587335,0.12023543711931844,0.33304466897126384,0.282970837359669,0.05007383161159484,50
agents v8,1052,N4 ideologie x genre x race x education,80,80,0.3885,0.14076547380284823,0.024747036107324327,0.1160184376955239,0.33304466897126384,0.2693825217036101,0.06366214726765373,50
C2,150,N0 aucun segment,1,1,0.0,0.2138569993828158,0.044555641079286376,0.16930135830352944,0.2138569993828158,0.044555641079286376,0.16930135830352944,50
C2,150,N1 ideologie,7,7,0.0,0.08628489858692853,0.03987110810089897,0.04641379048602956,0.2138569993828158,0.19256250145390147,0.02129449792891433,50
C2,150,N2 genre x race x ideologie,18,18,0.3889,0.12722222569303898,0.04916402228498841,0.07805820340805057,0.2138569993828158,0.1521588474356933,0.0616981519471225,50
C2,150,N3 ideologie x genre x age,42,39,0.6429,0.14320746569573314,0.05625240942739933,0.08695505626833382,0.2138569993828158,0.0996628156097301,0.1141941837730857,50
C2,150,N4 ideologie x genre x race x education,80,47,0.8608,0.12483038088151245,0.05700397765125306,0.06782640323025939,0.2138569993828158,0.10133731699221692,0.11251968239059888,50
C3,150,N0 aucun segment,1,1,0.0,0.118167975474659,0.05454339202093663,0.06362458345372238,0.118167975474659,0.05454339202093663,0.06362458345372238,50
C3,150,N1 ideologie,7,7,0.0,0.11003072626961474,0.05552467105473049,0.054506055214884254,0.118167975474659,0.06447306367039163,0.05369491180426737,50
C3,150,N2 genre x race x ideologie,18,18,0.3889,0.11030505652931497,0.05735367337939129,0.052951383149923675,0.118167975474659,0.06334574626830614,0.054822229206352865,50
C3,150,N3 ideologie x genre x age,42,39,0.6429,0.11316387555034685,0.06252693636349345,0.0506369391868534,0.118167975474659,0.061533971334783354,0.05663400413987565,50
C3,150,N4 ideologie x genre x race x education,80,47,0.8608,0.11247837349838058,0.0643606623326593,0.04811771116572128,0.118167975474659,0.05965095944428601,0.058517016030372994,50
B1 argmax,1052,N0 aucun segment,1,1,0.0,0.13084214484836967,0.022559485836100335,0.10828265901226934,0.13084214484836967,0.022559485836100335,0.10828265901226934,50
B1 argmax,1052,N1 ideologie,7,7,0.0,0.07150092961928417,0.022827158188851303,0.04867377143043287,0.13084214484836967,0.09693997213354967,0.03390217271482,50
B1 argmax,1052,N2 genre x race x ideologie,18,18,0.0,0.07372081457575842,0.022987862037668904,0.050732952538089515,0.13084214484836967,0.09281500840591357,0.0380271364424561,50
B1 argmax,1052,N3 ideologie x genre x age,42,42,0.0714,0.07159616680909905,0.02322446759972224,0.04837169920937681,0.13084214484836967,0.09854719657229818,0.03229494827607149,50
B1 argmax,1052,N4 ideologie x genre x race x education,80,80,0.3875,0.06911061841482052,0.023392521823826454,0.04571809659099407,0.13084214484836967,0.09267306173580259,0.03816908311256709,50
B2 argmax,1052,N0 aucun segment,1,1,0.0,0.15030533416619088,0.0196659796800066,0.13063935448618427,0.15030533416619088,0.0196659796800066,0.13063935448618427,50
B2 argmax,1052,N1 ideologie,7,7,0.0,0.10249996448320968,0.02003793999541226,0.08246202448779742,0.15030533416619088,0.0792562912920467,0.07104904287414418,50
B2 argmax,1052,N2 genre x race x ideologie,18,18,0.0,0.10731974301050975,0.02013811981833491,0.08718162319217485,0.15030533416619088,0.0745068811856936,0.07579845298049728,50
B2 argmax,1052,N3 ideologie x genre x age,42,42,0.0714,0.10569565565215311,0.020428108493366293,0.08526754715878682,0.15030533416619088,0.07735898140938285,0.07294635275680802,50
B2 argmax,1052,N4 ideologie x genre x race x education,80,80,0.3875,0.10686156010483047,0.02082698176425186,0.08603457834057861,0.15030533416619088,0.0740897319843379,0.07621560218185298,50
PMM k=10,1052,N0 aucun segment,1,1,0.0,0.11716689243277616,0.023914364792951323,0.09325252763982483,0.11716689243277616,0.023914364792951323,0.09325252763982483,50
PMM k=10,1052,N1 ideologie,7,7,0.0,0.07994581855047192,0.024174210078836737,0.05577160847163518,0.11716689243277616,0.06388967040647503,0.05327722202630113,50
PMM k=10,1052,N2 genre x race x ideologie,18,18,0.0,0.08239495865414949,0.02429329970413509,0.0581016589500144,0.11716689243277616,0.06053796335553277,0.05662892907724339,50
PMM k=10,1052,N3 ideologie x genre x age,42,42,0.0714,0.08180666870253958,0.024599301428046675,0.05720736727449291,0.11716689243277616,0.06304052513852572,0.05412636729425044,50
PMM k=10,1052,N4 ideologie x genre x race x education,80,80,0.3875,0.08018343480856008,0.02509201601520914,0.05509141879335094,0.11716689243277616,0.06138418679181251,0.055782705640963645,50
B0 mode,1052,N0 aucun segment,1,1,0.0,0.0012438862611227272,6.147439999223547e-05,0.0011824118611304917,0.0012438862611227272,6.147439999223547e-05,0.0011824118611304917,50
B0 mode,1052,N1 ideologie,7,7,0.0,0.0012450144153823793,6.201037289346728e-05,0.001183004042488912,0.0012438862611227272,6.213970446029034e-05,0.0011817465566624369,50
B0 mode,1052,N2 genre x race x ideologie,18,18,0.0,0.0012495603435325577,6.262624702779483e-05,0.001186934096504763,0.0012438862611227272,6.712606513151956e-05,0.0011767601959912076,50
B0 mode,1052,N3 ideologie x genre x age,42,42,0.0714,0.0012505519068441286,6.493095510683274e-05,0.0011856209517372958,0.0012438862611227272,7.323282815446968e-05,0.0011706534329682576,50
B0 mode,1052,N4 ideologie x genre x race x education,80,80,0.3875,0.0012477410680112075,6.613927589850308e-05,0.0011816017921127044,0.0012438862611227272,9.11311375579525e-05,0.0011527551235647746,50
B0 tirage,1052,N0 aucun segment,1,1,0.0,0.024651932368066273,0.02456699404971598,8.493831835029372e-05,0.024651932368066273,0.02456699404971598,8.493831835029372e-05,50
B0 tirage,1052,N1 ideologie,7,7,0.0,0.024689800227910865,0.02468600411982185,3.796108089013789e-06,0.024651932368066273,0.024676728943298244,-2.4796575231970236e-05,50
B0 tirage,1052,N2 genre x race x ideologie,18,18,0.0,0.024857244733622174,0.024731521180180835,0.0001257235534413391,0.024651932368066273,0.024726089326989952,-7.415695892367888e-05,50
B0 tirage,1052,N3 ideologie x genre x age,42,42,0.0714,0.025108190731272188,0.025066836269173894,4.135446209829405e-05,0.024651932368066273,0.024951472390708832,-0.0002995400226425589,50
B0 tirage,1052,N4 ideologie x genre x race x education,80,80,0.3875,0.02568638448108067,0.02551989536762178,0.00016648911345889042,0.024651932368066273,0.02502845266661939,-0.00037652029855311797,50
B3 foret,1052,N0 aucun segment,1,1,0.0,0.10664305457262149,0.01790080287294602,0.08874225169967548,0.10664305457262149,0.01790080287294602,0.08874225169967548,50
B3 foret,1052,N1 ideologie,7,7,0.0,0.052541034952391034,0.01744651127158167,0.03509452368080936,0.10664305457262149,0.08173057120140138,0.02491248337122011,50
B3 foret,1052,N2 genre x race x ideologie,18,18,0.0,0.057327243386599634,0.01742170279332451,0.03990554059327513,0.10664305457262149,0.07841488646601152,0.02822816810660997,50
B3 foret,1052,N3 ideologie x genre x age,42,42,0.0714,0.05412740752437658,0.017636507673578203,0.036490899850798376,0.10664305457262149,0.0818236121427991,0.024819442429822397,50
B3 foret,1052,N4 ideologie x genre x race x education,80,80,0.3875,0.05392820633358823,0.01815551023915568,0.03577269609443255,0.10664305457262149,0.07979445154341254,0.026848603029208953,50
humains vague 1 (150),150,N0 aucun segment,1,1,0.0,0.11646111317562832,0.06526778099426672,0.0511933321813616,0.11646111317562832,0.06526778099426672,0.0511933321813616,50
humains vague 1 (150),150,N1 ideologie,7,7,0.0,0.10026447144880457,0.06652515694453558,0.033739314504268994,0.11646111317562832,0.08109792985732164,0.03536318331830668,50
humains vague 1 (150),150,N2 genre x race x ideologie,18,18,0.3889,0.10082394354676862,0.06911916541022661,0.031704778136542,0.11646111317562832,0.08157436645559343,0.03488674672003489,50
humains vague 1 (150),150,N3 ideologie x genre x age,42,39,0.6429,0.10660454219891673,0.0765355968321315,0.030068945366785227,0.11646111317562832,0.07431951160500136,0.04214160157062696,50
humains vague 1 (150),150,N4 ideologie x genre x race x education,80,47,0.8608,0.10981398688285585,0.07888637534914843,0.03092761153370742,0.11646111317562832,0.07476374333043043,0.041697369845197896,50
humains vague 2 (150),150,N0 aucun segment,1,1,0.0,0.11462004874330828,0.06540760167904339,0.04921244706426489,0.11462004874330828,0.06540760167904339,0.04921244706426489,50
humains vague 2 (150),150,N1 ideologie,7,7,0.0,0.1002909267308765,0.06658209323243042,0.033708833498446084,0.11462004874330828,0.08171664176862181,0.03290340697468647,50
humains vague 2 (150),150,N2 genre x race x ideologie,18,18,0.3889,0.10256611158814868,0.0693151179479702,0.033250993640178486,0.11462004874330828,0.08034327329996176,0.03427677544334652,50
humains vague 2 (150),150,N3 ideologie x genre x age,42,39,0.6429,0.10647992506163233,0.0764990861280824,0.029980838933549928,0.11462004874330828,0.073969938559852,0.04065011018345628,50
humains vague 2 (150),150,N4 ideologie x genre x race x education,80,47,0.8608,0.11143390711972131,0.07911031654965263,0.032323590570068686,0.11462004874330828,0.07452026953237115,0.04009977921093713,50
