cible,item,ordinal,erreur_M0,erreur_M1,erreur_M2,erreur_M3,erreur_M4,erreur_M5
tau,natspac/y,True,2.8212317943573,7.8328505956013,2.7382675721049896,2.822514009475708,2.655893727585884,2.9098573432778414
tau,natenvir/y,True,4.160781717300415,4.077491104871767,3.9984984596879896,3.0404876232147218,2.791033445700614,3.8083522674134236
tau,natheal/y,True,3.5565013885498047,6.751936251264364,3.7809545528056043,2.2447141885757445,2.376990287382409,3.092361709306825
tau,natcity/y,True,3.5503217220306396,13.018442352818202,2.8448767679041596,3.577207612991333,2.9613022231407746,3.6633131207160234
tau,natdrug/y,True,2.7466039657592773,7.849918674254836,2.6531675963252157,2.2762625455856322,2.145588741049667,2.9675398412740455
tau,nateduc/y,True,4.330239391326904,7.11668506717581,4.783598028773456,2.3627923488616944,2.772404598751783,2.838975827199108
tau,natrace/y,True,2.439162349700928,4.693517468972243,2.4887214412185044,2.234580159187317,2.2356274585122624,3.153779674026201
tau,natarms/y,True,3.805704402923584,11.573438886481966,2.798535983102978,3.6742364883422853,2.7880672671529005,3.148272230040352
tau,nataid/y,True,3.8584686279296876,3.862990341637096,4.050479288755115,2.81251859664917,2.6987063529459516,3.0970892780231982
tau,natfare/y,True,2.7569211959838866,6.341262496095153,3.011741398429785,2.4038931369781493,2.456788796877599,2.9440288111848654
tau,natroad,True,3.664132261276245,6.2663580237493095,2.703832317023346,2.600907301902771,2.2343219733029644,2.793254470825196
tau,natsoc,True,3.571644926071167,3.5320302485344994,3.7353807384181494,3.041729974746704,2.9037688379360795,3.194291830962559
tau,natmass,True,3.153067922592163,5.940977780406945,2.710322976297164,2.9264238834381104,2.528133816655955,3.229356089178121
tau,natpark,True,2.91219277381897,3.9301037176888345,2.657452511752192,2.594532918930054,2.3826376793371127,3.001655348291937
tau,natchld,True,3.204173946380615,7.353287339346418,3.229912071939732,2.815484714508057,2.71205629384826,3.4265773557267103
tau,natsci,True,3.6651111602783204,11.624313848478945,2.6531015205554196,3.198772096633911,2.4999306821647576,2.9658071769858307
tau,uswary,False,2.636978769302368,4.620554793391167,3.311920536991965,2.6627469062805176,3.2229336820010084,4.096222830065835
