perimetre,axe,condition,n_items,ratio_moyen,ratio_median,ecart_type,iqr,coefficient_variation,q10,q90,h6_difference_llm_moins_stat,h6_p_permutation,h6cv_difference,h6cv_p,h6cv_difference_sans_b0mode,h6cv_p_sans_b0mode
1052,age,B0 mode,143,0.031942,0.000000,0.133240,0.000000,4.171245,0.000000,0.000000,,,,,,
1052,age,B0 tirage,143,1.020293,1.016822,0.047871,0.033099,0.046919,0.981741,1.072758,,,,,,
1052,age,B1 argmax,143,0.645556,0.698137,0.244621,0.370891,0.378931,0.326047,0.916391,,,,,,
1052,age,B2 argmax,143,0.542616,0.628124,0.307295,0.530905,0.566322,0.059465,0.893386,,,,,,
1052,age,B3 foret,143,0.429607,0.451033,0.318873,0.642527,0.742244,0.001637,0.828818,,,,,,
1052,age,agents composite,143,0.925558,0.948131,0.322661,0.196101,0.348612,0.648198,1.104180,,,,,,
1052,age,agents demographiques (v6),143,0.604016,0.673451,0.337702,0.550648,0.559095,0.076344,1.002082,,,,,,
1052,age,agents enquete,143,0.878755,0.899950,0.334243,0.264541,0.380360,0.495838,1.151988,,,,,,
1052,age,agents entretien (v3),143,0.845522,0.934641,0.311831,0.225301,0.368803,0.367176,1.082572,,,,,,
1052,age,agents v7,143,0.591700,0.600058,0.288208,0.411597,0.487085,0.180004,0.953453,,,,,,
1052,age,agents v8,143,0.799874,0.880937,0.445795,0.492275,0.557331,0.165571,1.162535,,,,,,
1052,age,humains vague 2,143,1.007433,1.001667,0.046413,0.027042,0.046071,0.970857,1.033399,,,,,,
1052,education,B0 mode,143,0.031412,0.000000,0.131135,0.000000,4.174712,0.000000,0.000000,,,,,,
1052,education,B0 tirage,143,1.007767,1.007140,0.038560,0.031783,0.038263,0.970899,1.043326,,,,,,
1052,education,B1 argmax,143,0.662785,0.741716,0.252093,0.400699,0.380354,0.327022,0.930201,,,,,,
1052,education,B2 argmax,143,0.546566,0.632153,0.311084,0.543149,0.569161,0.059646,0.892902,,,,,,
1052,education,B3 foret,143,0.438878,0.486350,0.325245,0.660511,0.741083,0.001593,0.842332,,,,,,
1052,education,agents composite,143,0.927387,0.948404,0.325934,0.180459,0.351454,0.643923,1.128040,,,,,,
1052,education,agents demographiques (v6),143,0.585650,0.624335,0.330033,0.553556,0.563533,0.072885,0.979847,,,,,,
1052,education,agents enquete,143,0.876800,0.900248,0.336008,0.259824,0.383221,0.496714,1.157617,,,,,,
1052,education,agents entretien (v3),143,0.849114,0.942784,0.315171,0.219872,0.371176,0.362204,1.103831,,,,,,
1052,education,agents v7,143,0.591171,0.605392,0.287582,0.422994,0.486461,0.180534,0.944706,,,,,,
1052,education,agents v8,143,0.850491,0.916061,0.433066,0.375400,0.509195,0.257491,1.204588,,,,,,
1052,education,humains vague 2,143,1.006721,1.002345,0.046594,0.026097,0.046283,0.973957,1.035338,,,,,,
1052,gender,B0 mode,143,0.031379,0.000000,0.131012,0.000000,4.175088,0.000000,0.000000,,,,,,
1052,gender,B0 tirage,143,1.003301,1.003162,0.034580,0.024494,0.034466,0.975324,1.034908,,,,,,
1052,gender,B1 argmax,143,0.673545,0.765595,0.255328,0.390657,0.379081,0.328711,0.946006,,,,,,
1052,gender,B2 argmax,143,0.548528,0.630305,0.312516,0.545954,0.569736,0.059955,0.891963,,,,,,
1052,gender,B3 foret,143,0.446214,0.495445,0.331229,0.664656,0.742309,0.001576,0.853359,,,,,,
1052,gender,agents composite,143,0.928472,0.952355,0.321721,0.177438,0.346506,0.654385,1.122202,,,,,,
1052,gender,agents demographiques (v6),143,0.599151,0.654845,0.337590,0.563569,0.563448,0.074683,0.995827,,,,,,
1052,gender,agents enquete,143,0.877884,0.900259,0.335792,0.263671,0.382501,0.497778,1.159241,,,,,,
1052,gender,agents entretien (v3),143,0.848975,0.944875,0.313692,0.212868,0.369495,0.371889,1.096694,,,,,,
1052,gender,agents v7,143,0.586354,0.600766,0.284233,0.419580,0.484746,0.180397,0.932105,,,,,,
1052,gender,agents v8,143,0.846445,0.910410,0.430938,0.382788,0.509115,0.255102,1.190531,,,,,,
1052,gender,humains vague 2,143,1.007154,1.001213,0.046146,0.024397,0.045819,0.970379,1.035767,,,,,,
1052,political_ideology,B0 mode,143,0.033726,0.000000,0.140829,0.000000,4.175647,0.000000,0.000000,,,,,,
1052,political_ideology,B0 tirage,143,1.058288,1.035427,0.087527,0.074082,0.082706,0.997340,1.136247,,,,,,
1052,political_ideology,B1 argmax,143,0.585567,0.593663,0.220820,0.291444,0.377104,0.291749,0.865692,,,,,,
1052,political_ideology,B2 argmax,143,0.492573,0.562067,0.273218,0.448451,0.554674,0.062601,0.825044,,,,,,
1052,political_ideology,B3 foret,143,0.345123,0.327354,0.265381,0.480420,0.768947,0.001636,0.718777,,,,,,
1052,political_ideology,agents composite,143,0.857809,0.882284,0.271628,0.194931,0.316653,0.605644,1.050955,,,,,,
1052,political_ideology,agents demographiques (v6),143,0.623405,0.700159,0.349242,0.588116,0.560217,0.078032,1.026042,,,,,,
1052,political_ideology,agents enquete,143,0.785350,0.804565,0.289407,0.243039,0.368507,0.451418,1.006100,,,,,,
1052,political_ideology,agents entretien (v3),143,0.737898,0.787893,0.258282,0.281029,0.350025,0.350615,0.996966,,,,,,
1052,political_ideology,agents v7,143,0.610096,0.622955,0.293723,0.429914,0.481438,0.183570,0.971612,,,,,,
1052,political_ideology,agents v8,143,0.426714,0.416085,0.225030,0.270444,0.527356,0.196970,0.755013,,,,,,
