generateur,T_calibre,exactitude_60,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,top1_hasard
G-LR,0.1,0.4759070294784581,0.0024829931972789117,0.0011467444120505344,0.004081754130223518,0.02077745383867833,0.01537852283770651,0.026681486880466468,609.9099999999999,0.00048590864917395527
G-copule,0.2,0.4757491091674766,0.002210884353741496,0.0010543002915451895,0.0036005830903790086,0.020437317784256562,0.015397959183673468,0.02570529640427599,611.55,0.00048590864917395527
