denominateur,n_items,n_personnes,consistance,ic_bas,ic_haut
deux semaines,118,1052,0.7778968228394665,0.7722638879938133,0.7831414738673713
2 ans,118,9556,0.6952673065579211,0.6936299150347022,0.6969275339669906
4 ans,118,4683,0.6744708489638023,0.67210562944061,0.6769266197291355
