methode,n_items,exactitude,exactitude_normalisee,part_diversite_humaine,accord_par_paires,ratio_intra_ideologie,ratio_inter_ideologie
humains vague 2,58,0.785597,1.000000,1.004646,0.512433,1.004421,1.023333
E1 regression contexte argmax,58,0.730382,0.929716,0.851418,0.586581,0.812284,1.437355
IM m=10 mode des m,58,0.713321,0.907998,0.884835,0.569163,0.857384,1.340621
B2 argmax,58,0.695572,0.885405,0.629084,0.697367,0.547864,1.728308
PMM k=10,58,0.694179,0.883632,0.980033,0.523424,0.958347,1.339185
agents composite,58,0.677527,0.862436,0.947717,0.537856,0.858418,2.321716
agents enquete,58,0.671103,0.854258,0.900380,0.562295,0.795090,2.460628
E1 famille retiree (argmax),58,0.664891,0.846351,0.804579,0.611901,0.750856,1.518253
"IM m=10 mode, famille retiree",58,0.650108,0.827534,0.853346,0.587324,0.816470,1.353150
E2 regression contexte tirage,58,0.648699,0.825740,0.993612,0.517815,1.000424,0.909515
B1 argmax,58,0.637062,0.810928,0.726316,0.655614,0.571883,2.712593
agents entretien (v3),58,0.633572,0.806484,0.886391,0.575343,0.710349,3.267452
PMM k=10 famille retiree,58,0.627950,0.799328,0.979538,0.523203,0.957651,1.356268
B0 mode,58,0.616379,0.784600,0.047671,0.975171,0.054710,0.000608
B2 tirage,58,0.607398,0.773167,0.944105,0.545513,0.952743,0.715732
E2 famille retiree (tirage),58,0.593680,0.755706,0.993276,0.518202,1.005668,0.821300
agents v7,58,0.582159,0.741040,0.601135,0.727315,0.590916,0.145816
agents demographiques (v6),58,0.579242,0.737326,0.607217,0.710282,0.623267,0.222368
agents v8,58,0.570424,0.726103,0.966029,0.530513,0.413695,8.987791
