cible,contraste,n_hors_quadrant,n_congruent,moyenne_hors_quadrant,moyenne_congruent,ecart,ic_bas,ic_haut,p_bootstrap,ecart_sous_permutation_intra_segment,perm_ic_bas,perm_ic_haut,p_permutation,p_holm
changement brut,hors quadrant moins congruent,2121,2562,0.32964109909066636,0.32212499731897387,0.007516101771692485,0.0029134724023366864,0.012405720594500165,0.0,0.005471839544039974,0.0009060533251888089,0.009910525141768883,0.17412935323383086,0.24875621890547264
changement monotone,hors quadrant moins congruent,2121,2562,0.13705288157548537,0.1338728665167747,0.0031800150587106557,0.000453525771873712,0.005985221721838725,0.02,0.0015704380567464098,-0.0013545912429322265,0.004304247271810297,0.12437810945273632,0.24875621890547264
