item,n_etiquete,part_appariee,n_pondere_min_par_camp,retenu
getahead,3297,1.0,963.5950259394232,True
aged,3353,0.149418431255592,151.12365985432845,False
parsol,3340,1.0,982.4302901336883,True
kidssol,3323,0.8955762864881132,857.7880806641921,False
spanking,3268,1.0,921.7505954390916,True
divlaw,3126,1.0,881.7508129595935,True
sexeduc,3280,1.0,931.0967313175627,True
pillok,3240,1.0,917.8396870316535,True
xmarsex,3279,0.9124733150350717,800.5709620265794,False
homosex,3174,0.9407687460617518,881.048252810363,False
discaff,3198,1.0,940.7426712710509,True
abdefect,3177,1.0,946.795746602705,True
abnomore,3210,1.0,946.2796180816733,True
abhlth,3210,1.0,956.9170659617457,True
abpoor,3220,1.0,945.9448916800897,True
abrape,3193,1.0,953.5815850733663,True
absingle,3221,1.0,952.6259003299341,True
abany,3206,1.0,946.6598753060471,True
letdie1,3220,1.0,916.1620204613457,True
suicide1,3205,1.0,913.4549040272071,True
suicide2,3274,1.0,924.3458838514948,True
suicide3,3275,1.0,923.671580662991,True
suicide4,3239,1.0,910.6133914820072,True
pornlaw,3364,1.0,990.308993412498,True
fair,3356,1.0,986.2935199027545,True
helpful,3366,1.0,989.3659963028448,True
trust,3368,0.6748812351543944,581.5627186273761,False
tax,3237,1.0,947.0281175266266,True
vote16,2218,1.0,656.8771468957378,True
pres16,1414,1.0,424.1623687840537,True
if16who,697,1.0,200.6455004554856,True
news,3309,1.0,935.382207516514,True
jew,89,0.6853932584269663,13.792593923127292,False
relig16*,4980,0.9700803212851405,1379.6891152262822,False
jew16*,96,0.78125,12.357103655891633,False
attend,4983,0.6508127633955448,980.4709851546128,False
pray,4973,1.0,1437.6604662195023,True
postlife,4532,1.0,1291.6917102765276,True
bible,4956,0.9860774818401937,1420.156250129912,False
reborn,4915,1.0,1422.9289911330118,True
savesoul,4990,1.0,1443.3035516190002,True
granborn,4734,1.0,1394.3294472832915,True
uscitzn*,601,0.9700499168053245,170.95831490353928,False
fucitzn,254,0.8818897637795275,75.16103272836645,False
mnthsusa,4,0.25,0.0,False
income,4275,0.0,0.0,False
othlang,4999,1.0,1447.5610350142772,True
health,3313,1.0,967.5238802774502,True
compuse*,3309,1.0,935.382207516514,True
webmob,633,1.0,152.50070708813166,True
xmovie,3365,1.0,988.8944977480181,True
usewww*,386,1.0,102.65701405119329,True
life,3292,1.0,957.8209561205152,True
richwork,2125,1.0,647.2321410585913,True
