item,n_etiquete,part_appariee,n_pondere_min_par_camp,retenu
natspac/y,4521,1.0,1323.0127076359204,True
natenvir/y,2459,1.0,723.787817199202,True
natheal/y,4896,1.0,1430.4736406402228,True
natcity/y,4502,1.0,1317.3437772483298,True
natdrug/y,4818,1.0,1388.7869774573471,True
nateduc/y,4960,1.0,1439.6823317354672,True
natrace/y,4514,1.0,1330.8450277770814,True
natarms/y,4845,1.0,1415.2311970285384,True
nataid/y,4750,1.0,1368.3083278970944,True
natfare/y,4859,1.0,1413.450032630049,True
natroad,4924,1.0,1424.9648530508139,True
natsoc,4794,1.0,1387.0003349355259,True
natmass,4708,1.0,1397.8637530921915,True
natpark,4912,1.0,1432.0167446819314,True
natchld,4723,1.0,1369.119667957352,True
natsci,4719,1.0,1385.2436449480097,True
natenrgy,4804,1.0,1413.0636780613418,True
uswary,1530,1.0,429.8205726817809,True
prayer,3159,1.0,897.5242591261539,True
courts,4441,1.0,1243.5906659332773,True
discaffw,1623,0.8207024029574861,412.80826147505303,False
discaffm,1628,0.6609336609336609,289.2802967817307,False
fehire,1651,1.0,460.4906760820901,True
fechld,3294,1.0,932.539219785717,True
fepresch,3277,1.0,929.6892338540015,True
fefam,3286,1.0,932.539219785717,True
fepol,3186,1.0,914.9997479730237,True
mobile16,5002,0.631547381047581,934.4118979809264,False
incom16,4917,1.0,1429.2743725246876,True
dwelown16,1488,0.016801075268817203,6.129481212746058,False
posslq/y,4978,0.9535958216151065,1363.729115344514,False
wrkstat,5001,0.9630073985202959,1389.944369375928,False
evwork,1745,1.0,456.7332379206955,True
partfull,3399,1.0,1053.5743334896592,True
wksub1,3483,1.0,1079.2666272166618,True
wksup1,3481,1.0,1073.888286209562,True
conarmy,3346,1.0,987.4939984853755,True
conbus,3324,1.0,979.5842537307249,True
conclerg,3307,1.0,979.5063726640356,True
coneduc,3361,1.0,990.7944883691619,True
confed,3323,1.0,981.5755839832938,True
confinan,3361,1.0,990.3299880152538,True
conjudge,3313,1.0,977.7505603085265,True
conlabor,3247,1.0,952.3854204531776,True
conlegis,3328,1.0,984.1725139988334,True
conmedic,3362,1.0,987.316137983206,True
conpress,3356,1.0,990.7874901682433,True
consci,3274,1.0,973.2729624870575,True
contv,3349,1.0,981.6231643206934,True
joblose,2006,1.0,588.2634335655496,True
jobfind,2006,1.0,587.7989332116415,True
happy,4998,1.0,1446.1255447470414,True
hapmar,2127,1.0,647.8065700724131,True
satjob,3382,1.0,1028.5800865728254,True
spdeg*,2129,1.0,648.7565653829851,True
spjew,45,0.6666666666666666,6.614976169409877,False
spfund,1980,1.0,595.8494605785557,True
unemp,3375,1.0,991.2729851249071,True
union1,3368,0.0,0.0,False
spkath/y,3295,0.19332321699544766,134.92860339595637,False
colath,3233,0.32663161150634085,222.12159053118214,False
spkrac/y,3269,0.39920464973998165,360.9638497963203,False
colrac,3228,0.55545229244114,519.2994071944896,False
librac/y,3256,1.0,948.5277571772256,True
spkcom/y,3211,1.0,945.4078668572748,True
colcom/y,3134,1.0,934.0093983160097,True
libcom/y,3215,1.0,944.5794817230125,True
spkhomo/y,3280,1.0,958.6881834871499,True
colhomo,3264,0.11642156862745098,73.7565390449822,False
libhomo/y,3266,1.0,956.4945548133494,True
cappun,4713,1.0,1375.4189441972258,True
polhitok/y,3237,1.0,953.0094274671933,True
polabuse/y,3310,1.0,963.2416739913845,True
polattak/y,3329,1.0,979.0698651138018,True
grass,3167,1.0,938.2615118201169,True
gunlaw,3266,1.0,949.9492510426242,True
owngun,3311,0.9749320446994866,954.9131463763698,False
hunt1,3313,0.0,0.0,False
class,4975,1.0,1441.2326986966052,True
satfin,4989,0.0,0.0,False
finalter,4988,1.0,1444.7180472834802,True
finrela,4965,1.0,1439.3117134727058,True
racdif1,3192,1.0,911.0860556119295,True
racdif2,3262,1.0,927.2897518743567,True
racdif3,3241,1.0,924.0032583924076,True
racdif4,3198,1.0,914.4453150567206,True
wlthwhts,2911,0.9453795946410168,764.034660740397,False
wlthblks,2898,0.9616977225672878,785.577183147567,False
wlthhsps,743,0.9650067294751009,193.8050834465063,False
racwork,1922,1.0,582.0418641362074,True
letin1a,3239,1.0,913.8631540552545,True
