analyse,metrique,identite,strate_type,strate,contraste,n,moyenne,mediane,q25,q75,moyenne_absolue,mediane_absolue,part_positive,part_negative,part_nulle
items_orientes_complets,gap_signe_decrit,adversaire,ensemble,tous,SFT - Base,76,0.08921052631578946,0.10249999999999995,-0.105,0.245,0.22905701754385968,0.145,0.6052631578947368,0.32894736842105265,0.06578947368421052
items_orientes_complets,gap_signe_decrit,adversaire,ensemble,tous,DPO - SFT,76,-0.03287280701754387,0.0,-0.09249999999999997,0.039999999999999945,0.08800438596491225,0.04999999999999997,0.4868421052631579,0.42105263157894735,0.09210526315789473
items_orientes_complets,gap_signe_decrit,adversaire,ensemble,tous,Final - DPO,76,0.023914473684210527,0.0,-0.00625000000000003,0.05,0.07051535087719296,0.02500000000000005,0.39473684210526316,0.2894736842105263,0.3157894736842105
items_orientes_complets,gap_signe_decrit,adversaire,famille,avortement (ab*),SFT - Base,7,0.34000000000000014,0.3400000000000001,0.33000000000000007,0.3400000000000001,0.34000000000000014,0.3400000000000001,1.0,0.0,0.0
items_orientes_complets,gap_signe_decrit,adversaire,famille,avortement (ab*),DPO - SFT,7,-0.13714285714285715,-0.14,-0.16499999999999998,-0.10999999999999999,0.13714285714285715,0.14,0.0,1.0,0.0
items_orientes_complets,gap_signe_decrit,adversaire,famille,avortement (ab*),Final - DPO,7,-0.04142857142857143,0.050000000000000044,-0.010000000000000009,0.09499999999999997,0.15285714285714286,0.08999999999999997,0.5714285714285714,0.2857142857142857,0.14285714285714285
items_orientes_complets,gap_signe_decrit,adversaire,famille,confiance dans les institutions (con*),SFT - Base,11,0.004090909090909061,0.045,-0.105,0.1049999999999999,0.10772727272727271,0.1049999999999999,0.5454545454545454,0.45454545454545453,0.0
items_orientes_complets,gap_signe_decrit,adversaire,famille,confiance dans les institutions (con*),DPO - SFT,11,0.025454545454545494,0.04000000000000009,-0.019999999999999907,0.057499999999999954,0.05909090909090908,0.049999999999999906,0.7272727272727273,0.2727272727272727,0.0
items_orientes_complets,gap_signe_decrit,adversaire,famille,confiance dans les institutions (con*),Final - DPO,11,-0.01818181818181819,0.0,-0.06499999999999995,0.02749999999999995,0.04818181818181813,0.0549999999999999,0.2727272727272727,0.45454545454545453,0.2727272727272727
items_orientes_complets,gap_signe_decrit,adversaire,famille,depenses publiques (nat*),SFT - Base,17,0.12676470588235292,0.145,0.145,0.145,0.15558823529411764,0.145,0.9411764705882353,0.058823529411764705,0.0
