perimetre,condition,item,correlation,glass_delta,rapport_ecarts_types,sd_pred,sd_humain,n
150,agents composite,natspac/y,0.278343,0.432288,0.999303,0.346749,0.346991,150
150,agents composite,natenvir/y,0.428867,0.413286,1.237416,0.409192,0.330683,150
150,agents composite,natheal/y,0.288482,0.139371,0.958396,0.275064,0.287004,150
150,agents composite,natcity/y,0.342396,0.149134,1.259613,0.422309,0.335268,150
150,agents composite,natdrug/y,0.376404,0.191132,0.987338,0.327163,0.331359,150
150,agents composite,nateduc/y,0.300888,0.022236,1.014087,0.304037,0.299814,150
150,agents composite,natrace/y,0.679088,0.018555,1.238535,0.447979,0.361700,149
150,agents composite,natarms/y,0.391410,0.095492,0.889289,0.341467,0.383977,150
150,agents composite,nataid/y,0.265551,0.078177,1.168877,0.348872,0.298467,150
150,agents composite,natfare/y,0.486514,0.461561,1.365711,0.414246,0.303319,150
150,agents composite,natroad,0.163030,0.294906,0.968417,0.284597,0.293879,150
150,agents composite,natsoc,0.246193,0.243070,1.132487,0.310607,0.274269,150
150,agents composite,natmass,0.373576,0.010916,1.213181,0.370455,0.305359,150
150,agents composite,natpark,0.198762,0.000000,1.116124,0.319483,0.286243,150
150,agents composite,natchld,0.502278,0.083019,1.147417,0.368563,0.321211,150
150,agents composite,natsci,0.313952,0.225378,1.210699,0.376030,0.310589,150
150,agents composite,natenrgy,0.538764,0.257545,1.007805,0.365225,0.362396,150
150,agents composite,courts,0.444668,0.017168,0.960035,0.372803,0.388322,150
150,agents composite,discaffw,0.304374,0.172497,0.677453,0.209458,0.309185,150
150,agents composite,discaffm,0.369257,0.212357,0.758719,0.230250,0.303472,150
150,agents composite,fehire,0.536345,0.022159,1.018550,0.306442,0.300861,150
150,agents composite,fechld,0.378751,0.103318,0.943794,0.243596,0.258103,150
150,agents composite,fepresch,0.468905,0.183981,0.957786,0.266079,0.277806,150
150,agents composite,fefam,0.490051,0.087169,0.905670,0.277062,0.305920,150
150,agents composite,mobile16,0.751606,0.198719,1.041780,0.419398,0.402578,150
150,agents composite,incom16,0.424611,0.007957,0.896164,0.187710,0.209459,150
150,agents composite,conarmy,0.405046,0.326234,0.925820,0.283790,0.306529,150
150,agents composite,conbus,0.407993,0.251523,0.720889,0.229287,0.318062,150
150,agents composite,conclerg,0.581469,0.249350,1.132189,0.393516,0.347571,150
150,agents composite,coneduc,0.290331,0.298091,0.486473,0.163197,0.335469,150
150,agents composite,confed,0.335603,0.498211,0.752873,0.256896,0.341221,150
150,agents composite,confinan,0.340201,0.265777,0.773906,0.242655,0.313546,150
150,agents composite,conjudge,0.372057,0.189296,0.639785,0.236586,0.369790,150
150,agents composite,conlabor,0.404176,0.482099,0.702862,0.228408,0.324968,150
150,agents composite,conlegis,0.276956,0.508606,0.677003,0.221849,0.327693,150
150,agents composite,conmedic,0.439283,0.341621,0.838959,0.270140,0.321994,150
150,agents composite,conpress,0.353597,0.285057,0.766036,0.250815,0.327420,150
150,agents composite,consci,0.510892,0.030871,0.838779,0.271708,0.323933,150
150,agents composite,contv,0.294483,0.412291,0.827723,0.247606,0.299141,150
150,agents composite,happy,0.584965,0.143157,0.712593,0.232292,0.325982,150
150,agents composite,class,0.637376,0.164548,0.941549,0.241598,0.256596,150
150,agents composite,satfin,0.749667,0.150769,1.020962,0.383729,0.375851,150
150,agents composite,finalter,0.594158,0.290307,0.791190,0.308873,0.390391,150
150,agents composite,finrela,0.702628,0.114502,1.002941,0.248176,0.247448,150
150,agents composite,wlthwhts,0.103976,0.221341,0.515487,0.072456,0.140557,150
150,agents composite,wlthblks,0.111439,1.077085,0.998420,0.122134,0.122327,148
150,agents composite,wlthhsps,0.059290,0.579457,0.879620,0.118067,0.134225,150
150,agents composite,letin1a,0.571574,0.016226,0.677130,0.208656,0.308148,150
150,agents composite,getahead,0.310779,0.011036,0.815871,0.246429,0.302044,150
150,agents composite,aged,0.005484,0.438385,1.082324,0.304497,0.281336,150
150,agents composite,parsol,0.441336,0.070763,0.904311,0.276887,0.306186,150
150,agents composite,spanking,0.452404,0.146965,0.729749,0.253791,0.347778,150
150,agents composite,divlaw,0.275937,0.099542,0.894706,0.299608,0.334868,150
150,agents composite,pillok,0.550562,0.210712,1.168362,0.381976,0.326933,150
150,agents composite,xmarsex,0.110520,0.568903,0.636263,0.186401,0.292962,150
150,agents composite,homosex,0.735822,0.086958,1.030635,0.421407,0.408881,150
150,agents composite,marhomo,0.774896,0.203748,1.105244,0.397802,0.359922,150
150,agents composite,discaff,0.539733,0.109611,0.944533,0.315962,0.334517,150
150,agents composite,pornlaw,0.356089,0.140576,0.468694,0.134259,0.286454,149
150,agents composite,fair,0.409636,0.060368,0.866371,0.334868,0.386518,150
150,agents composite,helpful,0.413397,0.067704,0.889002,0.350152,0.393871,150
150,agents composite,trust,0.543974,0.044759,0.935177,0.348230,0.372368,150
150,agents composite,tax,0.087423,0.275963,0.944933,0.262517,0.277815,150
150,agents composite,news,0.344888,0.297807,0.688823,0.265993,0.386156,150
150,agents composite,attend,0.755342,0.055660,1.061302,0.365463,0.344354,150
150,agents composite,pray,0.779626,0.299464,0.878463,0.355925,0.405168,150
150,agents composite,bible,0.753104,0.388544,0.746479,0.283670,0.380011,149
150,agents composite,granborn,0.348030,0.355801,0.815031,0.335968,0.412216,150
150,agents composite,income,0.175879,0.210914,0.904299,0.239063,0.264362,150
150,agents composite,health,0.731255,0.229330,0.974510,0.254963,0.261632,150
150,agents composite,life,0.440235,0.392297,0.796921,0.223457,0.280400,150
150,agents entretien (v3),natspac/y,0.183265,1.229619,0.504900,0.175196,0.346991,150
150,agents entretien (v3),natenvir/y,0.481642,0.564488,1.331201,0.440205,0.330683,150
150,agents entretien (v3),natheal/y,0.280104,0.058071,1.107294,0.317798,0.287004,150
150,agents entretien (v3),natcity/y,0.357462,0.338038,1.220166,0.409083,0.335268,150
150,agents entretien (v3),natdrug/y,0.343874,0.090536,1.189168,0.394041,0.331359,150
150,agents entretien (v3),nateduc/y,0.295720,0.044472,1.080623,0.323985,0.299814,150
150,agents entretien (v3),natrace/y,0.649299,0.018491,1.196077,0.431233,0.360540,150
150,agents entretien (v3),natarms/y,0.420425,0.156259,0.959106,0.368275,0.383977,150
150,agents entretien (v3),nataid/y,0.312925,0.201027,1.011982,0.302044,0.298467,150
150,agents entretien (v3),natfare/y,0.486758,0.329686,1.342547,0.407220,0.303319,150
150,agents entretien (v3),natroad,0.031540,0.601155,0.780211,0.229287,0.293879,150
150,agents entretien (v3),natsoc,0.165760,0.315991,0.982297,0.269414,0.274269,150
150,agents entretien (v3),natmass,0.508556,0.272903,1.353046,0.413164,0.305359,150
150,agents entretien (v3),natpark,0.220769,0.349353,1.097624,0.314187,0.286243,150
150,agents entretien (v3),natchld,0.322385,0.332076,1.224745,0.393402,0.321211,150
150,agents entretien (v3),natsci,0.243282,0.021465,1.297386,0.402953,0.310589,150
150,agents entretien (v3),natenrgy,0.525193,0.165565,1.214181,0.440015,0.362396,150
150,agents entretien (v3),courts,0.518810,0.248934,0.987121,0.383321,0.388322,150
150,agents entretien (v3),discaffw,0.341606,0.079061,0.745957,0.230639,0.309185,150
150,agents entretien (v3),discaffm,0.221460,0.007323,0.892131,0.270737,0.303472,150
150,agents entretien (v3),fehire,0.438731,0.094174,1.142291,0.343671,0.300861,150
150,agents entretien (v3),fechld,0.346051,0.223856,0.933777,0.241010,0.258103,150
150,agents entretien (v3),fepresch,0.383629,0.359963,1.014866,0.281936,0.277806,150
150,agents entretien (v3),fefam,0.367368,0.188866,1.086657,0.332430,0.305920,150
150,agents entretien (v3),mobile16,0.824472,0.198719,0.937151,0.377277,0.402578,150
150,agents entretien (v3),incom16,0.470465,0.047742,0.972075,0.203610,0.209459,150
150,agents entretien (v3),conarmy,0.325368,0.250113,0.998868,0.306182,0.306529,150
150,agents entretien (v3),conbus,0.461029,0.345845,0.783298,0.249137,0.318062,150
150,agents entretien (v3),conclerg,0.575997,0.345254,1.191171,0.414016,0.347571,150
150,agents entretien (v3),coneduc,0.229100,0.317963,0.566167,0.189931,0.335469,150
150,agents entretien (v3),confed,0.297618,0.840120,0.666579,0.227451,0.341221,150
150,agents entretien (v3),confinan,0.201371,0.446506,0.785941,0.246429,0.313546,150
150,agents entretien (v3),conjudge,0.344515,0.351550,0.876132,0.323985,0.369790,150
150,agents entretien (v3),conlabor,0.323293,0.379525,0.819733,0.266387,0.324968,150
150,agents entretien (v3),conlegis,0.350780,0.671361,0.561249,0.183917,0.327693,150
150,agents entretien (v3),conmedic,0.423717,0.082817,0.914337,0.294411,0.321994,150
150,agents entretien (v3),conpress,0.364435,0.285057,0.786202,0.257418,0.327420,150
150,agents entretien (v3),consci,0.535458,0.051762,0.904361,0.293144,0.324145,149
150,agents entretien (v3),contv,0.300735,0.436481,0.820605,0.246046,0.299835,149
150,agents entretien (v3),happy,0.594391,0.102255,0.788069,0.256896,0.325982,150
150,agents entretien (v3),class,0.606679,0.199189,0.860252,0.220737,0.256596,150
150,agents entretien (v3),satfin,0.686012,0.125220,0.966831,0.362733,0.375178,149
150,agents entretien (v3),finalter,0.572675,0.180843,0.899953,0.350688,0.389674,149
150,agents entretien (v3),finrela,0.704629,0.080825,1.051297,0.260141,0.247448,150
150,agents entretien (v3),wlthwhts,0.165813,0.711453,0.670013,0.094175,0.140557,150
150,agents entretien (v3),wlthblks,-0.159825,1.651780,0.626563,0.076645,0.122325,146
150,agents entretien (v3),wlthhsps,-0.000139,0.707675,1.000698,0.134447,0.134353,149
150,agents entretien (v3),letin1a,0.513541,0.081130,0.968356,0.298397,0.308148,150
150,agents entretien (v3),getahead,0.314084,0.454698,0.837754,0.253490,0.302583,149
150,agents entretien (v3),aged,0.153278,0.179504,0.901108,0.252684,0.280415,149
