condition,etiquette,n,segmentation,exactitude_vraie,chute,chute_relative,part_du_plancher_humain,rapport_de_reassignation,lecture,p_holm_contre_B0_tirage,i3b_A_deficit_patrons,i3b_B_exces_correlation,i3b_tau_etoile_holm39_2058,masque_douteux
humains vagues 1-3 (retest),humains v1-3 (plancher),2058,S_ideo,0.7118506756444075,0.325311541198112,0.45699407520210833,1.0002448086969837,1.0008259648973714,temoin ou reference,,,,,False
humains vagues 1-3 (retest),humains v1-3 (plancher),2058,S_fin,0.7118506756444075,0.3216020885394975,0.45178307690494934,1.0003377057626706,1.0001726743047614,temoin ou reference,,,,,False
humains vagues 1-3 (retest),humains v1-3 (plancher),2058,S_gra,0.7118506756444075,0.3248471658221112,0.4563417257812408,1.0001737530262738,1.0004952005920593,temoin ou reference,,,,,False
humains vagues 1-3 (retest),humains v1-3 (plancher),2058,S_parti,0.7118506756444075,0.32875648745892927,0.4618334978207618,0.9999299837072025,1.0017815419114153,temoin ou reference,,,,,False
Demographics Only - GPT4.1-mini,Demographics Only,2058,S_ideo,0.49958755611087974,0.1258880674718868,0.2519839934602912,0.5515294289579624,1.2642800315147293,porteur de personne,,-0.1265058603272069,0.0288023290589661,0.02065,False
Demographics Only - GPT4.1-mini,Demographics Only,2058,S_fin,0.49958755611087974,0.12340135909806099,0.24700647081504365,0.5469215182126886,1.1514838312497164,porteur de personne,,-0.1265058603272069,0.0288023290589661,0.02065,False
Demographics Only - GPT4.1-mini,Demographics Only,2058,S_gra,0.49958755611087974,0.12674670854736453,0.25370269334577666,0.5560455260191556,1.1482748560964653,porteur de personne,0.08,-0.1265058603272069,0.0288023290589661,0.02065,False
Demographics Only - GPT4.1-mini,Demographics Only,2058,S_parti,0.49958755611087974,0.12724079665879962,0.25469168537608544,0.5514408417972928,1.2884271228194875,porteur de personne,,-0.1265058603272069,0.0288023290589661,0.02065,False
JSON Persona (Predicted Output) - GPT4.1,JSON PredOut 4.1,2050,S_ideo,0.5646367595818815,0.17326870063879202,0.30686755280881645,0.6714927643317221,1.0783694797881829,porteur de personne,,-0.2468133652468317,0.0320580784285203,0.06595,True
JSON Persona (Predicted Output) - GPT4.1,JSON PredOut 4.1,2050,S_fin,0.5646367595818815,0.17410545441347275,0.30834948568066906,0.6819005005485945,1.0313215461910212,porteur de personne,,-0.2468133652468317,0.0320580784285203,0.06595,True
JSON Persona (Predicted Output) - GPT4.1,JSON PredOut 4.1,2050,S_gra,0.5646367595818815,0.1821640911730545,0.32262173526914645,0.706699255543355,1.0290472740810155,porteur de personne,0.08,-0.2468133652468317,0.0320580784285203,0.06595,True
JSON Persona (Predicted Output) - GPT4.1,JSON PredOut 4.1,2050,S_parti,0.5646367595818815,0.17824864982578398,0.31568729240685406,0.6835709903324139,1.084192834087827,porteur de personne,,-0.2468133652468317,0.0320580784285203,0.06595,True
JSON Persona (Predicted Output) - GPT4.1-mini,JSON PredOut mini,2058,S_ideo,0.4624762830302189,0.12802446463279193,0.2768238487689684,0.6058976093557067,1.201262025361396,porteur de personne,,-0.205798883143446,0.0176177736529037,0.04215,True
