condition,axe_transport,lambda,jeu_items,mesure,inter_brut,inter_nulA,inter_nulB,ratio_intra_brut,ratio_intra_corrige,ratio_total
agents composite,political_ideology,0.0,70 items ordinaux,gini_simpson,-0.1195,-0.1185,0.0000,0.9572,0.9519,0.9103
agents composite,political_ideology,0.0,70 items ordinaux,variance_ordinale,-0.0577,-0.0584,0.0000,0.9896,0.9840,0.8968
agents composite,profil croise,1.0,149 items,entropie,1.8945,1.9528,1.9528,0.8342,0.8352,0.8933
agents composite,profil croise,1.0,149 items,gini_simpson,1.9920,1.9933,1.9933,0.8466,0.8466,0.9087
agents composite,profil croise,1.0,70 items ordinaux,entropie,2.2011,2.2852,2.2852,0.8227,0.8238,0.8919
agents composite,profil croise,1.0,70 items ordinaux,gini_simpson,2.4250,2.4287,2.4287,0.8406,0.8404,0.9106
agents composite,profil croise,1.0,70 items ordinaux,variance_ordinale,2.2064,2.2073,2.2073,0.7595,0.7596,0.8969
agents composite,profil croise,0.9,149 items,entropie,1.5107,1.5420,1.5603,0.8568,0.8566,0.8932
agents composite,profil croise,0.9,149 items,gini_simpson,1.6158,1.6178,1.6358,0.8683,0.8672,0.9088
agents composite,profil croise,0.9,70 items ordinaux,entropie,1.7510,1.8010,1.8219,0.8462,0.8461,0.8915
agents composite,profil croise,0.9,70 items ordinaux,gini_simpson,1.9634,1.9677,1.9897,0.8618,0.8606,0.9105
agents composite,profil croise,0.9,70 items ordinaux,variance_ordinale,1.8048,1.8061,1.8151,0.8009,0.7999,0.8962
agents composite,profil croise,0.8,149 items,entropie,1.1411,1.1463,1.2188,0.8790,0.8758,0.8936
agents composite,profil croise,0.8,149 items,gini_simpson,1.2491,1.2512,1.3139,0.8901,0.8864,0.9096
agents composite,profil croise,0.8,70 items ordinaux,entropie,1.3136,1.3310,1.4132,0.8697,0.8665,0.8920
agents composite,profil croise,0.8,70 items ordinaux,gini_simpson,1.5070,1.5113,1.5882,0.8835,0.8798,0.9111
agents composite,profil croise,0.8,70 items ordinaux,variance_ordinale,1.4160,1.4166,1.4513,0.8441,0.8405,0.8985
agents composite,profil croise,0.7,149 items,entropie,0.8444,0.8286,0.9486,0.8969,0.8910,0.8940
agents composite,profil croise,0.7,149 items,gini_simpson,0.9378,0.9398,1.0351,0.9087,0.9031,0.9103
agents composite,profil croise,0.7,70 items ordinaux,entropie,0.9684,0.9586,1.0956,0.8881,0.8822,0.8921
agents composite,profil croise,0.7,70 items ordinaux,gini_simpson,1.1226,1.1263,1.2434,0.9017,0.8962,0.9115
agents composite,profil croise,0.7,70 items ordinaux,variance_ordinale,1.0874,1.0879,1.1407,0.8799,0.8743,0.8996
agents composite,profil croise,0.6,149 items,entropie,0.5971,0.5639,0.7225,0.9120,0.9038,0.8944
agents composite,profil croise,0.6,149 items,gini_simpson,0.6700,0.6722,0.7936,0.9245,0.9174,0.9107
agents composite,profil croise,0.6,70 items ordinaux,entropie,0.6782,0.6465,0.8282,0.9044,0.8963,0.8931
agents composite,profil croise,0.6,70 items ordinaux,gini_simpson,0.7932,0.7970,0.9463,0.9179,0.9108,0.9124
agents composite,profil croise,0.6,70 items ordinaux,variance_ordinale,0.8032,0.8041,0.8712,0.9108,0.9036,0.9005
agents composite,profil croise,0.5,149 items,entropie,0.3912,0.3445,0.5328,0.9248,0.9150,0.8951
agents composite,profil croise,0.5,149 items,gini_simpson,0.4417,0.4442,0.5867,0.9387,0.9303,0.9117
agents composite,profil croise,0.5,70 items ordinaux,entropie,0.4395,0.3915,0.6066,0.9171,0.9072,0.8932
agents composite,profil croise,0.5,70 items ordinaux,gini_simpson,0.5117,0.5158,0.6910,0.9312,0.9229,0.9126
agents composite,profil croise,0.5,70 items ordinaux,variance_ordinale,0.5613,0.5625,0.6411,0.9376,0.9292,0.9019
agents composite,profil croise,0.4,149 items,entropie,0.2215,0.1643,0.3778,0.9348,0.9234,0.8951
agents composite,profil croise,0.4,149 items,gini_simpson,0.2547,0.2567,0.4177,0.9498,0.9404,0.9121
agents composite,profil croise,0.4,70 items ordinaux,entropie,0.2438,0.1790,0.4253,0.9276,0.9161,0.8933
agents composite,profil croise,0.4,70 items ordinaux,gini_simpson,0.2822,0.2845,0.4832,0.9419,0.9327,0.9128
agents composite,profil croise,0.4,70 items ordinaux,variance_ordinale,0.3647,0.3641,0.4543,0.9589,0.9494,0.9025
agents composite,profil croise,0.3,149 items,entropie,0.0913,0.0270,0.2587,0.9428,0.9303,0.8954
agents composite,profil croise,0.3,149 items,gini_simpson,0.1084,0.1113,0.2852,0.9588,0.9487,0.9127
agents composite,profil croise,0.3,70 items ordinaux,entropie,0.0919,0.0190,0.2854,0.9361,0.9235,0.8938
agents composite,profil croise,0.3,70 items ordinaux,gini_simpson,0.1023,0.1062,0.3205,0.9509,0.9408,0.9134
agents composite,profil croise,0.3,70 items ordinaux,variance_ordinale,0.2099,0.2127,0.3072,0.9775,0.9672,0.9046
agents composite,profil croise,0.2,149 items,entropie,-0.0000,-0.0709,0.1759,0.9488,0.9354,0.8959
agents composite,profil croise,0.2,149 items,gini_simpson,0.0042,0.0066,0.1910,0.9656,0.9549,0.9135
agents composite,profil croise,0.2,70 items ordinaux,entropie,-0.0163,-0.0973,0.1854,0.9421,0.9287,0.8940
agents composite,profil croise,0.2,70 items ordinaux,gini_simpson,-0.0273,-0.0233,0.2030,0.9574,0.9467,0.9139
agents composite,profil croise,0.2,70 items ordinaux,variance_ordinale,0.0986,0.0991,0.2014,0.9899,0.9790,0.9052
agents composite,profil croise,0.1,149 items,entropie,-0.0577,-0.1318,0.1243,0.9528,0.9388,0.8965
agents composite,profil croise,0.1,149 items,gini_simpson,-0.0591,-0.0562,0.1337,0.9699,0.9589,0.9142
agents composite,profil croise,0.1,70 items ordinaux,entropie,-0.0828,-0.1674,0.1242,0.9459,0.9319,0.8943
agents composite,profil croise,0.1,70 items ordinaux,gini_simpson,-0.1048,-0.1002,0.1327,0.9613,0.9503,0.9142
agents composite,profil croise,0.1,70 items ordinaux,variance_ordinale,0.0325,0.0342,0.1386,0.9977,0.9865,0.9060
agents composite,profil croise,0.0,149 items,entropie,-0.0780,-0.1535,0.1058,0.9543,0.9402,0.8968
agents composite,profil croise,0.0,149 items,gini_simpson,-0.0813,-0.0782,0.1138,0.9716,0.9604,0.9146
agents composite,profil croise,0.0,70 items ordinaux,entropie,-0.1067,-0.1934,0.1020,0.9472,0.9330,0.8943
agents composite,profil croise,0.0,70 items ordinaux,gini_simpson,-0.1318,-0.1276,0.1084,0.9627,0.9515,0.9143
agents composite,profil croise,0.0,70 items ordinaux,variance_ordinale,0.0088,0.0103,0.1162,1.0009,0.9895,0.9067
agents enquete,political_ideology,1.0,149 items,entropie,2.5207,2.5245,2.5245,0.7773,0.7778,0.8583
agents enquete,political_ideology,1.0,149 items,gini_simpson,2.5185,2.5156,2.5156,0.7922,0.7922,0.8783
agents enquete,political_ideology,1.0,70 items ordinaux,entropie,2.9838,2.9890,2.9890,0.7591,0.7597,0.8575
agents enquete,political_ideology,1.0,70 items ordinaux,gini_simpson,3.0402,3.0374,3.0374,0.7774,0.7773,0.8761
agents enquete,political_ideology,1.0,70 items ordinaux,variance_ordinale,2.6725,2.6725,2.6725,0.7037,0.7036,0.8782
agents enquete,political_ideology,0.9,149 items,entropie,1.9581,1.9565,1.9748,0.8043,0.8040,0.8579
agents enquete,political_ideology,0.9,149 items,gini_simpson,2.0203,2.0178,2.0346,0.8181,0.8172,0.8780
agents enquete,political_ideology,0.9,70 items ordinaux,entropie,2.3115,2.3113,2.3312,0.7900,0.7896,0.8572
agents enquete,political_ideology,0.9,70 items ordinaux,gini_simpson,2.4407,2.4383,2.4573,0.8045,0.8037,0.8759
agents enquete,political_ideology,0.9,70 items ordinaux,variance_ordinale,2.1522,2.1518,2.1613,0.7544,0.7535,0.8783
agents enquete,political_ideology,0.8,149 items,entropie,1.4931,1.4879,1.5337,0.8273,0.8256,0.8582
agents enquete,political_ideology,0.8,149 items,gini_simpson,1.5757,1.5744,1.6095,0.8418,0.8399,0.8784
agents enquete,political_ideology,0.8,70 items ordinaux,entropie,1.7612,1.7577,1.8067,0.8158,0.8140,0.8575
agents enquete,political_ideology,0.8,70 items ordinaux,gini_simpson,1.9047,1.9039,1.9436,0.8293,0.8274,0.8762
agents enquete,political_ideology,0.8,70 items ordinaux,variance_ordinale,1.6914,1.6917,1.7113,0.7994,0.7974,0.8785
agents enquete,political_ideology,0.7,149 items,entropie,1.0962,1.0867,1.1587,0.8462,0.8433,0.8578
agents enquete,political_ideology,0.7,149 items,gini_simpson,1.1808,1.1792,1.2305,0.8621,0.8595,0.8780
agents enquete,political_ideology,0.7,70 items ordinaux,entropie,1.2986,1.2914,1.3668,0.8369,0.8339,0.8573
agents enquete,political_ideology,0.7,70 items ordinaux,gini_simpson,1.4284,1.4273,1.4853,0.8507,0.8481,0.8759
agents enquete,political_ideology,0.7,70 items ordinaux,variance_ordinale,1.2805,1.2807,1.3091,0.8394,0.8366,0.8785
agents enquete,political_ideology,0.6,149 items,entropie,0.7677,0.7555,0.8498,0.8622,0.8582,0.8578
agents enquete,political_ideology,0.6,149 items,gini_simpson,0.8443,0.8436,0.9076,0.8799,0.8765,0.8781
agents enquete,political_ideology,0.6,70 items ordinaux,entropie,0.9129,0.9026,1.0012,0.8547,0.8507,0.8573
agents enquete,political_ideology,0.6,70 items ordinaux,gini_simpson,1.0231,1.0226,1.0955,0.8693,0.8660,0.8760
agents enquete,political_ideology,0.6,70 items ordinaux,variance_ordinale,0.9300,0.9296,0.9660,0.8735,0.8700,0.8785
agents enquete,political_ideology,0.5,149 items,entropie,0.4924,0.4791,0.5905,0.8757,0.8708,0.8579
agents enquete,political_ideology,0.5,149 items,gini_simpson,0.5546,0.5546,0.6294,0.8952,0.8913,0.8782
agents enquete,political_ideology,0.5,70 items ordinaux,entropie,0.5904,0.5797,0.6955,0.8694,0.8645,0.8571
agents enquete,political_ideology,0.5,70 items ordinaux,gini_simpson,0.6740,0.6743,0.7594,0.8853,0.8814,0.8761
agents enquete,political_ideology,0.5,70 items ordinaux,variance_ordinale,0.6274,0.6280,0.6696,0.9023,0.8982,0.8779
agents enquete,political_ideology,0.4,149 items,entropie,0.2687,0.2530,0.3797,0.8863,0.8807,0.8576
agents enquete,political_ideology,0.4,149 items,gini_simpson,0.3181,0.3181,0.4023,0.9074,0.9030,0.8780
agents enquete,political_ideology,0.4,70 items ordinaux,entropie,0.3289,0.3138,0.4475,0.8815,0.8759,0.8571
agents enquete,political_ideology,0.4,70 items ordinaux,gini_simpson,0.3884,0.3881,0.4845,0.8981,0.8938,0.8759
agents enquete,political_ideology,0.4,70 items ordinaux,variance_ordinale,0.3807,0.3808,0.4281,0.9265,0.9219,0.8782
agents enquete,political_ideology,0.3,149 items,entropie,0.0909,0.0745,0.2123,0.8952,0.8890,0.8579
agents enquete,political_ideology,0.3,149 items,gini_simpson,0.1340,0.1340,0.2255,0.9173,0.9126,0.8782
agents enquete,political_ideology,0.3,70 items ordinaux,entropie,0.1238,0.1087,0.2532,0.8910,0.8848,0.8570
agents enquete,political_ideology,0.3,70 items ordinaux,gini_simpson,0.1683,0.1682,0.2727,0.9084,0.9037,0.8761
agents enquete,political_ideology,0.3,70 items ordinaux,variance_ordinale,0.1888,0.1889,0.2402,0.9453,0.9403,0.8782
agents enquete,political_ideology,0.2,149 items,entropie,-0.0335,-0.0510,0.0954,0.9009,0.8943,0.8575
agents enquete,political_ideology,0.2,149 items,gini_simpson,0.0028,0.0032,0.0996,0.9239,0.9189,0.8780
agents enquete,political_ideology,0.2,70 items ordinaux,entropie,-0.0227,-0.0398,0.1144,0.8975,0.8909,0.8568
agents enquete,political_ideology,0.2,70 items ordinaux,gini_simpson,0.0105,0.0098,0.1208,0.9153,0.9103,0.8758
agents enquete,political_ideology,0.2,70 items ordinaux,variance_ordinale,0.0531,0.0527,0.1074,0.9585,0.9533,0.8783
agents enquete,political_ideology,0.1,149 items,entropie,-0.1085,-0.1277,0.0246,0.9046,0.8977,0.8575
agents enquete,political_ideology,0.1,149 items,gini_simpson,-0.0751,-0.0750,0.0248,0.9281,0.9229,0.8781
agents enquete,political_ideology,0.1,70 items ordinaux,entropie,-0.1120,-0.1293,0.0294,0.9015,0.8947,0.8567
agents enquete,political_ideology,0.1,70 items ordinaux,gini_simpson,-0.0837,-0.0839,0.0301,0.9197,0.9145,0.8759
agents enquete,political_ideology,0.1,70 items ordinaux,variance_ordinale,-0.0293,-0.0296,0.0267,0.9667,0.9613,0.8784
agents enquete,political_ideology,0.0,149 items,entropie,-0.1352,-0.1527,-0.0002,0.9058,0.8989,0.8575
agents enquete,political_ideology,0.0,149 items,gini_simpson,-0.1009,-0.0999,0.0000,0.9293,0.9241,0.8780
agents enquete,political_ideology,0.0,70 items ordinaux,entropie,-0.1438,-0.1604,-0.0004,0.9029,0.8960,0.8566
agents enquete,political_ideology,0.0,70 items ordinaux,gini_simpson,-0.1150,-0.1143,0.0000,0.9208,0.9156,0.8756
agents enquete,political_ideology,0.0,70 items ordinaux,variance_ordinale,-0.0565,-0.0553,0.0000,0.9685,0.9631,0.8777
agents enquete,profil croise,1.0,149 items,entropie,2.0614,2.1242,2.1242,0.7873,0.7888,0.8583
agents enquete,profil croise,1.0,149 items,gini_simpson,2.1730,2.1714,2.1714,0.8041,0.8042,0.8783
agents enquete,profil croise,1.0,70 items ordinaux,entropie,2.4504,2.5473,2.5473,0.7734,0.7750,0.8575
agents enquete,profil croise,1.0,70 items ordinaux,gini_simpson,2.6759,2.6746,2.6746,0.7929,0.7930,0.8761
agents enquete,profil croise,1.0,70 items ordinaux,variance_ordinale,2.3599,2.3588,2.3588,0.7228,0.7231,0.8783
agents enquete,profil croise,0.9,149 items,entropie,1.6378,1.6704,1.6886,0.8121,0.8125,0.8581
agents enquete,profil croise,0.9,149 items,gini_simpson,1.7647,1.7636,1.7817,0.8275,0.8265,0.8783
agents enquete,profil croise,0.9,70 items ordinaux,entropie,1.9384,1.9959,2.0170,0.8000,0.8005,0.8571
agents enquete,profil croise,0.9,70 items ordinaux,gini_simpson,2.1694,2.1684,2.1904,0.8160,0.8151,0.8758
agents enquete,profil croise,0.9,70 items ordinaux,variance_ordinale,1.9280,1.9268,1.9366,0.7678,0.7671,0.8780
agents enquete,profil croise,0.8,149 items,entropie,1.2429,1.2476,1.3179,0.8358,0.8333,0.8585
agents enquete,profil croise,0.8,149 items,gini_simpson,1.3773,1.3763,1.4379,0.8506,0.8471,0.8791
agents enquete,profil croise,0.8,70 items ordinaux,entropie,1.4672,1.4888,1.5701,0.8253,0.8227,0.8575
agents enquete,profil croise,0.8,70 items ordinaux,gini_simpson,1.6861,1.6848,1.7607,0.8391,0.8357,0.8765
agents enquete,profil croise,0.8,70 items ordinaux,variance_ordinale,1.5241,1.5220,1.5570,0.8117,0.8083,0.8794
agents enquete,profil croise,0.7,149 items,entropie,0.9202,0.9024,1.0185,0.8556,0.8505,0.8592
agents enquete,profil croise,0.7,149 items,gini_simpson,1.0404,1.0400,1.1326,0.8708,0.8655,0.8800
agents enquete,profil croise,0.7,70 items ordinaux,entropie,1.0803,1.0733,1.2066,0.8465,0.8412,0.8583
agents enquete,profil croise,0.7,70 items ordinaux,gini_simpson,1.2697,1.2691,1.3830,0.8592,0.8540,0.8773
agents enquete,profil croise,0.7,70 items ordinaux,variance_ordinale,1.1693,1.1681,1.2203,0.8506,0.8453,0.8809
agents enquete,profil croise,0.6,149 items,entropie,0.6557,0.6193,0.7743,0.8714,0.8641,0.8594
agents enquete,profil croise,0.6,149 items,gini_simpson,0.7503,0.7493,0.8680,0.8880,0.8812,0.8805
agents enquete,profil croise,0.6,70 items ordinaux,entropie,0.7691,0.7388,0.9161,0.8632,0.8557,0.8585
agents enquete,profil croise,0.6,70 items ordinaux,gini_simpson,0.9112,0.9103,1.0556,0.8763,0.8696,0.8778
agents enquete,profil croise,0.6,70 items ordinaux,variance_ordinale,0.8677,0.8654,0.9331,0.8829,0.8760,0.8814
agents enquete,profil croise,0.5,149 items,entropie,0.4311,0.3821,0.5663,0.8851,0.8759,0.8598
agents enquete,profil croise,0.5,149 items,gini_simpson,0.5041,0.5049,0.6432,0.9027,0.8947,0.8811
agents enquete,profil croise,0.5,70 items ordinaux,entropie,0.5034,0.4564,0.6672,0.8780,0.8686,0.8592
agents enquete,profil croise,0.5,70 items ordinaux,gini_simpson,0.6058,0.6063,0.7764,0.8911,0.8832,0.8785
agents enquete,profil croise,0.5,70 items ordinaux,variance_ordinale,0.6086,0.6066,0.6860,0.9116,0.9034,0.8828
agents enquete,profil croise,0.4,149 items,entropie,0.2530,0.1909,0.4024,0.8968,0.8861,0.8610
agents enquete,profil croise,0.4,149 items,gini_simpson,0.3037,0.3047,0.4603,0.9154,0.9065,0.8823
agents enquete,profil croise,0.4,70 items ordinaux,entropie,0.2928,0.2287,0.4698,0.8899,0.8790,0.8599
agents enquete,profil croise,0.4,70 items ordinaux,gini_simpson,0.3571,0.3577,0.5489,0.9032,0.8943,0.8791
agents enquete,profil croise,0.4,70 items ordinaux,variance_ordinale,0.3996,0.3991,0.4866,0.9351,0.9259,0.8842
agents enquete,profil croise,0.3,149 items,entropie,0.1145,0.0434,0.2756,0.9044,0.8925,0.8604
agents enquete,profil croise,0.3,149 items,gini_simpson,0.1465,0.1464,0.3168,0.9244,0.9147,0.8823
agents enquete,profil croise,0.3,70 items ordinaux,entropie,0.1282,0.0517,0.3163,0.8981,0.8860,0.8595
