condition,axe_transport,lambda,jeu_items,mesure,inter_brut,inter_nulA,inter_nulB,ratio_intra_brut,ratio_intra_corrige,ratio_total
agents entretien (v3),political_ideology,0.8,149 items,entropie,1.6475,1.6411,1.6891,0.8263,0.8247,0.8645
agents entretien (v3),political_ideology,0.8,149 items,gini_simpson,1.7715,1.7680,1.8037,0.8192,0.8174,0.8666
agents entretien (v3),political_ideology,0.8,70 items ordinaux,entropie,1.8636,1.8620,1.9139,0.8445,0.8426,0.8896
agents entretien (v3),political_ideology,0.8,70 items ordinaux,gini_simpson,2.1048,2.1023,2.1442,0.8453,0.8435,0.9003
agents entretien (v3),political_ideology,0.8,70 items ordinaux,variance_ordinale,2.0354,2.0350,2.0566,0.8455,0.8434,0.9510
agents entretien (v3),political_ideology,0.7,149 items,entropie,1.2140,1.2041,1.2772,0.8475,0.8446,0.8645
agents entretien (v3),political_ideology,0.7,149 items,gini_simpson,1.3337,1.3313,1.3819,0.8423,0.8397,0.8667
agents entretien (v3),political_ideology,0.7,70 items ordinaux,entropie,1.3733,1.3683,1.4475,0.8673,0.8641,0.8897
agents entretien (v3),political_ideology,0.7,70 items ordinaux,gini_simpson,1.5838,1.5822,1.6418,0.8692,0.8665,0.9004
agents entretien (v3),political_ideology,0.7,70 items ordinaux,variance_ordinale,1.5432,1.5435,1.5738,0.8933,0.8903,0.9510
agents entretien (v3),political_ideology,0.6,149 items,entropie,0.8502,0.8366,0.9330,0.8656,0.8616,0.8649
agents entretien (v3),political_ideology,0.6,149 items,gini_simpson,0.9540,0.9510,1.0157,0.8623,0.8591,0.8669
agents entretien (v3),political_ideology,0.6,70 items ordinaux,entropie,0.9635,0.9550,1.0584,0.8864,0.8821,0.8898
agents entretien (v3),political_ideology,0.6,70 items ordinaux,gini_simpson,1.1338,1.1313,1.2076,0.8897,0.8863,0.9004
agents entretien (v3),political_ideology,0.6,70 items ordinaux,variance_ordinale,1.1222,1.1204,1.1608,0.9347,0.9309,0.9513
agents entretien (v3),political_ideology,0.5,149 items,entropie,0.5474,0.5313,0.6460,0.8801,0.8751,0.8646
agents entretien (v3),political_ideology,0.5,149 items,gini_simpson,0.6316,0.6297,0.7050,0.8791,0.8753,0.8668
agents entretien (v3),political_ideology,0.5,70 items ordinaux,entropie,0.6202,0.6079,0.7320,0.9020,0.8968,0.8895
agents entretien (v3),political_ideology,0.5,70 items ordinaux,gini_simpson,0.7498,0.7474,0.8374,0.9072,0.9033,0.9004
agents entretien (v3),political_ideology,0.5,70 items ordinaux,variance_ordinale,0.7572,0.7560,0.8029,0.9698,0.9653,0.9509
agents entretien (v3),political_ideology,0.4,149 items,entropie,0.3043,0.2865,0.4169,0.8918,0.8861,0.8645
agents entretien (v3),political_ideology,0.4,149 items,gini_simpson,0.3690,0.3673,0.4519,0.8928,0.8885,0.8667
agents entretien (v3),political_ideology,0.4,70 items ordinaux,entropie,0.3456,0.3324,0.4716,0.9146,0.9087,0.8895
agents entretien (v3),political_ideology,0.4,70 items ordinaux,gini_simpson,0.4384,0.4370,0.5371,0.9214,0.9169,0.9003
agents entretien (v3),political_ideology,0.4,70 items ordinaux,variance_ordinale,0.4632,0.4617,0.5144,0.9986,0.9937,0.9512
agents entretien (v3),political_ideology,0.3,149 items,entropie,0.1104,0.0926,0.2339,0.9011,0.8949,0.8644
agents entretien (v3),political_ideology,0.3,149 items,gini_simpson,0.1629,0.1613,0.2532,0.9037,0.8990,0.8667
agents entretien (v3),political_ideology,0.3,70 items ordinaux,entropie,0.1289,0.1140,0.2653,0.9248,0.9183,0.8896
agents entretien (v3),political_ideology,0.3,70 items ordinaux,gini_simpson,0.1936,0.1913,0.3009,0.9326,0.9278,0.9004
agents entretien (v3),political_ideology,0.3,70 items ordinaux,variance_ordinale,0.2335,0.2319,0.2892,1.0218,1.0164,0.9519
agents entretien (v3),political_ideology,0.2,149 items,entropie,-0.0264,-0.0450,0.1047,0.9074,0.9007,0.8640
agents entretien (v3),political_ideology,0.2,149 items,gini_simpson,0.0163,0.0146,0.1118,0.9112,0.9063,0.8666
agents entretien (v3),political_ideology,0.2,70 items ordinaux,entropie,-0.0256,-0.0417,0.1186,0.9316,0.9247,0.8893
agents entretien (v3),political_ideology,0.2,70 items ordinaux,gini_simpson,0.0195,0.0174,0.1330,0.9404,0.9353,0.9002
agents entretien (v3),political_ideology,0.2,70 items ordinaux,variance_ordinale,0.0695,0.0680,0.1283,1.0369,1.0312,0.9511
agents entretien (v3),political_ideology,0.1,149 items,entropie,-0.1083,-0.1284,0.0272,0.9117,0.9047,0.8643
agents entretien (v3),political_ideology,0.1,149 items,gini_simpson,-0.0704,-0.0725,0.0283,0.9160,0.9110,0.8669
agents entretien (v3),political_ideology,0.1,70 items ordinaux,entropie,-0.1181,-0.1349,0.0303,0.9362,0.9290,0.8896
agents entretien (v3),political_ideology,0.1,70 items ordinaux,gini_simpson,-0.0836,-0.0860,0.0336,0.9454,0.9402,0.9006
agents entretien (v3),political_ideology,0.1,70 items ordinaux,variance_ordinale,-0.0284,-0.0310,0.0323,1.0472,1.0414,0.9519
agents entretien (v3),political_ideology,0.0,149 items,entropie,-0.1368,-0.1562,0.0000,0.9130,0.9060,0.8643
agents entretien (v3),political_ideology,0.0,149 items,gini_simpson,-0.0997,-0.1009,-0.0000,0.9174,0.9123,0.8667
agents entretien (v3),political_ideology,0.0,70 items ordinaux,entropie,-0.1504,-0.1669,-0.0001,0.9379,0.9306,0.8898
agents entretien (v3),political_ideology,0.0,70 items ordinaux,gini_simpson,-0.1184,-0.1197,0.0000,0.9470,0.9416,0.9005
agents entretien (v3),political_ideology,0.0,70 items ordinaux,variance_ordinale,-0.0613,-0.0629,0.0000,1.0507,1.0447,0.9521
agents entretien (v3),profil croise,1.0,149 items,entropie,2.4378,2.5293,2.5293,0.7721,0.7736,0.8649
agents entretien (v3),profil croise,1.0,149 items,gini_simpson,2.6166,2.6149,2.6149,0.7667,0.7668,0.8669
agents entretien (v3),profil croise,1.0,70 items ordinaux,entropie,2.8733,3.0088,3.0088,0.7850,0.7863,0.8898
agents entretien (v3),profil croise,1.0,70 items ordinaux,gini_simpson,3.2944,3.2950,3.2950,0.7897,0.7897,0.9004
agents entretien (v3),profil croise,1.0,70 items ordinaux,variance_ordinale,3.0781,3.0782,3.0782,0.7281,0.7284,0.9513
agents entretien (v3),profil croise,0.9,149 items,entropie,1.9255,1.9806,1.9988,0.8021,0.8025,0.8647
agents entretien (v3),profil croise,0.9,149 items,gini_simpson,2.1192,2.1181,2.1355,0.7952,0.7943,0.8669
agents entretien (v3),profil croise,0.9,70 items ordinaux,entropie,2.2629,2.3513,2.3731,0.8170,0.8171,0.8896
agents entretien (v3),profil croise,0.9,70 items ordinaux,gini_simpson,2.6674,2.6677,2.6906,0.8187,0.8176,0.9003
agents entretien (v3),profil croise,0.9,70 items ordinaux,variance_ordinale,2.5101,2.5099,2.5207,0.7874,0.7865,0.9510
agents entretien (v3),profil croise,0.8,149 items,entropie,1.4712,1.4949,1.5651,0.8291,0.8265,0.8649
agents entretien (v3),profil croise,0.8,149 items,gini_simpson,1.6572,1.6572,1.7160,0.8221,0.8187,0.8673
agents entretien (v3),profil croise,0.8,70 items ordinaux,entropie,1.7243,1.7727,1.8549,0.8456,0.8425,0.8897
agents entretien (v3),profil croise,0.8,70 items ordinaux,gini_simpson,2.0786,2.0799,2.1556,0.8461,0.8425,0.9005
agents entretien (v3),profil croise,0.8,70 items ordinaux,variance_ordinale,1.9805,1.9800,2.0168,0.8433,0.8396,0.9513
agents entretien (v3),profil croise,0.7,149 items,entropie,1.0871,1.0836,1.2017,0.8520,0.8466,0.8651
agents entretien (v3),profil croise,0.7,149 items,gini_simpson,1.2506,1.2504,1.3408,0.8461,0.8410,0.8680
agents entretien (v3),profil croise,0.7,70 items ordinaux,entropie,1.2717,1.2866,1.4228,0.8695,0.8636,0.8897
agents entretien (v3),profil croise,0.7,70 items ordinaux,gini_simpson,1.5649,1.5671,1.6820,0.8703,0.8649,0.9010
agents entretien (v3),profil croise,0.7,70 items ordinaux,variance_ordinale,1.5179,1.5196,1.5737,0.8926,0.8868,0.9520
agents entretien (v3),profil croise,0.6,149 items,entropie,0.7689,0.7441,0.9008,0.8711,0.8635,0.8654
agents entretien (v3),profil croise,0.6,149 items,gini_simpson,0.9013,0.9009,1.0167,0.8666,0.8600,0.8685
agents entretien (v3),profil croise,0.6,70 items ordinaux,entropie,0.8973,0.8833,1.0655,0.8899,0.8817,0.8903
agents entretien (v3),profil croise,0.6,70 items ordinaux,gini_simpson,1.1251,1.1251,1.2738,0.8912,0.8843,0.9015
agents entretien (v3),profil croise,0.6,70 items ordinaux,variance_ordinale,1.1225,1.1224,1.1935,0.9352,0.9277,0.9530
agents entretien (v3),profil croise,0.5,149 items,entropie,0.5130,0.4693,0.6587,0.8866,0.8772,0.8658
agents entretien (v3),profil croise,0.5,149 items,gini_simpson,0.6057,0.6053,0.7421,0.8842,0.8764,0.8691
agents entretien (v3),profil croise,0.5,70 items ordinaux,entropie,0.5973,0.5583,0.7785,0.9060,0.8960,0.8905
agents entretien (v3),profil croise,0.5,70 items ordinaux,gini_simpson,0.7497,0.7485,0.9248,0.9090,0.9009,0.9020
agents entretien (v3),profil croise,0.5,70 items ordinaux,variance_ordinale,0.7855,0.7828,0.8694,0.9707,0.9619,0.9531
agents entretien (v3),profil croise,0.4,149 items,entropie,0.3009,0.2443,0.4586,0.8994,0.8884,0.8661
agents entretien (v3),profil croise,0.4,149 items,gini_simpson,0.3627,0.3630,0.5161,0.8986,0.8898,0.8696
agents entretien (v3),profil croise,0.4,70 items ordinaux,entropie,0.3482,0.2948,0.5391,0.9195,0.9080,0.8908
agents entretien (v3),profil croise,0.4,70 items ordinaux,gini_simpson,0.4424,0.4434,0.6390,0.9236,0.9145,0.9023
agents entretien (v3),profil croise,0.4,70 items ordinaux,variance_ordinale,0.5085,0.5078,0.6025,1.0012,0.9912,0.9544
agents entretien (v3),profil croise,0.3,149 items,entropie,0.1363,0.0696,0.3034,0.9094,0.8972,0.8663
agents entretien (v3),profil croise,0.3,149 items,gini_simpson,0.1743,0.1747,0.3410,0.9101,0.9006,0.8703
agents entretien (v3),profil croise,0.3,70 items ordinaux,entropie,0.1597,0.0912,0.3585,0.9293,0.9167,0.8907
agents entretien (v3),profil croise,0.3,70 items ordinaux,gini_simpson,0.2062,0.2070,0.4197,0.9348,0.9250,0.9026
agents entretien (v3),profil croise,0.3,70 items ordinaux,variance_ordinale,0.2948,0.2945,0.3971,1.0243,1.0135,0.9551
agents entretien (v3),profil croise,0.2,149 items,entropie,0.0197,-0.0526,0.1937,0.9164,0.9033,0.8664
agents entretien (v3),profil croise,0.2,149 items,gini_simpson,0.0390,0.0412,0.2153,0.9183,0.9082,0.8707
agents entretien (v3),profil croise,0.2,70 items ordinaux,entropie,0.0223,-0.0541,0.2266,0.9368,0.9234,0.8910
agents entretien (v3),profil croise,0.2,70 items ordinaux,gini_simpson,0.0342,0.0363,0.2597,0.9431,0.9327,0.9030
agents entretien (v3),profil croise,0.2,70 items ordinaux,variance_ordinale,0.1413,0.1422,0.2494,1.0406,1.0291,0.9551
agents entretien (v3),profil croise,0.1,149 items,entropie,-0.0524,-0.1303,0.1256,0.9206,0.9070,0.8664
agents entretien (v3),profil croise,0.1,149 items,gini_simpson,-0.0433,-0.0435,0.1387,0.9234,0.9129,0.8710
agents entretien (v3),profil croise,0.1,70 items ordinaux,entropie,-0.0618,-0.1464,0.1459,0.9411,0.9272,0.8908
agents entretien (v3),profil croise,0.1,70 items ordinaux,gini_simpson,-0.0699,-0.0704,0.1628,0.9480,0.9373,0.9031
agents entretien (v3),profil croise,0.1,70 items ordinaux,variance_ordinale,0.0479,0.0468,0.1593,1.0502,1.0384,0.9550
agents entretien (v3),profil croise,0.0,149 items,entropie,-0.0771,-0.1559,0.1022,0.9228,0.9091,0.8671
agents entretien (v3),profil croise,0.0,149 items,gini_simpson,-0.0719,-0.0710,0.1122,0.9257,0.9152,0.8717
agents entretien (v3),profil croise,0.0,70 items ordinaux,entropie,-0.0904,-0.1778,0.1187,0.9437,0.9296,0.8918
agents entretien (v3),profil croise,0.0,70 items ordinaux,gini_simpson,-0.1054,-0.1047,0.1299,0.9504,0.9395,0.9038
agents entretien (v3),profil croise,0.0,70 items ordinaux,variance_ordinale,0.0156,0.0137,0.1283,1.0551,1.0432,0.9564
agents demographiques (v8),political_ideology,1.0,149 items,entropie,8.3190,8.3786,8.3786,0.4360,0.4364,0.8022
agents demographiques (v8),political_ideology,1.0,149 items,gini_simpson,8.1299,8.1184,8.1184,0.4425,0.4424,0.8256
agents demographiques (v8),political_ideology,1.0,70 items ordinaux,entropie,9.8212,9.8836,9.8836,0.4146,0.4149,0.8304
agents demographiques (v8),political_ideology,1.0,70 items ordinaux,gini_simpson,10.1863,10.1762,10.1762,0.4226,0.4224,0.8485
agents demographiques (v8),political_ideology,1.0,70 items ordinaux,variance_ordinale,7.7070,7.7079,7.7079,0.2965,0.2961,0.9535
agents demographiques (v8),political_ideology,0.9,149 items,entropie,6.2797,6.3209,6.3375,0.5350,0.5347,0.8019
agents demographiques (v8),political_ideology,0.9,149 items,gini_simpson,6.5664,6.5573,6.5728,0.5243,0.5234,0.8254
agents demographiques (v8),political_ideology,0.9,70 items ordinaux,entropie,7.4291,7.4734,7.4918,0.5250,0.5245,0.8303
agents demographiques (v8),political_ideology,0.9,70 items ordinaux,gini_simpson,8.2293,8.2214,8.2395,0.5118,0.5108,0.8485
agents demographiques (v8),political_ideology,0.9,70 items ordinaux,variance_ordinale,6.2318,6.2325,6.2425,0.4399,0.4387,0.9534
agents demographiques (v8),political_ideology,0.8,149 items,entropie,4.7893,4.8174,4.8577,0.6072,0.6056,0.8014
agents demographiques (v8),political_ideology,0.8,149 items,gini_simpson,5.1686,5.1620,5.1949,0.5974,0.5956,0.8252
agents demographiques (v8),political_ideology,0.8,70 items ordinaux,entropie,5.6776,5.7083,5.7536,0.6055,0.6037,0.8297
agents demographiques (v8),political_ideology,0.8,70 items ordinaux,gini_simpson,6.4752,6.4694,6.5083,0.5915,0.5896,0.8482
agents demographiques (v8),political_ideology,0.8,70 items ordinaux,variance_ordinale,4.9097,4.9100,4.9322,0.5685,0.5662,0.9534
agents demographiques (v8),political_ideology,0.7,149 items,entropie,3.5814,3.5974,3.6601,0.6662,0.6636,0.8016
agents demographiques (v8),political_ideology,0.7,149 items,gini_simpson,3.9365,3.9311,3.9790,0.6623,0.6597,0.8255
agents demographiques (v8),political_ideology,0.7,70 items ordinaux,entropie,4.2592,4.2784,4.3467,0.6712,0.6684,0.8299
agents demographiques (v8),political_ideology,0.7,70 items ordinaux,gini_simpson,4.9390,4.9348,4.9905,0.6619,0.6592,0.8484
agents demographiques (v8),political_ideology,0.7,70 items ordinaux,variance_ordinale,3.7491,3.7506,3.7807,0.6814,0.6782,0.9534
agents demographiques (v8),political_ideology,0.6,149 items,entropie,2.5783,2.5861,2.6671,0.7153,0.7118,0.8018
agents demographiques (v8),political_ideology,0.6,149 items,gini_simpson,2.8632,2.8597,2.9197,0.7186,0.7154,0.8255
agents demographiques (v8),political_ideology,0.6,70 items ordinaux,entropie,3.0739,3.0849,3.1727,0.7264,0.7227,0.8302
agents demographiques (v8),political_ideology,0.6,70 items ordinaux,gini_simpson,3.5943,3.5922,3.6617,0.7234,0.7201,0.8486
agents demographiques (v8),political_ideology,0.6,70 items ordinaux,variance_ordinale,2.7366,2.7377,2.7761,0.7811,0.7772,0.9544
agents demographiques (v8),political_ideology,0.5,149 items,entropie,1.7544,1.7562,1.8518,0.7556,0.7513,0.8020
agents demographiques (v8),political_ideology,0.5,149 items,gini_simpson,1.9593,1.9577,2.0275,0.7662,0.7625,0.8256
agents demographiques (v8),political_ideology,0.5,70 items ordinaux,entropie,2.0992,2.1033,2.2071,0.7715,0.7670,0.8302
agents demographiques (v8),political_ideology,0.5,70 items ordinaux,gini_simpson,2.4618,2.4613,2.5426,0.7749,0.7711,0.8485
agents demographiques (v8),political_ideology,0.5,70 items ordinaux,variance_ordinale,1.8821,1.8839,1.9283,0.8632,0.8587,0.9535
agents demographiques (v8),political_ideology,0.4,149 items,entropie,1.0868,1.0838,1.1917,0.7877,0.7828,0.8016
agents demographiques (v8),political_ideology,0.4,149 items,gini_simpson,1.2186,1.2180,1.2964,0.8049,0.8007,0.8255
agents demographiques (v8),political_ideology,0.4,70 items ordinaux,entropie,1.3044,1.3041,1.4203,0.8081,0.8030,0.8301
agents demographiques (v8),political_ideology,0.4,70 items ordinaux,gini_simpson,1.5306,1.5311,1.6224,0.8173,0.8131,0.8485
agents demographiques (v8),political_ideology,0.4,70 items ordinaux,variance_ordinale,1.1786,1.1797,1.2302,0.9318,0.9268,0.9537
agents demographiques (v8),political_ideology,0.3,149 items,entropie,0.5676,0.5591,0.6785,0.8130,0.8075,0.8016
agents demographiques (v8),political_ideology,0.3,149 items,gini_simpson,0.6439,0.6423,0.7292,0.8351,0.8306,0.8256
agents demographiques (v8),political_ideology,0.3,70 items ordinaux,entropie,0.6903,0.6814,0.8123,0.8364,0.8308,0.8300
agents demographiques (v8),political_ideology,0.3,70 items ordinaux,gini_simpson,0.8140,0.8125,0.9145,0.8500,0.8454,0.8484
agents demographiques (v8),political_ideology,0.3,70 items ordinaux,variance_ordinale,0.6383,0.6381,0.6942,0.9851,0.9797,0.9544
agents demographiques (v8),political_ideology,0.2,149 items,entropie,0.1931,0.1835,0.3079,0.8311,0.8253,0.8014
agents demographiques (v8),political_ideology,0.2,149 items,gini_simpson,0.2322,0.2334,0.3228,0.8565,0.8518,0.8253
agents demographiques (v8),political_ideology,0.2,70 items ordinaux,entropie,0.2420,0.2344,0.3683,0.8574,0.8514,0.8302
agents demographiques (v8),political_ideology,0.2,70 items ordinaux,gini_simpson,0.2983,0.3007,0.4049,0.8736,0.8688,0.8485
agents demographiques (v8),political_ideology,0.2,70 items ordinaux,variance_ordinale,0.2480,0.2482,0.3070,1.0226,1.0169,0.9539
agents demographiques (v8),political_ideology,0.1,149 items,entropie,-0.0381,-0.0506,0.0787,0.8425,0.8365,0.8016
agents demographiques (v8),political_ideology,0.1,149 items,gini_simpson,-0.0131,-0.0118,0.0808,0.8695,0.8646,0.8255
agents demographiques (v8),political_ideology,0.1,70 items ordinaux,entropie,-0.0333,-0.0458,0.0953,0.8700,0.8638,0.8300
agents demographiques (v8),political_ideology,0.1,70 items ordinaux,gini_simpson,-0.0083,-0.0069,0.1020,0.8874,0.8824,0.8483
agents demographiques (v8),political_ideology,0.1,70 items ordinaux,variance_ordinale,0.0173,0.0165,0.0781,1.0447,1.0388,0.9536
agents demographiques (v8),political_ideology,0.0,149 items,entropie,-0.1169,-0.1302,0.0000,0.8461,0.8401,0.8014
agents demographiques (v8),political_ideology,0.0,149 items,gini_simpson,-0.0949,-0.0946,0.0000,0.8735,0.8686,0.8253
agents demographiques (v8),political_ideology,0.0,70 items ordinaux,entropie,-0.1283,-0.1404,0.0002,0.8746,0.8683,0.8302
agents demographiques (v8),political_ideology,0.0,70 items ordinaux,gini_simpson,-0.1114,-0.1100,0.0000,0.8922,0.8872,0.8485
agents demographiques (v8),political_ideology,0.0,70 items ordinaux,variance_ordinale,-0.0615,-0.0610,0.0000,1.0531,1.0472,0.9543
agents demographiques (v8),profil croise,1.0,149 items,entropie,6.2563,6.6375,6.6375,0.4803,0.4821,0.8022
agents demographiques (v8),profil croise,1.0,149 items,gini_simpson,6.5376,6.5305,6.5305,0.4985,0.4989,0.8256
agents demographiques (v8),profil croise,1.0,70 items ordinaux,entropie,7.4908,7.9929,7.9929,0.4787,0.4806,0.8304
agents demographiques (v8),profil croise,1.0,70 items ordinaux,gini_simpson,8.3620,8.3559,8.3559,0.5012,0.5016,0.8485
agents demographiques (v8),profil croise,1.0,70 items ordinaux,variance_ordinale,6.8033,6.8050,6.8050,0.3395,0.3402,0.9535
agents demographiques (v8),profil croise,0.9,149 items,entropie,4.7942,5.0707,5.0886,0.5665,0.5670,0.8021
agents demographiques (v8),profil croise,0.9,149 items,gini_simpson,5.3412,5.3350,5.3526,0.5674,0.5667,0.8260
agents demographiques (v8),profil croise,0.9,70 items ordinaux,entropie,5.7418,6.1102,6.1311,0.5708,0.5712,0.8302
agents demographiques (v8),profil croise,0.9,70 items ordinaux,gini_simpson,6.8260,6.8206,6.8421,0.5722,0.5716,0.8485
agents demographiques (v8),profil croise,0.9,70 items ordinaux,variance_ordinale,5.5679,5.5692,5.5800,0.4704,0.4699,0.9546
agents demographiques (v8),profil croise,0.8,149 items,entropie,3.7088,3.9092,3.9723,0.6312,0.6288,0.8027
agents demographiques (v8),profil croise,0.8,149 items,gini_simpson,4.2797,4.2744,4.3317,0.6293,0.6263,0.8270
agents demographiques (v8),profil croise,0.8,70 items ordinaux,entropie,4.4345,4.7050,4.7797,0.6404,0.6378,0.8307
agents demographiques (v8),profil croise,0.8,70 items ordinaux,gini_simpson,5.4598,5.4547,5.5273,0.6363,0.6333,0.8494
agents demographiques (v8),profil croise,0.8,70 items ordinaux,variance_ordinale,4.4785,4.4801,4.5160,0.5849,0.5815,0.9547
agents demographiques (v8),profil croise,0.7,149 items,entropie,2.8423,2.9802,3.0837,0.6831,0.6784,0.8034
agents demographiques (v8),profil croise,0.7,149 items,gini_simpson,3.3403,3.3351,3.4226,0.6841,0.6794,0.8279
agents demographiques (v8),profil croise,0.7,70 items ordinaux,entropie,3.3943,3.5830,3.7070,0.6961,0.6910,0.8315
agents demographiques (v8),profil croise,0.7,70 items ordinaux,gini_simpson,4.2510,4.2456,4.3568,0.6930,0.6882,0.8502
agents demographiques (v8),profil croise,0.7,70 items ordinaux,variance_ordinale,3.5073,3.5080,3.5632,0.6898,0.6843,0.9574
agents demographiques (v8),profil croise,0.6,149 items,entropie,2.1229,2.2108,2.3461,0.7267,0.7199,0.8045
agents demographiques (v8),profil croise,0.6,149 items,gini_simpson,2.5230,2.5191,2.6296,0.7322,0.7261,0.8292
agents demographiques (v8),profil croise,0.6,70 items ordinaux,entropie,2.5353,2.6595,2.8202,0.7425,0.7353,0.8324
agents demographiques (v8),profil croise,0.6,70 items ordinaux,gini_simpson,3.2027,3.1981,3.3384,0.7425,0.7363,0.8512
agents demographiques (v8),profil croise,0.6,70 items ordinaux,variance_ordinale,2.6640,2.6624,2.7343,0.7791,0.7720,0.9582
agents demographiques (v8),profil croise,0.5,149 items,entropie,1.5371,1.5850,1.7462,0.7619,0.7535,0.8051
agents demographiques (v8),profil croise,0.5,149 items,gini_simpson,1.8306,1.8273,1.9573,0.7726,0.7653,0.8299
agents demographiques (v8),profil croise,0.5,70 items ordinaux,entropie,1.8272,1.9006,2.0897,0.7799,0.7711,0.8325
agents demographiques (v8),profil croise,0.5,70 items ordinaux,gini_simpson,2.3051,2.3021,2.4661,0.7840,0.7766,0.8512
agents demographiques (v8),profil croise,0.5,70 items ordinaux,variance_ordinale,1.9492,1.9486,2.0316,0.8554,0.8469,0.9593
agents demographiques (v8),profil croise,0.4,149 items,entropie,1.0673,1.0840,1.2662,0.7901,0.7803,0.8055
agents demographiques (v8),profil croise,0.4,149 items,gini_simpson,1.2645,1.2634,1.4077,0.8060,0.7978,0.8308
agents demographiques (v8),profil croise,0.4,70 items ordinaux,entropie,1.2659,1.2963,1.5119,0.8102,0.7999,0.8331
agents demographiques (v8),profil croise,0.4,70 items ordinaux,gini_simpson,1.5787,1.5751,1.7604,0.8185,0.8101,0.8521
agents demographiques (v8),profil croise,0.4,70 items ordinaux,variance_ordinale,1.3667,1.3659,1.4591,0.9173,0.9077,0.9600
agents demographiques (v8),profil croise,0.3,149 items,entropie,0.7018,0.6959,0.8927,0.8121,0.8012,0.8060
agents demographiques (v8),profil croise,0.3,149 items,gini_simpson,0.8234,0.8234,0.9795,0.8321,0.8231,0.8316
agents demographiques (v8),profil croise,0.3,70 items ordinaux,entropie,0.8271,0.8256,1.0601,0.8340,0.8226,0.8337
agents demographiques (v8),profil croise,0.3,70 items ordinaux,gini_simpson,1.0117,1.0098,1.2095,0.8453,0.8362,0.8527
agents demographiques (v8),profil croise,0.3,70 items ordinaux,variance_ordinale,0.9098,0.9088,1.0099,0.9662,0.9557,0.9608
agents demographiques (v8),profil croise,0.2,149 items,entropie,0.4405,0.4140,0.6253,0.8275,0.8159,0.8060
agents demographiques (v8),profil croise,0.2,149 items,gini_simpson,0.5049,0.5028,0.6702,0.8508,0.8413,0.8321
agents demographiques (v8),profil croise,0.2,70 items ordinaux,entropie,0.5131,0.4862,0.7368,0.8500,0.8378,0.8331
agents demographiques (v8),profil croise,0.2,70 items ordinaux,gini_simpson,0.6025,0.5987,0.8119,0.8643,0.8546,0.8527
agents demographiques (v8),profil croise,0.2,70 items ordinaux,variance_ordinale,0.5818,0.5804,0.6875,1.0014,0.9902,0.9615
agents demographiques (v8),profil croise,0.1,149 items,entropie,0.2802,0.2464,0.4611,0.8382,0.8261,0.8071
agents demographiques (v8),profil croise,0.1,149 items,gini_simpson,0.3126,0.3128,0.4837,0.8631,0.8533,0.8333
agents demographiques (v8),profil croise,0.1,70 items ordinaux,entropie,0.3206,0.2837,0.5388,0.8616,0.8489,0.8344
agents demographiques (v8),profil croise,0.1,70 items ordinaux,gini_simpson,0.3561,0.3558,0.5729,0.8769,0.8669,0.8539
agents demographiques (v8),profil croise,0.1,70 items ordinaux,variance_ordinale,0.3855,0.3867,0.4947,1.0230,1.0115,0.9625
agents demographiques (v8),profil croise,0.0,149 items,entropie,0.2242,0.1854,0.4033,0.8418,0.8296,0.8074
agents demographiques (v8),profil croise,0.0,149 items,gini_simpson,0.2458,0.2464,0.4190,0.8675,0.8576,0.8339
agents demographiques (v8),profil croise,0.0,70 items ordinaux,entropie,0.2530,0.2093,0.4688,0.8652,0.8524,0.8345
agents demographiques (v8),profil croise,0.0,70 items ordinaux,gini_simpson,0.2700,0.2691,0.4893,0.8810,0.8709,0.8540
agents demographiques (v8),profil croise,0.0,70 items ordinaux,variance_ordinale,0.3165,0.3161,0.4268,1.0310,1.0193,0.9631
