quantite,identite,n_items,X_q4_gabarit,X_q4nogab,X_q4base,X_q4hyb,numerateur_format,num_ic_bas,num_ic_haut,denominateur_socle,den_ic_bas,den_ic_haut,denominateur_exclut_zero,part_du_format,part_ic_bas,part_ic_haut,dans_la_bande_020_080
"facteur H2b, 79 items orientes",journaliste,79,0.24461877977591442,0.727104001617492,0.5661002089418946,0.2617334829373304,0.48248522184157755,0.2921594030342035,0.6969240912372966,0.32148142916598016,0.1250305574216022,0.5245834894034308,True,1.5008183306055651,0.9982509319575696,2.902838261648748,False
"facteur H2b, 79 items orientes",adversaire,77,0.23047178218256895,0.8853821419543134,0.48173869364796235,0.20245738312688633,0.6549103597717445,0.4091185222847253,0.9076021261767624,0.2512669114653934,0.024976930267523893,0.48270791731588475,True,2.6064329598843505,1.2776004679383388,11.594100658063532,False
"ratio de dispersion H1, camp gauche",journaliste,142,1.176406223619365,1.0947884764057196,1.1752062444000377,1.2759277827789226,-0.0816177472136455,-0.12472840798816014,-0.0397360764931964,-0.001199979219327239,-0.055516741177787376,0.04911125422927005,False,,,,False
"ratio de dispersion H1, camp centre",journaliste,141,1.1063682796944243,1.1154641795978704,1.142950835900164,1.1697552106376385,0.009095899903446161,-0.019545832235705232,0.03563662553813867,0.03658255620573983,0.007752602412868343,0.06562042539951052,True,0.2486403588718879,-1.2441787259441817,1.0082594501186286,True
"ratio de dispersion H1, camp droite",journaliste,141,1.065553228213371,1.0966155232442478,1.0892070613937357,1.1517273986323855,0.031062295030876777,-0.0058054927906568765,0.06425625411750671,0.023653833180364587,-0.015261974871228044,0.06116011611950554,False,,,,False
"ratio de dispersion H1, camp gauche",adversaire,140,1.173996935464842,1.0581652549484892,1.104950815510164,1.2191239737583286,-0.11583168051635273,-0.1667256640585707,-0.0673089989093884,-0.06904611995467799,-0.12298731201588577,-0.01785401324179515,True,1.677598691894416,0.9173989386664195,5.62020172411906,False
"ratio de dispersion H1, camp centre",adversaire,140,1.1447480711898523,1.173288118721319,1.1734309939081846,1.1977980398304016,0.02854004753146674,0.008141173611831715,0.048217195935796944,0.028682922718332286,-0.004728836631430087,0.05919093347557522,False,,,,False
"ratio de dispersion H1, camp droite",adversaire,139,1.0614263656036858,1.02556107819439,1.055211262535655,1.1318627441192404,-0.035865287409295656,-0.07858573910605642,0.0052813056819271285,-0.0062151030680308965,-0.04651738645490806,0.03523305857288893,False,,,,False
