jeu_de_donnees,condition,camp,quantite,observe,nul,exces,exces_nul_contre_nul,ecart_type_nul_contre_nul,n_tirages
Twin P0,P0 bloc3 vagues 1-3,centre,Q3,36.485728,185.214818,0.196993,0.999992,0.003162,100
Twin P0,P0 bloc3 vagues 1-3,droite,Q3,35.643707,185.218884,0.192442,1.000005,0.003187,100
Twin P0,P0 bloc3 vagues 1-3,gauche,Q3,33.214821,185.290741,0.179259,0.999637,0.003175,100
Twin P1,P1 bloc3 vagues 1-3,centre,Q3,6.125030,9.843787,0.622235,0.999972,0.006777,100
Twin P1,P1 bloc3 vagues 1-3,droite,Q3,4.670507,9.851931,0.474074,1.000006,0.003342,100
Twin P1,P1 bloc3 vagues 1-3,gauche,Q3,6.351378,9.845933,0.645086,0.999249,0.004780,100
panel 2006-2010 P0,P0 bloc3 2006,centre,Q3,26.700768,35.571936,0.750646,0.998828,0.010715,50
panel 2006-2010 P0,P0 bloc3 2006,droite,Q3,25.750754,35.711805,0.721118,0.999972,0.010346,50
panel 2006-2010 P0,P0 bloc3 2006,gauche,Q3,25.021017,35.538275,0.704113,1.000092,0.013691,50
panel 2006-2010 P1,P1 bloc3 2006,centre,Q3,33.016611,56.702372,0.582315,1.000707,0.008065,50
panel 2006-2010 P1,P1 bloc3 2006,droite,Q3,30.744852,56.895104,0.540404,1.000538,0.010037,50
panel 2006-2010 P1,P1 bloc3 2006,gauche,Q3,26.835483,56.758718,0.472823,1.000049,0.009983,50
panel 2008-2012 P0,P0 bloc3 2008,centre,Q3,26.266312,35.532756,0.739253,0.999550,0.010979,50
panel 2008-2012 P0,P0 bloc3 2008,droite,Q3,24.785219,35.614805,0.695965,1.001591,0.010701,50
panel 2008-2012 P0,P0 bloc3 2008,gauche,Q3,23.796530,35.416253,0.671964,1.000094,0.013869,50
panel 2008-2012 P1,P1 bloc3 2008,centre,Q3,32.391461,55.280667,0.585990,0.998935,0.012575,50
panel 2008-2012 P1,P1 bloc3 2008,droite,Q3,31.445962,55.503913,0.566594,1.000547,0.011742,50
panel 2008-2012 P1,P1 bloc3 2008,gauche,Q3,29.339100,55.717294,0.526619,1.000103,0.014468,50
panel 2010-2014 P0,P0 bloc3 2010,centre,Q3,26.608429,35.576689,0.747977,1.000000,0.013237,50
panel 2010-2014 P0,P0 bloc3 2010,droite,Q3,24.520776,35.652992,0.687815,0.999704,0.012859,50
panel 2010-2014 P0,P0 bloc3 2010,gauche,Q3,23.330756,35.507330,0.657125,1.000060,0.011089,50
panel 2010-2014 P1,P1 bloc3 2010,centre,Q3,34.654705,57.350931,0.604280,1.000935,0.009137,50
panel 2010-2014 P1,P1 bloc3 2010,droite,Q3,30.018624,57.634895,0.520848,0.999798,0.008608,50
panel 2010-2014 P1,P1 bloc3 2010,gauche,Q3,27.184506,57.674142,0.471367,1.000040,0.009004,50
panel 2016-2020 P0,P0 bloc3 2016,centre,Q3,26.453563,37.215454,0.710842,1.000635,0.008166,50
panel 2016-2020 P0,P0 bloc3 2016,droite,Q3,26.633292,37.279086,0.714450,0.999122,0.009347,50
panel 2016-2020 P0,P0 bloc3 2016,gauche,Q3,23.837122,37.292693,0.639222,1.000056,0.010710,50
panel 2016-2020 P1,P1 bloc3 2016,centre,Q3,33.993971,61.984322,0.548441,0.999784,0.008088,50
panel 2016-2020 P1,P1 bloc3 2016,droite,Q3,34.453998,62.004623,0.555690,0.999376,0.006120,50
panel 2016-2020 P1,P1 bloc3 2016,gauche,Q3,26.908468,62.033332,0.433785,1.000024,0.007033,50
