perimetre,axe,condition,mesure_x,rho_spearman,ic_items_bas,ic_items_haut,n_items,p_permutation,ratio_intra_median,ratio_intra_moyen,p_holm,p_bh
1052,education,humains vague 2,part expliquee Gini Simpson,-0.032700,-0.196232,0.132286,143,0.700830,1.002345,1.006721,,
1052,education,humains vague 2,information mutuelle normalisee,-0.047137,-0.212745,0.119755,143,0.577342,1.002345,1.006721,,
1052,gender,B0 mode,part expliquee Gini Simpson,0.108111,-0.010187,0.220902,143,0.202280,0.000000,0.031379,,
1052,gender,B0 mode,information mutuelle normalisee,0.059609,-0.087920,0.199437,143,0.486151,0.000000,0.031379,,
1052,gender,B0 tirage,part expliquee Gini Simpson,0.352248,0.181356,0.505205,143,0.000100,1.003162,1.003301,,
1052,gender,B0 tirage,information mutuelle normalisee,0.343548,0.165645,0.505581,143,0.000100,1.003162,1.003301,,
1052,gender,B1 argmax,part expliquee Gini Simpson,0.228537,0.064888,0.383105,143,0.006599,0.765595,0.673545,,
1052,gender,B1 argmax,information mutuelle normalisee,0.161516,-0.008304,0.323428,143,0.051795,0.765595,0.673545,,
1052,gender,B2 argmax,part expliquee Gini Simpson,0.162029,0.000178,0.321206,143,0.050595,0.630305,0.548528,,
1052,gender,B2 argmax,information mutuelle normalisee,0.094585,-0.061855,0.260032,143,0.256774,0.630305,0.548528,,
1052,gender,B3 foret,part expliquee Gini Simpson,0.191322,0.040955,0.347218,143,0.022998,0.495445,0.446214,,
1052,gender,B3 foret,information mutuelle normalisee,0.117266,-0.047978,0.277819,143,0.163684,0.495445,0.446214,,
1052,gender,agents composite,part expliquee Gini Simpson,-0.045545,-0.203618,0.121302,143,0.586741,0.952355,0.928472,,
1052,gender,agents composite,information mutuelle normalisee,-0.100426,-0.262719,0.077642,143,0.232577,0.952355,0.928472,,
1052,gender,agents demographiques (v6),part expliquee Gini Simpson,-0.069542,-0.239876,0.092515,143,0.416158,0.654845,0.599151,,
1052,gender,agents demographiques (v6),information mutuelle normalisee,-0.094071,-0.262131,0.075334,143,0.260474,0.654845,0.599151,,
1052,gender,agents enquete,part expliquee Gini Simpson,0.032478,-0.131750,0.207078,143,0.711929,0.900259,0.877884,,
1052,gender,agents enquete,information mutuelle normalisee,-0.033791,-0.203255,0.148321,143,0.687431,0.900259,0.877884,,
1052,gender,agents entretien (v3),part expliquee Gini Simpson,0.025953,-0.138844,0.206870,143,0.756924,0.944875,0.848975,,
1052,gender,agents entretien (v3),information mutuelle normalisee,-0.019580,-0.187892,0.160719,143,0.812019,0.944875,0.848975,,
1052,gender,agents v7,part expliquee Gini Simpson,0.138063,-0.027847,0.308755,143,0.099190,0.600766,0.586354,,
1052,gender,agents v7,information mutuelle normalisee,0.089243,-0.076499,0.259374,143,0.288171,0.600766,0.586354,,
1052,gender,agents v8,part expliquee Gini Simpson,0.015402,-0.141204,0.177271,143,0.852115,0.910410,0.846445,,
1052,gender,agents v8,information mutuelle normalisee,-0.024463,-0.188431,0.140640,143,0.765423,0.910410,0.846445,,
1052,gender,humains vague 2,part expliquee Gini Simpson,0.023175,-0.149795,0.189447,143,0.782522,1.001213,1.007154,,
1052,gender,humains vague 2,information mutuelle normalisee,0.029741,-0.138091,0.199167,143,0.719328,1.001213,1.007154,,
1052,political_ideology,B0 mode,part expliquee Gini Simpson,0.116900,-0.063209,0.266152,143,0.162684,0.000000,0.033726,,
1052,political_ideology,B0 mode,information mutuelle normalisee,0.129296,-0.039340,0.277836,143,0.125387,0.000000,0.033726,,
1052,political_ideology,B0 tirage,part expliquee Gini Simpson,0.763633,0.653051,0.848658,143,0.000100,1.035427,1.058288,,
1052,political_ideology,B0 tirage,information mutuelle normalisee,0.745761,0.642264,0.831041,143,0.000100,1.035427,1.058288,,
1052,political_ideology,B1 argmax,part expliquee Gini Simpson,-0.203524,-0.362774,-0.031136,143,0.015198,0.593663,0.585567,,
1052,political_ideology,B1 argmax,information mutuelle normalisee,-0.250111,-0.412077,-0.078783,143,0.002400,0.593663,0.585567,,
1052,political_ideology,B2 argmax,part expliquee Gini Simpson,0.141051,-0.039767,0.323633,143,0.087891,0.562067,0.492573,,
1052,political_ideology,B2 argmax,information mutuelle normalisee,0.075956,-0.108457,0.259157,143,0.353465,0.562067,0.492573,,
1052,political_ideology,B3 foret,part expliquee Gini Simpson,-0.089344,-0.258328,0.089112,143,0.296070,0.327354,0.345123,,
1052,political_ideology,B3 foret,information mutuelle normalisee,-0.152346,-0.316799,0.023527,143,0.069293,0.327354,0.345123,,
1052,political_ideology,agents composite,part expliquee Gini Simpson,-0.151692,-0.309820,0.009051,143,0.068693,0.882284,0.857809,,
1052,political_ideology,agents composite,information mutuelle normalisee,-0.169404,-0.323845,-0.015578,143,0.043596,0.882284,0.857809,,
1052,political_ideology,agents demographiques (v6),part expliquee Gini Simpson,0.110491,-0.070201,0.282272,143,0.191281,0.700159,0.623405,,
1052,political_ideology,agents demographiques (v6),information mutuelle normalisee,0.087127,-0.089600,0.264346,143,0.300270,0.700159,0.623405,,
1052,political_ideology,agents enquete,part expliquee Gini Simpson,-0.034132,-0.188064,0.131239,143,0.689231,0.804565,0.785350,,
1052,political_ideology,agents enquete,information mutuelle normalisee,-0.064304,-0.215848,0.099195,143,0.444956,0.804565,0.785350,,
1052,political_ideology,agents entretien (v3),part expliquee Gini Simpson,-0.215035,-0.372420,-0.041171,143,0.010099,0.787893,0.737898,,
1052,political_ideology,agents entretien (v3),information mutuelle normalisee,-0.208539,-0.368692,-0.038217,143,0.013399,0.787893,0.737898,,
1052,political_ideology,agents v7,part expliquee Gini Simpson,-0.124122,-0.299749,0.047459,143,0.139886,0.622955,0.610096,,
1052,political_ideology,agents v7,information mutuelle normalisee,-0.145019,-0.327831,0.037442,143,0.085191,0.622955,0.610096,,
1052,political_ideology,agents v8,part expliquee Gini Simpson,-0.155254,-0.326235,0.022610,143,0.062894,0.416085,0.426714,,
1052,political_ideology,agents v8,information mutuelle normalisee,-0.136992,-0.313654,0.046373,143,0.105489,0.416085,0.426714,,
1052,political_ideology,humains vague 2,part expliquee Gini Simpson,0.055066,-0.104711,0.222093,143,0.522948,1.000784,1.006900,,
1052,political_ideology,humains vague 2,information mutuelle normalisee,0.069881,-0.101315,0.232680,143,0.417458,1.000784,1.006900,,
1052,profil croise,B0 mode,part expliquee Gini Simpson,0.121156,-0.031280,0.262785,143,0.149585,0.000000,0.034004,,
1052,profil croise,B0 mode,information mutuelle normalisee,0.149389,-0.001318,0.279282,143,0.076992,0.000000,0.034004,,
1052,profil croise,B0 tirage,part expliquee Gini Simpson,0.766842,0.649546,0.851858,143,0.000100,1.040329,1.062430,,
1052,profil croise,B0 tirage,information mutuelle normalisee,0.709064,0.593070,0.796155,143,0.000100,1.040329,1.062430,,
1052,profil croise,B1 argmax,part expliquee Gini Simpson,-0.112853,-0.275747,0.052514,143,0.178682,0.596580,0.581222,,
1052,profil croise,B1 argmax,information mutuelle normalisee,-0.209844,-0.382348,-0.038343,143,0.012799,0.596580,0.581222,,
1052,profil croise,B2 argmax,part expliquee Gini Simpson,0.140329,-0.046351,0.308753,143,0.092291,0.584592,0.500372,,
1052,profil croise,B2 argmax,information mutuelle normalisee,0.017788,-0.161691,0.188994,143,0.831617,0.584592,0.500372,,
1052,profil croise,B3 foret,part expliquee Gini Simpson,0.018166,-0.156948,0.197047,143,0.829117,0.352041,0.342569,,
1052,profil croise,B3 foret,information mutuelle normalisee,-0.104085,-0.282215,0.074670,143,0.214079,0.352041,0.342569,,
1052,profil croise,agents composite,part expliquee Gini Simpson,-0.089530,-0.247725,0.082264,143,0.286671,0.879052,0.862280,,
1052,profil croise,agents composite,information mutuelle normalisee,-0.083760,-0.245565,0.082281,143,0.326067,0.879052,0.862280,,
1052,profil croise,agents demographiques (v6),part expliquee Gini Simpson,0.130005,-0.061508,0.301092,143,0.121188,0.647648,0.608098,,
1052,profil croise,agents demographiques (v6),information mutuelle normalisee,0.104356,-0.056200,0.264439,143,0.214879,0.647648,0.608098,,
1052,profil croise,agents enquete,part expliquee Gini Simpson,0.059182,-0.103458,0.218783,143,0.484852,0.825819,0.799511,,
1052,profil croise,agents enquete,information mutuelle normalisee,0.040058,-0.124328,0.196812,143,0.638836,0.825819,0.799511,,
1052,profil croise,agents entretien (v3),part expliquee Gini Simpson,-0.172880,-0.333646,-0.005368,143,0.038896,0.799105,0.743831,,
1052,profil croise,agents entretien (v3),information mutuelle normalisee,-0.149131,-0.301247,0.014369,143,0.075692,0.799105,0.743831,,
1052,profil croise,agents v7,part expliquee Gini Simpson,-0.018371,-0.197347,0.145539,143,0.829017,0.620997,0.607729,,
1052,profil croise,agents v7,information mutuelle normalisee,-0.067468,-0.237516,0.105704,143,0.421058,0.620997,0.607729,,
1052,profil croise,agents v8,part expliquee Gini Simpson,-0.003078,-0.171005,0.162464,143,0.967803,0.471977,0.489801,,
1052,profil croise,agents v8,information mutuelle normalisee,0.066532,-0.102082,0.226717,143,0.440056,0.471977,0.489801,,
1052,profil croise,humains vague 2,part expliquee Gini Simpson,0.051738,-0.117463,0.226397,143,0.536646,1.000093,1.006081,,
1052,profil croise,humains vague 2,information mutuelle normalisee,0.121897,-0.044194,0.284971,143,0.149985,1.000093,1.006081,,
1052,race,B0 mode,part expliquee Gini Simpson,0.049377,-0.064114,0.170887,143,0.564744,0.000000,0.031518,,
1052,race,B0 mode,information mutuelle normalisee,0.051139,-0.087861,0.183048,143,0.544446,0.000000,0.031518,,
