item,variables_gss,classe_norc,groupe_litterature,n_modalites,type,pole_desirable,pole_defini,niveau,source_du_pole
natspac/y,NATSPAC NATSPACY,mixte,temoin litterature,3,ordinal,too little,True,[HYPOTHESE],regle uniforme sur les items de depense : 'too little' est le pole genereux ; NORC ne donne pas la direction item par item
natenvir/y,NATENVIR NATENVIY,temoin,temoin litterature,3,ordinal,too little,True,[HYPOTHESE],regle uniforme sur les items de depense : 'too little' est le pole genereux ; NORC ne donne pas la direction item par item
natheal/y,NATHEAL NATHEALY,mixte,temoin litterature,3,ordinal,too little,True,[HYPOTHESE],regle uniforme sur les items de depense : 'too little' est le pole genereux ; NORC ne donne pas la direction item par item
natcity/y,NATCITY NATCITYY,mixte,temoin litterature,3,ordinal,too little,True,[HYPOTHESE],regle uniforme sur les items de depense : 'too little' est le pole genereux ; NORC ne donne pas la direction item par item
natdrug/y,NATDRUG NATDRUGY,temoin,temoin litterature,3,ordinal,too little,True,[HYPOTHESE],regle uniforme sur les items de depense : 'too little' est le pole genereux ; NORC ne donne pas la direction item par item
nateduc/y,NATEDUC NATEDUCY,temoin,temoin litterature,3,ordinal,too little,True,[HYPOTHESE],regle uniforme sur les items de depense : 'too little' est le pole genereux ; NORC ne donne pas la direction item par item
natrace/y,NATRACE NATRACEY,sensible,sensible litterature,3,ordinal,too little,True,[HYPOTHESE],regle uniforme sur les items de depense : 'too little' est le pole genereux ; NORC ne donne pas la direction item par item
natarms/y,NATARMS NATARMSY,temoin,temoin litterature,3,ordinal,too little,True,[HYPOTHESE],regle uniforme sur les items de depense : 'too little' est le pole genereux ; NORC ne donne pas la direction item par item
nataid/y,NATAID NATAIDY,temoin,temoin litterature,3,ordinal,too little,True,[HYPOTHESE],regle uniforme sur les items de depense : 'too little' est le pole genereux ; NORC ne donne pas la direction item par item
natfare/y,NATFARE NATFAREY,mixte,temoin litterature,3,ordinal,too little,True,[HYPOTHESE],regle uniforme sur les items de depense : 'too little' est le pole genereux ; NORC ne donne pas la direction item par item
natroad,NATROAD,sensible,temoin litterature,3,ordinal,too little,True,[HYPOTHESE],regle uniforme sur les items de depense : 'too little' est le pole genereux ; NORC ne donne pas la direction item par item
natsoc,NATSOC,temoin,temoin litterature,3,ordinal,too little,True,[HYPOTHESE],regle uniforme sur les items de depense : 'too little' est le pole genereux ; NORC ne donne pas la direction item par item
natmass,NATMASS,temoin,temoin litterature,3,ordinal,too little,True,[HYPOTHESE],regle uniforme sur les items de depense : 'too little' est le pole genereux ; NORC ne donne pas la direction item par item
natpark,NATPARK,temoin,temoin litterature,3,ordinal,too little,True,[HYPOTHESE],regle uniforme sur les items de depense : 'too little' est le pole genereux ; NORC ne donne pas la direction item par item
natchld,NATCHLD,sensible,temoin litterature,3,ordinal,too little,True,[HYPOTHESE],regle uniforme sur les items de depense : 'too little' est le pole genereux ; NORC ne donne pas la direction item par item
natsci,NATSCI,temoin,temoin litterature,3,ordinal,too little,True,[HYPOTHESE],regle uniforme sur les items de depense : 'too little' est le pole genereux ; NORC ne donne pas la direction item par item
