horizon_ans,predicteur,mesure,valeur,ic_bas,ic_haut
2,persistance,exactitude globale,0.7207495282495283,0.7000716072067493,0.7407168722176947
2,jumeau IA,exactitude globale,0.5504056707181707,0.5340635964171805,0.5683910381011533
2,jumeau IA,exactitude sur cellules changees,0.42871148459383757,0.3892479722658294,0.4689270050125314
2,mode du segment,exactitude globale,0.64052842990343,0.6185063186060927,0.6622717282717283
2,mode du segment,exactitude sur cellules changees,0.4765572895824996,0.4341415846933453,0.5211971352467928
2,regle combinee,exactitude globale,0.7049506396381396,0.6853253385545052,0.7249607462726673
2,jumeau IA,AUC desaccord -> changement,0.5579894593148031,0.5302998753857384,0.5843592912185878
4,persistance,exactitude globale,0.7153056665556666,0.6951571998771675,0.7353847557081339
4,jumeau IA,exactitude globale,0.5658515096015095,0.5477703684118158,0.5837934559571883
4,jumeau IA,exactitude sur cellules changees,0.4566648629148629,0.42405632735614696,0.4893248061998061
4,mode du segment,exactitude globale,0.6442922008547007,0.6226338429109288,0.6668333771080251
4,mode du segment,exactitude sur cellules changees,0.45596410533910536,0.4135927069845352,0.49520005231661074
4,regle combinee,exactitude globale,0.7200845335220335,0.7013505272055619,0.7394982691615404
4,jumeau IA,AUC desaccord -> changement,0.5806024774774774,0.554795987239376,0.6046038720849088
