bloc,mecanisme,epsilon,rho_zcdp,sigma_bruit,reference,stat,replicat,graine,n,grandeur,erreur_distribution,erreur_groupes,erreur_correlations,moyenne_trois,valeur,bas,haut
risque,gaussien zCDP (delta=1e-6),eps=10,1.3530146901688735,6.6592354309644985,pool des 2058 humains vague 4,valeur,1,"[20260913, crc32(eps=10), 1]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.048590864917395525,0.0,0.1457725947521866
risque,gaussien zCDP (delta=1e-6),eps=10,1.3530146901688735,6.6592354309644985,pool des 2058 humains vague 4,valeur,2,"[20260913, crc32(eps=10), 2]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.12876579203109817,0.014577259475218658,0.2772108843537402
risque,gaussien zCDP (delta=1e-6),eps=10,1.3530146901688735,6.6592354309644985,pool des 2058 humains vague 4,valeur,3,"[20260913, crc32(eps=10), 3]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.041302235179786206,0.0,0.10453109815354682
risque,gaussien zCDP (delta=1e-6),eps=10,1.3530146901688735,6.6592354309644985,pool des 2058 humains vague 4,valeur,4,"[20260913, crc32(eps=10), 4]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.06802721088435373,0.0,0.1943634596695821
risque,gaussien zCDP (delta=1e-6),eps=10,1.3530146901688735,6.6592354309644985,pool des 2058 humains vague 4,valeur,5,"[20260913, crc32(eps=10), 5]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.0315840621963071,0.0,0.08746355685131194
risque,gaussien zCDP (delta=1e-6),eps=10,1.3530146901688735,6.6592354309644985,pool des 2058 humains vague 4,valeur,6,"[20260913, crc32(eps=10), 6]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.048590864917395525,0.0,0.1457725947521866
risque,gaussien zCDP (delta=1e-6),eps=10,1.3530146901688735,6.6592354309644985,pool des 2058 humains vague 4,valeur,7,"[20260913, crc32(eps=10), 7]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.0,0.0,0.0
risque,gaussien zCDP (delta=1e-6),eps=10,1.3530146901688735,6.6592354309644985,pool des 2058 humains vague 4,valeur,8,"[20260913, crc32(eps=10), 8]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.048590864917395525,0.0,0.1457725947521866
risque,gaussien zCDP (delta=1e-6),eps=10,1.3530146901688735,6.6592354309644985,pool des 2058 humains vague 4,valeur,9,"[20260913, crc32(eps=10), 9]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.026724975704567545,0.0,0.0728862973760933
risque,gaussien zCDP (delta=1e-6),eps=10,1.3530146901688735,6.6592354309644985,pool des 2058 humains vague 4,moyenne sur replicats ; bornes = min du bas et max du haut,10 replicats,"[20260913, crc32(eps=10), 0..9]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.04616132167152575,0.0,0.2772108843537402
