regle,variable,t,mois,moyenne,saut_moyenne,iqr,saut_iqr
"primaire, saut de moyenne",infl1,149,2025-06,4.4897863886982385,-0.6231776721896471,4.808372437953949,-0.6808558106422424
"secondaire, saut d'IQR",infl1,147,2025-04,5.364355092935979,0.43221683856038595,5.771926313638687,0.7166788876056671
"fenetre 2025, pour verification",infl1,144,2025-01,4.360959697093551,0.1747308955795832,5.462164729833603,0.25848588347435
"fenetre 2025, pour verification",infl1,145,2025-02,4.787101506010446,0.4261418089168947,5.127107679843903,-0.3350570499897003
"fenetre 2025, pour verification",infl1,146,2025-03,4.932138254375593,0.1450367483651469,5.05524742603302,-0.07186025381088257
"fenetre 2025, pour verification",infl1,147,2025-04,5.364355092935979,0.43221683856038595,5.771926313638687,0.7166788876056671
"fenetre 2025, pour verification",infl1,148,2025-05,5.112964060887886,-0.251391032048093,5.489228248596191,-0.2826980650424957
"fenetre 2025, pour verification",infl1,149,2025-06,4.4897863886982385,-0.6231776721896471,4.808372437953949,-0.6808558106422424
"fenetre 2025, pour verification",infl1,150,2025-07,4.6673014583709564,0.1775150696727179,4.552039563655853,-0.2563328742980957
"fenetre 2025, pour verification",infl1,151,2025-08,4.771911274223489,0.10460981585253215,4.659006595611572,0.106967031955719
"fenetre 2025, pour verification",infl1,152,2025-09,4.650518559291631,-0.12139271493185788,4.263184756040573,-0.39582183957099915
"fenetre 2025, pour verification",infl1,153,2025-10,4.532293981743754,-0.11822457754787674,4.529835939407349,0.2666511833667755
