perimetre,hypothese,condition,metrique,moyenne_groupe,moyenne_temoin,n_groupe,n_temoin,difference,ic_items_bas,ic_items_haut,p_permutation,p_holm_famille_complete,p_bh_famille_complete,p_holm_sous_famille,p_bh_sous_famille
150,H1 distance,agents enquete,distance,0.144769,0.094807,12,65,0.049962,0.001614,0.111052,0.016660,0.766345,0.123758,0.183256,0.072192
150,H2 dispersion,agents enquete,ratio_entropie,0.654734,0.886792,12,65,-0.232058,-0.402092,-0.091412,0.004080,0.203996,0.055379,0.048959,0.026519
150,H4 desirabilite,agents enquete,ecart_desirabilite,-0.003278,0.008332,10,46,-0.011610,-0.068756,0.043536,0.727705,1.000000,0.922943,1.000000,0.951061
150,descriptif investiguer,agents enquete,distance,0.108914,0.094807,13,65,0.014107,-0.025598,0.056620,0.442951,,,,
150,H1 distance,agents entretien (v3),distance,0.165337,0.091066,12,65,0.074271,0.010507,0.148838,0.002820,0.143817,0.055379,0.036659,0.036659
150,H2 dispersion,agents entretien (v3),ratio_entropie,0.606185,0.884885,12,65,-0.278700,-0.500410,-0.067690,0.001040,0.054079,0.054079,0.013520,0.013520
150,H4 desirabilite,agents entretien (v3),ecart_desirabilite,-0.037830,-0.039990,10,46,0.002159,-0.070516,0.074769,0.951061,1.000000,0.954352,1.000000,0.951061
150,descriptif investiguer,agents entretien (v3),distance,0.077530,0.091066,13,65,-0.013536,-0.038086,0.010623,0.444931,,,,
150,H1 distance,agents v7,distance,0.203748,0.165317,12,65,0.038430,-0.026433,0.108935,0.190836,1.000000,0.472547,1.000000,0.413478
150,H2 dispersion,agents v7,ratio_entropie,0.468193,0.607700,12,65,-0.139506,-0.301885,0.014750,0.089938,1.000000,0.389732,0.809444,0.233839
150,H4 desirabilite,agents v7,ecart_desirabilite,0.027925,0.100421,10,46,-0.072496,-0.171735,0.030721,0.122078,1.000000,0.449908,1.000000,0.507835
150,descriptif investiguer,agents v7,distance,0.199099,0.165317,13,65,0.033781,-0.010585,0.078889,0.199956,,,,
150,H1 distance,agents v8,distance,0.176385,0.117462,12,65,0.058923,-0.009956,0.134996,0.051719,1.000000,0.315451,0.517190,0.168087
150,H2 dispersion,agents v8,ratio_entropie,0.547159,0.819892,12,65,-0.272733,-0.506424,-0.047776,0.010900,0.523190,0.097411,0.119898,0.047232
150,H4 desirabilite,agents v8,ecart_desirabilite,-0.031722,0.022501,10,46,-0.054223,-0.129963,0.029326,0.156257,1.000000,0.449908,1.000000,0.507835
150,descriptif investiguer,agents v8,distance,0.111843,0.117462,13,65,-0.005619,-0.058930,0.053498,0.838623,,,,
150,H1 distance,humains vague 2,distance,0.022106,0.026735,12,65,-0.004629,-0.013866,0.005732,0.418372,,,,
150,H2 dispersion,humains vague 2,ratio_entropie,0.980810,1.003578,12,65,-0.022769,-0.052204,0.006258,0.285074,,,,
150,H4 desirabilite,humains vague 2,ecart_desirabilite,0.000028,-0.005359,10,46,0.005387,-0.007901,0.017832,0.575908,,,,
150,descriptif investiguer,humains vague 2,distance,0.016462,0.026735,13,65,-0.010274,-0.017069,-0.003701,0.049419,,,,
1052,H1 distance,B0 mode,distance,0.254495,0.281832,12,65,-0.027337,-0.087514,0.031383,0.494930,1.000000,0.852596,1.000000,0.692734
1052,H2 dispersion,B0 mode,ratio_entropie,0.082096,0.018306,12,65,0.063791,-0.029408,0.184579,0.095018,1.000000,0.380290,0.789584,0.233839
1052,H4 desirabilite,B0 mode,ecart_desirabilite,0.054206,0.069480,10,45,-0.015273,-0.159055,0.124138,0.833563,1.000000,0.954352,1.000000,0.951061
1052,descriptif investiguer,B0 mode,distance,0.329457,0.281832,13,65,0.047625,-0.030674,0.128431,0.246355,,,,
1052,H1 distance,B0 tirage,distance,0.007182,0.011331,12,65,-0.004149,-0.007469,-0.000615,0.065999,1.000000,0.810844,1.000000,0.686079
1052,H2 dispersion,B0 tirage,ratio_entropie,0.993320,0.993836,12,65,-0.000516,-0.011788,0.009979,0.948521,1.000000,0.852596,1.000000,0.829149
1052,H4 desirabilite,B0 tirage,ecart_desirabilite,-0.001980,0.000985,10,46,-0.002965,-0.007857,0.001549,0.366593,1.000000,0.794358,1.000000,0.921347
