condition,variable,coef,se,t,signif,signe
humains,intercept,0.5052790877904018,0.024101327814951615,20.96478217589922,True,1
humains,genre_H,-0.03275453590780711,0.021987595065708077,-1.4896825146143966,False,-1
humains,age_65+,0.03223046011628109,0.03213737719345735,1.0028964069551605,False,1
humains,achat_1_Q295,0.045570549012059466,0.022092255507502486,2.062738636921151,True,1
humains,achat_2_Q295,0.047290863702571774,0.022105901370968774,2.1392868315552107,True,1
jumeau_brut,intercept,0.5246697450113442,0.02521664490663478,20.806485040097375,True,1
jumeau_brut,genre_H,0.00968826598933588,0.021429570517796943,0.4520980008110717,False,1
jumeau_brut,age_65+,-0.015151908497138426,0.031416478568705886,-0.4822917522090245,False,-1
jumeau_brut,achat_1_Q295,0.06002112014987215,0.02197700801796246,2.731086966015351,True,1
jumeau_brut,achat_2_Q295,0.07324109977549033,0.022485665337640542,3.2572351618560393,True,1
jumeau_D4,intercept,0.5883975511533561,0.025470208577075593,23.101402934051436,True,1
jumeau_D4,genre_H,0.010572374612999584,0.021517076289047334,0.4913481028266445,False,1
jumeau_D4,age_65+,-0.011110474255078301,0.03154521570518876,-0.3522079024253043,False,-1
jumeau_D4,achat_1_Q295,0.016280125092738674,0.022078322489076395,0.7373805279270437,False,1
jumeau_D4,achat_2_Q295,0.014904710008193213,0.022589324729740956,0.6598121097692562,False,1
