condition,segmentation,perimetre,couples_item_segment,replis_marginale,part_repliee,ecart_moyen_marginale_segment,ecart_moyen_marginale_item
humains vague 1,S_fin,1052,6258,447,0.0714,0.005752562613663845,0.0015757243655877108
humains vague 1,S_ideo,1052,1043,0,0.0,0.00265830292932908,0.0008702357560269613
humains vague 2,S_fin,1052,6258,447,0.0714,0.00591313683253688,0.0014712788416631516
humains vague 2,S_ideo,1052,1043,0,0.0,0.002710251441497209,0.0009573791680995594
agents composite,S_fin,1052,6258,447,0.0714,0.005085838848554054,0.001362901394405661
agents composite,S_ideo,1052,1043,0,0.0,0.002352833674566123,0.0007869469089787178
agents entretien (v3),S_fin,1052,6258,452,0.0722,0.004669330619411975,0.0013666971577938375
agents entretien (v3),S_ideo,1052,1043,0,0.0,0.0020395827647286206,0.0008048541148485044
agents enquete,S_fin,1052,6258,448,0.0716,0.004827700041784217,0.0012812989495879657
agents enquete,S_ideo,1052,1043,0,0.0,0.002094764899868615,0.0007038820371966841
agents demographiques (v6),S_fin,1052,6258,451,0.0721,0.003738024412332321,0.0008315143371550213
agents demographiques (v6),S_ideo,1052,1043,0,0.0,0.001825600970517989,0.0006511208696359996
agents v7,S_fin,1052,6258,447,0.0714,0.0040759491356045004,0.0010766879511937026
agents v7,S_ideo,1052,1043,0,0.0,0.001989997752019736,0.0006927598304883401
agents v8,S_fin,1052,6258,447,0.0714,0.002848060141571046,0.0016472668711000381
agents v8,S_ideo,1052,1043,0,0.0,0.0012363786658353647,0.0005509308850190576
C2,S_fin,150,6258,4023,0.6429,0.004080205992414365,0.022159421185327228
C2,S_ideo,150,1043,0,0.0,0.0020463439620758248,0.00103517630765953
C3,S_fin,150,6258,4023,0.6429,0.006388090837378949,0.011983515855260822
C3,S_ideo,150,1043,0,0.0,0.0047161176551157365,0.001649052590461989
B1 argmax,S_fin,1052,6258,447,0.0714,0.003594589455123487,0.001583309586796076
B1 argmax,S_ideo,1052,1043,0,0.0,0.0018147905922097994,0.0006317213333219907
B2 argmax,S_fin,1052,6258,447,0.0714,0.003337929259592828,0.000999984962214147
B2 argmax,S_ideo,1052,1043,0,0.0,0.0016337720277310743,0.0006126864837342809
PMM k=10,S_fin,1052,6258,447,0.0714,0.005577510701432825,0.0013567720769886024
PMM k=10,S_ideo,1052,1043,0,0.0,0.002589509674363807,0.0009269391959027555
B0 mode,S_fin,1052,6258,447,0.0714,0.00021860302270345548,5.837091260828744e-05
B0 mode,S_ideo,1052,1043,0,0.0,9.151905011073494e-05,3.6072762225568154e-05
B0 tirage,S_fin,1052,6258,447,0.0714,0.0061904599270307704,0.001363200958286702
B0 tirage,S_ideo,1052,1043,0,0.0,0.002653538030643564,0.0009075486039466427
B3 foret,S_fin,1052,6258,447,0.0714,0.0022474826667554337,0.0009589032502275413
B3 foret,S_ideo,1052,1043,0,0.0,0.0011876770050014216,0.00047767126772281537
humains vague 1 (150),S_fin,150,6258,4023,0.6429,0.009430781598495723,0.01859547281701644
humains vague 1 (150),S_ideo,150,1043,0,0.0,0.0066567065767169625,0.0024404907496182672
humains vague 2 (150),S_fin,150,6258,4023,0.6429,0.009250783264088633,0.018951832676396437
humains vague 2 (150),S_ideo,150,1043,0,0.0,0.006314057719442826,0.0022528926529597664
