condition,perimetre,item,n_observes,taux_accord
humains vague 2,1052,homosex,1052,0.7889733840304183
humains vague 2,1052,marhomo,1052,0.7661596958174905
humains vague 2,1052,discaff,1052,0.7100760456273765
humains vague 2,1052,abdefect,1052,0.9163498098859315
humains vague 2,1052,abnomore,1052,0.8887832699619772
humains vague 2,1052,abhlth,1052,0.9581749049429658
humains vague 2,1052,abpoor,1052,0.9096958174904943
humains vague 2,1052,abrape,1052,0.9467680608365019
humains vague 2,1052,absingle,1052,0.9020912547528517
humains vague 2,1052,abany,1052,0.8982889733840305
humains vague 2,1052,letdie1,1052,0.8992395437262357
humains vague 2,1052,suicide1,1052,0.8944866920152091
humains vague 2,1052,suicide2,1052,0.8811787072243346
humains vague 2,1052,suicide3,1052,0.8773764258555133
humains vague 2,1052,suicide4,1052,0.8640684410646388
humains vague 2,1052,pornlaw,1052,0.8165399239543726
humains vague 2,1052,fair,1052,0.6825095057034221
humains vague 2,1052,helpful,1052,0.6463878326996197
humains vague 2,1052,trust,1052,0.7062737642585551
humains vague 2,1052,tax,1052,0.7899239543726235
humains vague 2,1052,vote16,1052,0.9068441064638784
humains vague 2,1052,pres16,1052,0.9287072243346007
humains vague 2,1052,if16who,1052,0.9068441064638784
humains vague 2,1052,news,1052,0.6653992395437263
humains vague 2,1052,jew,1052,0.752851711026616
humains vague 2,1052,relig16*,1052,0.876425855513308
humains vague 2,1052,jew16*,1052,0.7509505703422054
humains vague 2,1052,attend,1052,0.747148288973384
humains vague 2,1052,pray,1052,0.7243346007604563
humains vague 2,1052,postlife,1052,0.9125475285171103
humains vague 2,1052,bible,1052,0.8754752851711026
humains vague 2,1052,reborn,1052,0.8203422053231939
humains vague 2,1052,savesoul,1052,0.9077946768060836
humains vague 2,1052,granborn,1052,0.7633079847908745
humains vague 2,1052,uscitzn*,1052,0.997148288973384
humains vague 2,1052,fucitzn,1052,0.9857414448669202
humains vague 2,1052,mnthsusa,1052,0.9629277566539924
humains vague 2,1052,income,1052,0.6340304182509505
humains vague 2,1052,othlang,1052,0.9211026615969582
humains vague 2,1052,health,1052,0.7994296577946768
humains vague 2,1052,compuse*,1052,0.9629277566539924
humains vague 2,1052,webmob,1052,0.9657794676806084
humains vague 2,1052,xmovie,1052,0.879277566539924
humains vague 2,1052,usewww*,1052,0.9809885931558935
humains vague 2,1052,life,1052,0.7842205323193916
humains vague 2,1052,richwork,1052,0.8545627376425855
agents composite,1052,natspac/y,1052,0.46577946768060835
agents composite,1052,natenvir/y,1052,0.620722433460076
agents composite,1052,natheal/y,1052,0.723384030418251
agents composite,1052,natcity/y,1052,0.48954372623574144
agents composite,1052,natdrug/y,1052,0.5836501901140685
agents composite,1052,nateduc/y,1052,0.6768060836501901
agents composite,1052,natrace/y,1052,0.6378326996197718
agents composite,1052,natarms/y,1052,0.5627376425855514
agents composite,1052,nataid/y,1052,0.6720532319391636
agents composite,1052,natfare/y,1052,0.6568441064638784
agents composite,1052,natroad,1052,0.5161596958174905
agents composite,1052,natsoc,1052,0.591254752851711
agents composite,1052,natmass,1052,0.5342205323193916
agents composite,1052,natpark,1052,0.5807984790874525
agents composite,1052,natchld,1052,0.6083650190114068
agents composite,1052,natsci,1052,0.5285171102661597
agents composite,1052,natenrgy,1052,0.6007604562737643
agents composite,1052,uswary,1052,0.4990494296577947
agents composite,1052,prayer,1052,0.7709125475285171
agents composite,1052,courts,1052,0.5741444866920152
agents composite,1052,discaffw,1052,0.40019011406844107
agents composite,1052,discaffm,1052,0.42585551330798477
agents composite,1052,fehire,1052,0.3517110266159696
agents composite,1052,fechld,1052,0.4923954372623574
agents composite,1052,fepresch,1052,0.49809885931558934
agents composite,1052,fefam,1052,0.5304182509505704
agents composite,1052,fepol,1052,0.8013307984790875
agents composite,1052,mobile16,1052,0.7366920152091255
agents composite,1052,incom16,1052,0.5465779467680608
agents composite,1052,dwelown16,1052,0.75
agents composite,1052,divorced,1052,0.9486692015209125
agents composite,1052,posslq/y,1052,0.9572243346007605
agents composite,1052,wrkstat,1052,0.7775665399239544
agents composite,1052,evwork,1052,0.9534220532319392
agents composite,1052,wrkgovt1,1052,0.876425855513308
agents composite,1052,wrkgovt2,1052,0.6967680608365019
agents composite,1052,partfull,1052,0.8317490494296578
agents composite,1052,wksub1,1052,0.8127376425855514
agents composite,1052,wksup1,1052,0.8279467680608364
agents composite,1052,conarmy,1052,0.5142585551330798
agents composite,1052,conbus,1052,0.6397338403041825
agents composite,1052,conclerg,1052,0.6416349809885932
agents composite,1052,coneduc,1052,0.6045627376425855
agents composite,1052,confed,1052,0.5693916349809885
agents composite,1052,confinan,1052,0.5855513307984791
agents composite,1052,conjudge,1052,0.5399239543726235
agents composite,1052,conlabor,1052,0.5304182509505704
agents composite,1052,conlegis,1052,0.5903041825095057
agents composite,1052,conmedic,1052,0.5817490494296578
agents composite,1052,conpress,1052,0.6368821292775665
agents composite,1052,consci,1052,0.6454372623574145
agents composite,1052,contv,1052,0.591254752851711
agents composite,1052,joblose,1052,0.7614068441064639
agents composite,1052,jobfind,1052,0.626425855513308
agents composite,1052,happy,1052,0.7034220532319392
agents composite,1052,hapmar,1052,0.8127376425855514
agents composite,1052,satjob,1052,0.6977186311787072
agents composite,1052,spdeg*,1052,0.6834600760456274
agents composite,1052,spjew,1052,0.7167300380228137
agents composite,1052,spfund,1052,0.7585551330798479
agents composite,1052,unemp,1052,0.7404942965779467
agents composite,1052,union1,1052,0.94106463878327
agents composite,1052,spkath/y,1052,0.8288973384030418
agents composite,1052,colath,1052,0.7652091254752852
agents composite,1052,spkrac/y,1052,0.7072243346007605
agents composite,1052,colrac,1052,0.7034220532319392
agents composite,1052,librac/y,1052,0.6606463878326996
agents composite,1052,spkcom/y,1052,0.7918250950570342
agents composite,1052,colcom/y,1052,0.7642585551330798
agents composite,1052,libcom/y,1052,0.8203422053231939
agents composite,1052,spkhomo/y,1052,0.9125475285171103
agents composite,1052,colhomo,1052,0.8212927756653993
agents composite,1052,libhomo/y,1052,0.8650190114068441
agents composite,1052,cappun,1052,0.6948669201520913
agents composite,1052,polhitok/y,1052,0.7224334600760456
agents composite,1052,polabuse/y,1052,0.7661596958174905
agents composite,1052,polattak/y,1052,0.4049429657794677
agents composite,1052,grass,1052,0.7338403041825095
agents composite,1052,gunlaw,1052,0.6815589353612167
agents composite,1052,owngun,1052,0.7633079847908745
agents composite,1052,hunt1,1052,0.8935361216730038
agents composite,1052,class,1052,0.6245247148288974
agents composite,1052,satfin,1052,0.6863117870722434
agents composite,1052,finalter,1052,0.6083650190114068
agents composite,1052,finrela,1052,0.5598859315589354
