analyse,rotation,configuration,role,exa_A,chute_A,res_A,perte_B,c_diag,c_exa,delta_r,delta,statut,R1,R2,R3,R4_ferme,affaibli_sans,ic_bas,ic_haut,perte_B_PMM,perte_B_c_diag
principal,2,Text Persona (Repeating Questions) - GPT4.1-mini,candidate,0.5892867195584907,0.18169327744338387,-0.002834190622101218,0.31596479861785987,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,0.02661329732122164,,,,,,,,,,
principal,2,Text Persona - GPT4.1-mini,candidate,0.5959655910408803,0.18095550775282443,-0.008845213183662104,0.3161189696337089,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,0.02661329732122164,,,,,,,,,,
principal,2,Text Persona - Gemini-Flash2.5,candidate,0.5906723875534042,0.19805200814898244,0.012430496314022321,0.3240698748635257,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,0.02661329732122164,,,,,,,,,,
principal,2,B0 mode,hors selection,0.5573563609961882,-8.777157243011757e-05,,0.3547385091602778,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,0.02661329732122164,,,,,,,,,,
principal,2,B0 tirage,hors selection,0.4770241287984433,0.0011045671874462815,,0.41727615208340835,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,0.02661329732122164,,,,,,,,,,
principal,2,B1 argmax,hors selection,0.5585797377540886,0.03062332219973618,,0.36560786572124443,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,0.02661329732122164,,,,,,,,,,
principal,2,B2 argmax,hors selection,0.5661667324517172,0.0283608392049306,,0.350391126468224,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,0.02661329732122164,,,,,,,,,,
principal,2,PMM k=10,hors selection,0.5271800023740522,0.03452232011166412,,0.38204177614608453,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,0.02661329732122164,,,,,,,,,,
principal,2,S6 B0 mode,hors selection,0.5572653234935625,-3.8019416401358086e-05,,0.3545267489711934,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,0.02661329732122164,,,,,,,,,,
principal,2,S6 B0 tirage,hors selection,0.47483279498965614,3.754171077802182e-05,,0.41946574044079715,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,0.02661329732122164,,,,,,,,,,
