defense,reglage,n,top1,top1_bas,top1_haut,erreur_distribution,erreur_groupes,erreur_correlations,utilite_globale,erreur_distribution_hum,erreur_groupes_hum,erreur_correlations_hum,utilite_globale_hum
aucune,jumeau non protege,2058,0.20670553935860056,0.19037900874635572,0.22414965986394556,0.0,0.0,0.0,0.0,3.1183187560738577,2.173397037035606,5.7754464636422895,
D1_agregation,k=2,2058,0.034086491739552964,0.02711248785228377,0.04191022837706511,24.500728862973755,1.9910482877113045,2.4503397038501973,9.647372284845085,21.83916423712342,2.556266630694939,7.337442020941948,10.577624296253434
D1_agregation,k=5,2058,0.0057823129251700685,0.003060009718172983,0.009062196307094265,7.263119533527698,3.0411013999983076,3.960228558946692,4.754816497490899,9.963556851311955,2.6563315432653223,7.671553667519042,6.763814020698773
D1_agregation,k=10,2058,0.005490767735665696,0.0028911564625850343,0.008674076773566566,3.528911564625851,2.150350251884012,5.617199795539307,3.76548720401639,6.146744412050533,2.627332434542385,8.526568487829765,5.7668817781408945
D1_agregation,k=25,2058,0.0023809523809523807,0.0007531584062196307,0.004494655004859086,21.960641399416907,4.359644112547447,10.00357278640852,12.107952766124292,24.62220602526725,4.307408150267031,11.882563596201459,13.604059257245247
D2_bruit,p=5%,2058,0.18442662779397473,0.16931365403304183,0.20046647230320697,0.3061224489795919,0.7012291762501957,0.8219993503239532,0.6097836585179136,3.1547619047619047,2.1780901919546674,6.1498578477206465,3.8275699814790727
D2_bruit,p=10%,2058,0.1501943634596696,0.13612609329446063,0.16608479105928084,0.34742468415937783,0.7626823660164657,1.27376452072343,0.7946238569664246,3.179057337220602,2.2103862360612414,6.522399110013286,3.970614227765043
D2_bruit,p=25%,2058,0.07784256559766763,0.06722485422740525,0.08936224489795916,0.5551506316812451,1.927710684281713,2.2711269507285503,1.5846627555638362,3.199708454810496,2.5420540992619247,7.474298779553405,4.405353777875276
D2_bruit,p=50%,2058,0.019071914480077744,0.013459062196307095,0.02483053935860058,0.6984936831875596,2.078980931177323,3.512560887039645,2.0966785004681756,3.165694849368318,2.418226981336149,8.802454960276991,4.795458930327153
D3_retrait,bloc entier supprime,2058,0.0026239067055393588,0.0008989310009718172,0.004981171039844506,,,,100.0,,,,100.0
D3_retrait,5/40 items gardes,2058,0.0055393586005830905,0.0027690719144800773,0.008624878522837706,2.0118873557321106,14.945598384910799,15.954163626469278,10.970549789037397,3.745807823279653,15.305212017123809,17.277071996258375,12.109363945553946
D3_retrait,10/40 items gardes,2058,0.010714285714285713,0.006850097181729835,0.015015184645286684,1.2391398613595976,8.934364148033936,7.013517123452592,5.729007044282042,3.338222493312733,9.293977780246946,8.54666608565238,7.0596221197373525
D3_retrait,20/40 items gardes,2058,0.04436345966958211,0.03646744412050535,0.05264941690962099,0.8421068996990697,4.925468753361276,2.9633047964371464,2.9102934831658307,3.254983510714203,5.226724452309726,6.082017035568157,4.854574999530695
D4_melange,permutation intra-segment,2058,0.0012633624878522838,0.00012147716229348882,0.0028437803692905666,0.0,0.0,4.399958990777788,1.4666529969259292,3.1183187560738577,2.173397037035606,9.708521960510733,5.000079251206732
