condition,lift_personne,lift_segment,rapport_groupe_sur_personne,fausses_raretes
C3F,0.084779,0.098908,1.166663,124
C3,0.160133,0.195888,1.223284,95
C2,0.214275,1.593861,7.438379,87
agents composite,0.422029,0.759994,1.800812,71
agents enquete,0.268882,0.876334,3.259173,71
agents entretien (v3),0.210665,0.704112,3.342334,96
agents demographiques (v6),-0.066937,0.643778,,14
agents v7,0.177829,0.107743,0.605877,41
agents v8,0.023557,1.259713,53.474852,157
B0 mode,,,,0
B0 tirage,0.011628,-0.034930,-3.003993,87
B1 argmax,-0.328609,1.461052,,17
B2 argmax,0.744627,0.758969,1.019260,5
B2 famille retiree,-0.178082,1.292912,,3
B3 foret,-0.303797,4.458753,,3
humains vague 2,0.548836,0.470781,0.857781,30
