item,famille,retenu,retenu_strict,niveau_orientation,derive_agregee,position_moyenne,position_gauche,position_droite,gs_gauche,gs_droite,ratio_droite_gauche,log_ratio,gs_temoin_gauche,gs_temoin_droite,ratio_temoin_position,residu_log,derive_vague2,ratio_vague2
natspac/y,depenses publiques (nat*),True,False,[HYPOTHESE],0.041350,0.541350,0.526379,0.549699,0.605861,0.614039,1.013498,0.013408,0.666873,0.663717,0.995266,0.018153,0.032319,1.029939
natenvir/y,depenses publiques (nat*),True,True,[PROBABLE],-0.273289,0.226711,0.080336,0.456325,0.251234,0.664780,2.646063,0.973073,0.249618,0.664849,2.663463,-0.006555,-0.278042,2.493968
natheal/y,depenses publiques (nat*),True,True,[PROBABLE],-0.328422,0.171578,0.107914,0.259036,0.297593,0.548411,1.842825,0.611300,0.312795,0.546634,1.747581,0.053067,-0.339829,1.517022
natcity/y,depenses publiques (nat*),True,True,[PROBABLE],0.032795,0.532795,0.418465,0.698795,0.578537,0.589251,1.018519,0.018350,0.654874,0.586903,0.896206,0.127934,0.020913,1.028235
natdrug/y,depenses publiques (nat*),True,True,[PROBABLE],-0.250000,0.250000,0.185851,0.328313,0.466957,0.609544,1.305353,0.266473,0.453095,0.608182,1.342282,-0.027898,-0.247624,1.438476
nateduc/y,depenses publiques (nat*),True,True,[PROBABLE],-0.309411,0.190589,0.113909,0.290663,0.329436,0.570324,1.731210,0.548820,0.325455,0.577675,1.774978,-0.024968,-0.311787,1.959476
natrace/y,depenses publiques (nat*),True,True,[PROBABLE],-0.068916,0.431084,0.226619,0.689759,0.518435,0.592345,1.142564,0.133274,0.508938,0.594382,1.167887,-0.021922,-0.064163,1.094797
natarms/y,depenses publiques (nat*),True,True,[PROBABLE],-0.075095,0.424905,0.244604,0.631024,0.536040,0.632166,1.179325,0.164943,0.530390,0.633787,1.194946,-0.013158,-0.064639,1.141945
nataid/y,depenses publiques (nat*),True,True,[PROBABLE],0.317966,0.817966,0.709832,0.917169,0.572726,0.249463,0.435571,-0.831097,0.576874,0.255852,0.443515,-0.018073,0.310837,0.380307
natfare/y,depenses publiques (nat*),True,True,[PROBABLE],-0.308460,0.191540,0.093525,0.346386,0.285764,0.619790,2.168891,0.774216,0.280894,0.620475,2.208928,-0.018291,-0.314639,2.158885
natroad,depenses publiques (nat*),True,False,[HYPOTHESE],-0.219582,0.280418,0.263789,0.254518,0.554464,0.545718,0.984225,-0.015900,0.551290,0.541772,0.982735,0.001515,-0.221483,1.026577
natsoc,depenses publiques (nat*),True,True,[PROBABLE],-0.320342,0.179658,0.155875,0.207831,0.426282,0.492684,1.155769,0.144766,0.404909,0.484798,1.197301,-0.035304,-0.319867,1.068153
natmass,depenses publiques (nat*),True,True,[PROBABLE],-0.157795,0.342205,0.219424,0.453313,0.508751,0.571780,1.123890,0.116796,0.499832,0.664301,1.329049,-0.167668,-0.169677,1.187781
natpark,depenses publiques (nat*),True,False,[HYPOTHESE],-0.104563,0.395437,0.346523,0.438253,0.508670,0.500837,0.984601,-0.015518,0.620180,0.661010,1.065836,-0.079277,-0.119297,0.973109
natchld,depenses publiques (nat*),True,True,[PROBABLE],-0.232890,0.267110,0.161871,0.391566,0.430202,0.626069,1.455291,0.375206,0.415074,0.644882,1.553658,-0.065406,-0.241445,1.467764
natsci,depenses publiques (nat*),True,False,[HYPOTHESE],-0.118821,0.381179,0.299760,0.484940,0.541805,0.564117,1.041182,0.040356,0.585310,0.668226,1.141661,-0.092128,-0.121198,1.024230
natenrgy,depenses publiques (nat*),True,True,[PROBABLE],-0.179658,0.320342,0.183453,0.503012,0.465689,0.661231,1.419898,0.350585,0.449475,0.668663,1.487651,-0.046613,-0.177757,1.438031
uswary,residu : social,False,False,,,,,,0.497256,0.477924,0.961122,-0.039654,,,,,,0.954644
prayer,residu : social,True,True,[PROBABLE],-0.185361,0.314639,0.131894,0.500000,0.229547,0.501511,2.184783,0.781516,0.229547,0.501511,2.184783,-0.000000,-0.191065,2.285098
courts,residu : social,True,True,[PROBABLE],0.153992,0.653992,0.484412,0.819277,0.660510,0.429149,0.649723,-0.431209,0.667782,0.445580,0.667254,-0.026624,0.162072,0.598064
discaffw,residu : social,True,True,[PROBABLE],-0.065272,0.434728,0.322942,0.559237,0.633047,0.724948,1.145172,0.135555,0.693056,0.745905,1.076255,0.062067,-0.072560,1.152543
discaffm,residu : social,True,True,[PROBABLE],-0.140368,0.359632,0.266986,0.467871,0.621218,0.720016,1.159038,0.147591,0.646939,0.750400,1.159924,-0.000764,-0.116920,1.143563
fehire,roles de genre (fe*),True,True,[PROBABLE],-0.081749,0.418251,0.303957,0.558735,0.706846,0.780566,1.104295,0.099207,0.736633,0.796854,1.081751,0.020626,-0.072006,1.098509
fechld,roles de genre (fe*),True,True,[CONFIRME],-0.226869,0.273131,0.211031,0.333333,0.584152,0.667055,1.141920,0.132711,0.583598,0.700414,1.200165,-0.049748,-0.231305,1.196414
fepresch,roles de genre (fe*),True,True,[CONFIRME],-0.155577,0.344423,0.273381,0.434739,0.611038,0.691752,1.132093,0.124068,0.653012,0.744538,1.140161,-0.007101,-0.153676,1.140563
fefam,roles de genre (fe*),True,True,[CONFIRME],-0.140684,0.359316,0.230216,0.511044,0.615973,0.714756,1.160370,0.148739,0.607513,0.752046,1.237908,-0.064684,-0.127060,1.133674
fepol,roles de genre (fe*),True,True,[CONFIRME],-0.264259,0.235741,0.086331,0.418675,0.158135,0.488243,3.087506,1.127364,0.158135,0.488243,3.087507,-0.000000,-0.214829,2.410923
mobile16,residu : hors axe,False,False,,,,,,0.658366,0.665908,1.011457,0.011392,,,,,,1.008757
incom16,residu : economique,False,False,,,,,,0.679014,0.639956,0.942477,-0.059244,,,,,,0.953683
dwelown16,residu : hors axe,False,False,,,,,,0.431609,0.393313,0.911273,-0.092912,,,,,,0.892542
divorced,residu : hors axe,False,False,,,,,,0.355285,0.467859,1.316857,0.275247,,,,,,1.289045
posslq/y,residu : hors axe,False,False,,,,,,0.666459,0.642831,0.964547,-0.036097,,,,,,0.972184
wrkstat,residu : hors axe,False,False,,,,,,0.797120,0.762075,0.956036,-0.044960,,,,,,0.965289
evwork,residu : hors axe,False,False,,,,,,0.146098,0.092018,0.629833,-0.462301,,,,,,0.634571
wrkgovt1,residu : hors axe,False,False,,,,,,0.267086,0.277272,1.038137,0.037428,,,,,,0.905174
wrkgovt2,residu : hors axe,False,False,,,,,,0.370434,0.390784,1.054934,0.053478,,,,,,1.070066
partfull,residu : hors axe,False,False,,,,,,0.642940,0.605595,0.941915,-0.059840,,,,,,0.944880
wksub1,residu : hors axe,False,False,,,,,,0.639757,0.619972,0.969074,-0.031414,,,,,,0.950928
wksup1,residu : hors axe,False,False,,,,,,0.626026,0.647163,1.033763,0.033206,,,,,,1.028646
conarmy,confiance dans les institutions (con*),True,True,[PROBABLE],0.174905,0.674905,0.627098,0.727410,0.614266,0.552379,0.899249,-0.106195,0.635481,0.560568,0.882116,0.019237,0.165875,0.912090
conbus,confiance dans les institutions (con*),True,True,[PROBABLE],-0.097433,0.402567,0.346523,0.463855,0.583379,0.525898,0.901468,-0.103730,0.620180,0.666057,1.073974,-0.175096,-0.106939,0.995836
conclerg,confiance dans les institutions (con*),True,True,[PROBABLE],-0.182034,0.317966,0.231415,0.451807,0.521433,0.633440,1.214807,0.194585,0.514840,0.664013,1.289747,-0.059861,-0.176806,1.242657
coneduc,confiance dans les institutions (con*),True,False,[HYPOTHESE],-0.043726,0.456274,0.369305,0.558735,0.519669,0.601700,1.157852,0.146567,0.633574,0.661742,1.044459,0.103068,-0.030894,1.093325
confed,confiance dans les institutions (con*),True,False,[HYPOTHESE],0.143061,0.643061,0.551559,0.754518,0.591335,0.538183,0.910116,-0.094183,0.662929,0.531717,0.802072,0.126373,0.147338,0.885603
confinan,confiance dans les institutions (con*),True,False,[HYPOTHESE],-0.038498,0.461502,0.430456,0.480422,0.597560,0.566174,0.947476,-0.053954,0.658538,0.667912,1.014234,-0.068088,-0.054658,0.972096
conjudge,confiance dans les institutions (con*),True,False,[HYPOTHESE],-0.099810,0.400190,0.245803,0.575301,0.536513,0.629254,1.172859,0.159444,0.531755,0.657257,1.236015,-0.052448,-0.118821,1.273324
conlabor,confiance dans les institutions (con*),True,True,[PROBABLE],-0.004278,0.495722,0.366906,0.647590,0.561151,0.583191,1.039276,0.038524,0.632272,0.624245,0.987305,0.051300,-0.009981,1.088761
conlegis,confiance dans les institutions (con*),False,False,,,,,,0.541644,0.539202,0.995492,-0.004518,,,,,,1.008335
conmedic,confiance dans les institutions (con*),True,False,[HYPOTHESE],-0.166350,0.333650,0.225420,0.427711,0.516072,0.619372,1.200166,0.182460,0.507442,0.658156,1.297009,-0.077601,-0.162072,1.155277
conpress,confiance dans les institutions (con*),True,True,[PROBABLE],0.174905,0.674905,0.547962,0.823795,0.551282,0.455811,0.826820,-0.190168,0.663650,0.438563,0.660835,0.224084,0.178707,0.780560
consci,confiance dans les institutions (con*),True,True,[PROBABLE],-0.199144,0.300856,0.140288,0.475904,0.388939,0.625723,1.608797,0.475486,0.377158,0.667515,1.769857,-0.095412,-0.204848,1.565724
contv,confiance dans les institutions (con*),False,False,,,,,,0.546924,0.546846,0.999857,-0.000143,,,,,,1.032762
joblose,residu : economique,False,False,,,,,,0.649085,0.640793,0.987225,-0.012857,,,,,,0.952526
jobfind,residu : economique,False,False,,,,,,0.701174,0.706930,1.008210,0.008177,,,,,,1.005798
happy,residu : hors axe,False,False,,,,,,0.568645,0.584883,1.028556,0.028156,,,,,,0.975710
hapmar,residu : hors axe,False,False,,,,,,0.530933,0.660121,1.243322,0.217787,,,,,,1.168690
satjob,residu : economique,False,False,,,,,,0.722618,0.698722,0.966932,-0.033627,,,,,,0.972544
spdeg*,residu : hors axe,False,False,,,,,,0.620838,0.732264,1.179478,0.165072,,,,,,1.185583
spjew,residu : hors axe,False,False,,,,,,0.359908,0.551669,1.532804,0.427099,,,,,,1.461060
spfund,residu : hors axe,False,False,,,,,,0.407512,0.554781,1.361384,0.308502,,,,,,1.397247
unemp,residu : hors axe,False,False,,,,,,0.498063,0.440287,0.883998,-0.123300,,,,,,0.942652
union1,residu : economique,False,False,,,,,,0.186877,0.137735,0.737035,-0.305120,,,,,,0.599902
spkath/y,libertes civiles (spk/col/lib),True,True,[CONFIRME],-0.312738,0.187262,0.129496,0.219880,0.225996,0.344101,1.522599,0.420419,0.225996,0.344101,1.522599,0.000000,-0.308935,1.492319
colath,libertes civiles (spk/col/lib),True,True,[CONFIRME],-0.248099,0.251901,0.175060,0.334337,0.289522,0.446456,1.542046,0.433110,0.289522,0.446457,1.542046,-0.000000,-0.242395,1.436707
spkrac/y,libertes civiles (spk/col/lib),False,False,,,,,,0.474082,0.501511,1.057855,0.056244,,,,,,1.013850
colrac,libertes civiles (spk/col/lib),False,False,,,,,,0.333794,0.473829,1.419523,0.350321,,,,,,1.467715
librac/y,libertes civiles (spk/col/lib),False,False,,,,,,0.489762,0.477924,0.975829,-0.024468,,,,,,0.965987
spkcom/y,libertes civiles (spk/col/lib),True,True,[PROBABLE],-0.190114,0.309886,0.237410,0.370482,0.362963,0.467859,1.288998,0.253865,0.362963,0.467859,1.288998,-0.000000,-0.227186,1.333280
colcom/y,libertes civiles (spk/col/lib),True,True,[PROBABLE],-0.185361,0.314639,0.237410,0.376506,0.362963,0.470917,1.297422,0.260379,0.362963,0.470917,1.297422,0.000000,-0.200570,1.448028
libcom/y,libertes civiles (spk/col/lib),True,True,[PROBABLE],-0.242395,0.257605,0.187050,0.325301,0.304856,0.440287,1.444245,0.367586,0.304856,0.440287,1.444245,-0.000000,-0.252852,1.490314
spkhomo/y,libertes civiles (spk/col/lib),True,True,[CONFIRME],-0.438213,0.061787,0.023981,0.090361,0.046924,0.164889,3.513963,1.256744,0.046924,0.164889,3.513962,0.000000,-0.419202,1.888287
colhomo,libertes civiles (spk/col/lib),True,True,[CONFIRME],-0.433460,0.066540,0.028777,0.102410,0.056032,0.184399,3.290956,1.191178,0.056032,0.184399,3.290957,-0.000000,-0.416350,1.826767
libhomo/y,libertes civiles (spk/col/lib),True,True,[CONFIRME],-0.364068,0.135932,0.043165,0.240964,0.082803,0.366906,4.431067,1.488640,0.082803,0.366906,4.431068,-0.000000,-0.340304,3.458676
cappun,residu : social,True,True,[CONFIRME],0.121673,0.621673,0.414868,0.810241,0.486672,0.308430,0.633753,-0.456096,0.486672,0.308430,0.633753,-0.000000,0.129278,0.597668
polhitok/y,residu : social,True,True,[PROBABLE],0.156844,0.656844,0.606715,0.774096,0.478371,0.350799,0.733320,-0.310174,0.478371,0.350799,0.733320,0.000000,0.152091,0.678629
polabuse/y,residu : social,True,True,[PROBABLE],-0.438213,0.061787,0.038369,0.090361,0.073972,0.164889,2.229088,0.801593,0.073972,0.164889,2.229088,0.000000,-0.446768,5.271493
polattak/y,residu : social,True,False,[HYPOTHESE],0.169202,0.669202,0.657074,0.710843,0.451739,0.412332,0.912767,-0.091275,0.451739,0.412332,0.912767,0.000000,0.194867,0.867168
grass,residu : social,True,True,[CONFIRME],-0.258555,0.241445,0.139089,0.349398,0.240062,0.456011,1.899558,0.641621,0.240062,0.456011,1.899558,-0.000000,-0.261407,1.949901
gunlaw,residu : social,True,True,[CONFIRME],-0.177757,0.322243,0.167866,0.487952,0.280045,0.501219,1.789780,0.582093,0.280045,0.501219,1.789780,0.000000,-0.195817,1.792554
owngun,residu : hors axe,False,False,,,,,,0.313780,0.482874,1.538895,0.431065,,,,,,1.468376
hunt1,residu : hors axe,False,False,,,,,,0.097249,0.334073,3.435232,1.234085,,,,,,2.471592
class,residu : economique,False,False,,,,,,0.654780,0.636206,0.971634,-0.028776,,,,,,0.965797
satfin,residu : economique,False,False,,,,,,0.657120,0.660558,1.005231,0.005217,,,,,,1.040399
finalter,residu : economique,False,False,,,,,,0.662320,0.658756,0.994619,-0.005396,,,,,,0.968988
finrela,residu : economique,False,False,,,,,,0.725800,0.728060,1.003114,0.003109,,,,,,0.978427
racdif1,residu : social,True,True,[CONFIRME],-0.027567,0.472433,0.189448,0.792169,0.307854,0.330270,1.072814,0.070285,0.307854,0.330270,1.072814,-0.000000,-0.015209,0.949347
racdif2,residu : social,True,True,[CONFIRME],-0.433460,0.066540,0.057554,0.072289,0.108744,0.134532,1.237147,0.212808,0.108744,0.134532,1.237147,0.000000,-0.423004,1.651371
racdif3,residu : social,True,True,[PROBABLE],0.011407,0.511407,0.280576,0.737952,0.404676,0.387926,0.958609,-0.042272,0.404676,0.387926,0.958609,0.000000,0.012357,0.912544
racdif4,residu : social,True,True,[CONFIRME],-0.211027,0.288973,0.119904,0.481928,0.211562,0.500855,2.367422,0.861802,0.211562,0.500855,2.367422,0.000000,-0.195817,2.089089
wlthwhts,residu : social,False,False,,,,,,0.653569,0.518291,0.793015,-0.231913,,,,,,0.866425
wlthblks,residu : social,False,False,,,,,,0.631456,0.658210,1.042368,0.041495,,,,,,0.982151
wlthhsps,residu : social,False,False,,,,,,0.687823,0.658210,0.956947,-0.044007,,,,,,0.946524
racwork,residu : hors axe,False,False,,,,,,0.740823,0.734175,0.991027,-0.009013,,,,,,1.008068
letin1a,residu : social,True,True,[CONFIRME],0.124762,0.624762,0.449640,0.826807,0.729282,0.574164,0.787300,-0.239146,0.797841,0.596372,0.747482,0.051900,0.127614,0.791020
getahead,residu : economique,True,True,[PROBABLE],0.180608,0.680608,0.587530,0.802711,0.542497,0.484676,0.893417,-0.112702,0.652820,0.470119,0.720135,0.215614,0.165399,0.974927
aged,residu : social,False,False,,,,,,0.511714,0.563462,1.101128,0.096335,,,,,,1.020000
parsol,residu : economique,False,False,,,,,,0.781313,0.782951,1.002095,0.002093,,,,,,1.004799
kidssol,residu : economique,False,False,,,,,,0.766014,0.811433,1.059293,0.057601,,,,,,1.039433
spanking,residu : social,True,True,[PROBABLE],-0.027567,0.472433,0.316547,0.625502,0.688676,0.710898,1.032268,0.031758,0.688550,0.723296,1.050462,-0.017472,-0.029151,1.042579
divlaw,residu : social,True,True,[PROBABLE],-0.104563,0.395437,0.298561,0.524096,0.559802,0.628690,1.123057,0.116055,0.584280,0.667515,1.142458,-0.017127,-0.094106,1.101321
sexeduc,residu : social,True,True,[CONFIRME],-0.349810,0.150190,0.045564,0.298193,0.087184,0.419812,4.815240,1.571786,0.087184,0.419812,4.815238,0.000001,-0.356464,4.165676
pillok,residu : social,True,True,[PROBABLE],-0.129278,0.370722,0.216627,0.557229,0.602068,0.735650,1.221871,0.200383,0.590830,0.746330,1.263190,-0.033257,-0.123574,1.200798
xmarsex,residu : social,True,True,[PROBABLE],0.264259,0.764259,0.666667,0.855422,0.684537,0.448968,0.655871,-0.421791,0.699983,0.478872,0.684119,-0.042168,0.258872,0.654231
homosex,residu : social,True,True,[CONFIRME],-0.185361,0.314639,0.123102,0.554217,0.370054,0.656972,1.775342,0.573993,0.435287,0.746941,1.715972,0.034013,-0.182826,1.814373
marhomo,residu : social,True,True,[CONFIRME],-0.219582,0.280418,0.101918,0.499247,0.387555,0.776872,2.004544,0.695417,0.454523,0.802416,1.765402,0.127039,-0.216492,2.110422
discaff,residu : social,True,True,[PROBABLE],-0.189163,0.310837,0.176259,0.483434,0.450367,0.648073,1.438989,0.363941,0.438378,0.668130,1.524097,-0.057461,-0.191540,1.442533
abdefect,avortement (ab*),True,True,[CONFIRME],-0.326996,0.173004,0.059952,0.334337,0.112987,0.446456,3.951414,1.374074,0.112987,0.446457,3.951413,0.000000,-0.323194,4.514450
