A,B,C,C5,patrons,q5,polarisation,se_nul_A,se_nul_B,se_nul_C,se_nul_polarisation,source,taux,tirage,taille,taux_realise
-0.03502239270375329,0.03072874033137034,0.011787072243346007,0.039686311787072236,945.9,0.06681771828039575,0.20350878557060506,0.0004894025942533854,0.00011128840807573009,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,0,1052,0.05228136882129278
-0.05174204912561997,0.03369126181304302,0.009378036929057336,0.03559280855199222,1719.1,0.05944801022508237,0.20695199941560147,0.0003756261277776188,6.380408531464536e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,0,2058,0.0500485908649174
-0.037649727798513055,0.028692418911812616,0.01173954372623574,0.039971482889733845,944.55,0.06467068737999856,0.21078564768387248,0.0006506810712549482,0.00010208689509164468,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,1,1052,0.04847908745247148
-0.05165926360999962,0.033186037942006974,0.008940719144800779,0.03515549076773568,1722.25,0.05898437840275763,0.20675461822091504,0.00041299500085894083,5.6676904599726374e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,1,2058,0.0500485908649174
-0.035759767714329316,0.0302814905942727,0.012072243346007604,0.038070342205323196,946.45,0.06654977804448871,0.20446675802139366,0.0005429563875487071,9.190309623363287e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,2,1052,0.045627376425855515
-0.0507694203007808,0.03291478528014967,0.009572400388726919,0.03556851311953353,1720.8,0.05879351351682082,0.20128414066547912,0.0005799931698604524,7.323023219807539e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,2,2058,0.0500485908649174
-0.04085673818605462,0.02964236435317026,0.011501901140684409,0.039163498098859315,941.3,0.06577782562820822,0.19463191617182823,0.0006595436020945823,9.390142509251224e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,3,1052,0.051330798479087454
-0.05317180462940341,0.033967123468677377,0.009499514091350827,0.03675898931000972,1717.6,0.05978423944186493,0.20058985030037063,0.0005581303380189799,7.152348475664768e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,3,2058,0.0500485908649174
-0.03518663179703141,0.029577602047954017,0.013022813688212929,0.04077946768060836,946.9,0.06572786146715336,0.1869165823183438,0.0004998750821534764,9.700283639534417e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,4,1052,0.051330798479087454
-0.05267625663988351,0.032993759794558944,0.009450923226433431,0.0358600583090379,1718.6,0.05879580281412311,0.2044854907056351,0.0004293497165959656,6.050413661285553e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,4,2058,0.0500485908649174
-0.03504732668201571,0.030277222271880233,0.012642585551330798,0.040399239543726234,943.0,0.06652509795677378,0.21246085421250746,0.0006340442046887184,0.00011328268264664591,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,5,1052,0.057034220532319393
-0.050911301240548545,0.033247614645548304,0.00932944606413994,0.036103012633624885,1717.55,0.058992547045185334,0.21118540569981079,0.0006034938495372529,6.766739944350478e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,5,2058,0.0500485908649174
-0.032781492885531116,0.02858041808647608,0.011644486692015208,0.038022813688212934,950.75,0.06472600663925071,0.20092404780940679,0.0003163708419269574,6.759876452910178e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,6,1052,0.049429657794676805
-0.05216108521805596,0.033057206844597085,0.009475218658892127,0.03627308066083577,1719.8,0.05882139558313479,0.20469851441246265,0.0006123289974999957,7.726356642042938e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,6,2058,0.0500485908649174
-0.03277041980184525,0.02804152861590098,0.011359315589353613,0.03826045627376425,946.95,0.06419522093901196,0.21276113656304585,0.0006071210847112674,8.955254874099062e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,7,1052,0.0408745247148289
-0.050444421975678555,0.03312069029827368,0.009232264334305152,0.03610301263362488,1721.75,0.05884509687822606,0.2061459039157246,0.0005244948707246654,6.223911593241566e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,7,2058,0.0500485908649174
-0.030069280765659623,0.02872369897831674,0.012024714828897337,0.03807034220532319,950.6,0.06485433752932362,0.20586382327745822,0.00041950903300130225,9.568940161227928e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,8,1052,0.043726235741444866
-0.05169693055208957,0.03350377774551719,0.009329446064139942,0.03627308066083576,1722.7,0.059183328320908314,0.21133818244739275,0.0007150347009647843,7.09306928393319e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,8,2058,0.0500485908649174
-0.03636952114883407,0.027169275449699153,0.013640684410646389,0.042585551330798485,942.8,0.06328814721038842,0.2193373187118458,0.0004884169275736082,0.00010888080981300332,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,9,1052,0.04847908745247148
-0.05310709563684446,0.03253866036361831,0.009839650145772596,0.03678328474246841,1718.8,0.05843210776115256,0.20815612827761,0.000582432423302538,9.17684213423344e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,9,2058,0.0500485908649174
-0.03923551524066349,0.030685649919823962,0.012832699619771862,0.0435361216730038,940.55,0.06676310392972995,0.21902294482934084,0.0005157126690744295,9.677960410855264e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,10,1052,0.051330798479087454
-0.05278489369645034,0.03300951929734544,0.009645286686103014,0.03683187560738581,1716.9,0.058711539473466884,0.20807501882844545,0.00040191360273452445,7.647686343159181e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,10,2058,0.0500485908649174
-0.03582820998677705,0.029877594779937115,0.01259505703422053,0.04173003802281369,943.05,0.0660153643802037,0.1866008614040787,0.0006346135857941482,0.0001091914481766283,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,11,1052,0.05798479087452472
-0.053630194753292226,0.033265262330361756,0.009766763848396504,0.0369290573372206,1716.8,0.059125525154935986,0.20426408946793645,0.0004631123821518184,6.138751251276344e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.05,11,2058,0.0500485908649174
-0.04590163934426239,0.035993746875997865,0.015446768060836502,0.04538973384030418,936.05,0.07212336573897725,0.2040801324535968,0.00047046178840642454,0.00011243375262912371,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,0,1052,0.09220532319391635
-0.06551562592220983,0.04355153603630413,0.01326530612244898,0.04494655004859086,1688.85,0.06931504189237901,0.19556037474105933,0.0005723294794331069,8.286408703683104e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,0,2058,0.1000971817298348
-0.05628093618234775,0.03980021336620834,0.01620722433460076,0.04919201520912548,926.6,0.07591541003077192,0.19096746270973974,0.0006062809829525336,9.60001870585045e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,1,1052,0.10931558935361217
-0.06856786057665765,0.044638069483281466,0.012609329446064138,0.04436345966958212,1685.65,0.07024964386987863,0.19848013607659618,0.0004918276952509923,8.830290009739551e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,1,2058,0.1000971817298348
-0.0492289159906355,0.0380580242640655,0.014686311787072245,0.04738593155893536,931.35,0.07423972322662695,0.19773177030541222,0.0005833354397865265,8.188023177078329e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,2,1052,0.10266159695817491
-0.06600627823685878,0.042804130903958446,0.01229348882410107,0.04387755102040816,1689.0,0.06858737840971367,0.19911815164759847,0.0005117841648504815,6.740457629733194e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,2,2058,0.1000971817298348
-0.04622184445388866,0.037724578591487395,0.013403041825095057,0.04443916349809886,935.1,0.07394205067690263,0.20965941507742483,0.0008104155306702072,9.292065225400093e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,3,1052,0.0979087452471483
-0.06471014345829773,0.04290490801149929,0.010617103984450923,0.043245869776482024,1691.4,0.06868040832524364,0.1989658374157409,0.0007075008646914091,6.874926107973947e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,3,2058,0.1000971817298348
-0.055538571282992,0.04145346606103562,0.019011406844106467,0.050095057034220535,926.8,0.07766044569419851,0.19490385240379537,0.0005917676002867992,8.559643848680108e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,4,1052,0.10361216730038023
-0.0684063435487493,0.04544442716518433,0.01513605442176871,0.04487366375121477,1686.7,0.0712396273248809,0.1965618444128937,0.0005097849767457564,6.977420597948047e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,4,2058,0.1000971817298348
-0.05498726894064643,0.040834903204183454,0.01782319391634981,0.0494296577946768,924.15,0.0769439433179798,0.19736104876168387,0.0006381077954052566,9.819172620880126e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,5,1052,0.10836501901140684
