perimetre,condition,item,sd_pred,sd_humain,ratio,n
1052,B0 mode,conlabor,0.000000,0.332552,0.000000,1052
1052,B0 mode,conlegis,0.000000,0.305105,0.000000,1052
1052,B0 mode,conmedic,0.199952,0.330626,0.604768,1052
1052,B0 mode,conpress,0.000000,0.318801,0.000000,1052
1052,B0 mode,consci,0.000000,0.342139,0.000000,1052
1052,B0 mode,contv,0.000000,0.312837,0.000000,1052
1052,B0 mode,happy,0.000000,0.325906,0.000000,1052
1052,B0 mode,class,0.000000,0.261780,0.000000,1052
1052,B0 mode,satfin,0.000000,0.384606,0.000000,1052
1052,B0 mode,finalter,0.000000,0.387553,0.000000,1052
1052,B0 mode,finrela,0.000000,0.244713,0.000000,1052
1052,B0 mode,wlthwhts,0.000000,0.141084,0.000000,1052
1052,B0 mode,wlthblks,0.000000,0.143050,0.000000,1052
1052,B0 mode,wlthhsps,0.081695,0.150701,0.542099,1052
1052,B0 mode,letin1a,0.000000,0.315041,0.000000,1052
1052,B0 mode,getahead,0.000000,0.306424,0.000000,1052
1052,B0 mode,aged,0.000000,0.292390,0.000000,1052
1052,B0 mode,parsol,0.000000,0.302467,0.000000,1052
1052,B0 mode,spanking,0.000000,0.349558,0.000000,1052
1052,B0 mode,divlaw,0.000000,0.346243,0.000000,1052
1052,B0 mode,pillok,0.133302,0.344219,0.387258,1052
1052,B0 mode,xmarsex,0.000000,0.295117,0.000000,1052
1052,B0 mode,homosex,0.000000,0.417111,0.000000,1052
1052,B0 mode,marhomo,0.000000,0.358765,0.000000,1052
1052,B0 mode,discaff,0.000000,0.350148,0.000000,1052
1052,B0 mode,pornlaw,0.000000,0.264989,0.000000,1052
1052,B0 mode,fair,0.000000,0.389860,0.000000,1052
1052,B0 mode,helpful,0.000000,0.395581,0.000000,1052
1052,B0 mode,trust,0.000000,0.378430,0.000000,1052
1052,B0 mode,tax,0.000000,0.270704,0.000000,1052
1052,B0 mode,news,0.000000,0.369203,0.000000,1052
1052,B0 mode,attend,0.000000,0.324211,0.000000,1052
1052,B0 mode,pray,0.000000,0.401413,0.000000,1052
1052,B0 mode,bible,0.000000,0.374709,0.000000,1052
