perimetre,segmentation,condition,quantite,reel,nul_moyenne,nul_bas,nul_haut,nul_ecart_type,replicats,d,z,part_reproduite,d_ic_bas,d_ic_haut,p
1052,S_fin,humains vague 1,"Q1 ratio inter, axe du nul",1.0,1.46784105556716,1.4334622583026047,1.5043141873252177,0.019307307683963538,200,-0.46784105556715994,-24.23129434849915,1.46784105556716,-0.3702724923303673,-0.223073634091773,0.001
1052,S_fin,humains vague 1,"Q2 ratio intra, axe du nul",1.0,0.9644933021202753,0.9602221682481622,0.9676936743760101,0.0019632524743182075,200,0.035506697879724713,18.08565039096939,0.9644933021202753,0.02556763785674423,0.04556839545804715,0.001
1052,S_fin,humains vague 1,"Q1b ratio inter, axe ideologie",1.0,0.8738184134493397,0.8382645754669609,0.9054909100032245,0.016890657490586575,200,0.12618158655066025,7.47049584191635,0.8738184134493397,0.014909231373178738,0.1980050390961533,0.028
1052,S_fin,humains vague 1,"Q2b ratio intra, axe ideologie",1.0,1.0053499400179644,1.0014870123486777,1.0084381315502564,0.0018001340278966688,200,-0.005349940017964405,-2.971967606331756,1.0053499400179644,,,
1052,S_fin,humains vague 1,Q3 patrons distincts,725.65,778.3620000000001,772.445,784.12125,2.962386651564385,200,-52.7120000000001,-17.793760977205256,1.0726410804106665,,,
1052,S_fin,humains vague 1,Q4 correlation inter items,0.09255847543739329,0.05108007849542993,0.04994960614476153,0.052322139422870596,0.0006504719520617131,200,0.04147839694196336,63.76661869969164,0.5518681920164143,0.035410453109513636,0.043609031872924135,0.001
1052,S_fin,humains vague 1,Q5 correlation residualisee,0.06771496491752155,0.02525718951852588,0.024866770032845726,0.025589705936066954,0.00018603746604207118,200,0.042457775398995666,228.22163891113263,0.3729927284063389,0.03503129932949438,0.04053220668870615,0.001
1052,S_fin,humains vague 1,Q6 rapport groupe sur personne,,35.03910679233764,12.925904090048986,71.54696131297166,25.185637483792277,8,,,,,,
1052,S_fin,humains vague 1,Q7 rappel des cellules rares,1.0,0.1256191977579261,0.11949991241898757,0.13508057453144157,0.004130465807363789,50,0.8743808022420739,211.69060416460266,0.1256191977579261,,,
1052,S_ideo,humains vague 1,"Q1 ratio inter, axe du nul",1.0,1.1101428386058572,1.0677408739578613,1.1450800423598433,0.019634908821180467,200,-0.11014283860585716,-5.609541638769642,1.1101428386058572,-0.21574564718115882,0.0007724997286770184,0.058
1052,S_ideo,humains vague 1,"Q2 ratio intra, axe du nul",1.0,0.9933206372094687,0.9900302937764935,0.9969101709138416,0.0018304727397169653,200,0.006679362790531274,3.648982388868606,0.9933206372094687,-0.0032442943202000305,0.016095119397606168,0.196
1052,S_ideo,humains vague 1,"Q1b ratio inter, axe ideologie",1.0,1.1101428386058572,1.0677408739578613,1.1450800423598433,0.019634908821180467,200,-0.11014283860585716,-5.609541638769642,1.1101428386058572,-0.21574564718115882,0.0007724997286770184,0.058
1052,S_ideo,humains vague 1,"Q2b ratio intra, axe ideologie",1.0,0.9933206372094687,0.9900302937764935,0.9969101709138416,0.0018304727397169653,200,0.006679362790531274,3.648982388868606,0.9933206372094687,,,
1052,S_ideo,humains vague 1,Q3 patrons distincts,725.65,779.67725,772.49875,785.9525000000001,3.3421091251667128,200,-54.02724999999998,-16.16561517790206,1.0744535933301178,,,
1052,S_ideo,humains vague 1,Q4 correlation inter items,0.09255847543739329,0.05077090559323837,0.049312499437360824,0.05212433698147321,0.0007354178021116988,200,0.041787569844154916,56.821536987770685,0.5485278938888736,0.03537046480435729,0.043459143913989466,0.001
1052,S_ideo,humains vague 1,Q5 correlation residualisee,0.06697316667282195,0.02478581159895783,0.02443079053709305,0.025139573989448917,0.00018327486395544677,200,0.04218735507386412,230.18625775174309,0.37008570492181964,0.03507724585046382,0.04017317952119925,0.001
1052,S_ideo,humains vague 1,Q6 rapport groupe sur personne,,61.27450724963278,10.566973638013705,272.9746186854965,82.4709597103929,32,,,,,,
1052,S_ideo,humains vague 1,Q7 rappel des cellules rares,1.0,0.08907689612891924,0.08271588719565598,0.09785426519530566,0.004164412440401351,50,0.9109231038710808,218.73988633635176,0.08907689612891924,,,
1052,S_fin,humains vague 2,"Q1 ratio inter, axe du nul",1.0122044118495694,1.4820047186286376,1.4463811258537262,1.5184793283492515,0.01850056808676825,200,-0.46980030677906814,-25.39383139888947,1.464135802293745,-0.3724206792582504,-0.22184297608031267,0.001
1052,S_fin,humains vague 2,"Q2 ratio intra, axe du nul",1.0027251452052917,0.9673222664272694,0.9635156180791705,0.9711380046986307,0.0021086008637783765,200,0.035402878778022284,16.789748779000448,0.9646933370053524,0.024806570792080613,0.04590299931454881,0.001
